vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-335.4	2.2635	2.1366	2.8216
-335.3	2.2624	2.1363	2.8201
-335.2	2.2614	2.136	2.8187
-335.1	2.2603	2.1358	2.8173
-335	2.2593	2.1356	2.8159
-334.9	2.2584	2.1353	2.8145
-334.8	2.2575	2.1351	2.8131
-334.7	2.2566	2.1349	2.8117
-334.6	2.2556	2.1347	2.8103
-334.5	2.2547	2.1345	2.809
-334.4	2.2538	2.1343	2.8076
-334.3	2.2529	2.1341	2.8063
-334.2	2.2521	2.134	2.8049
-334.1	2.2512	2.1338	2.8036
-334	2.2503	2.1337	2.8022
-333.9	2.2494	2.1336	2.8009
-333.8	2.2487	2.1335	2.7995
-333.7	2.2479	2.1334	2.7981
-333.6	2.2472	2.1333	2.7967
-333.5	2.2465	2.1333	2.7953
-333.4	2.2457	2.1332	2.794
-333.3	2.2451	2.1332	2.7926
-333.2	2.2444	2.1331	2.7911
-333.1	2.2439	2.1331	2.7896
-333	2.2433	2.1331	2.7882
-332.9	2.2428	2.1331	2.7867
-332.8	2.2422	2.1332	2.7852
-332.7	2.2418	2.1332	2.7836
-332.6	2.2412	2.1332	2.7821
-332.5	2.2408	2.1333	2.7805
-332.4	2.2403	2.1333	2.779
-332.3	2.2399	2.1335	2.7775
-332.2	2.2396	2.1336	2.776
-332.1	2.2392	2.1337	2.7745
-332	2.2389	2.1339	2.7731
-331.9	2.2386	2.1342	2.7717
-331.8	2.2384	2.1344	2.7704
-331.7	2.2381	2.1347	2.769
-331.6	2.2377	2.1349	2.7677
-331.5	2.2376	2.1353	2.7664
-331.4	2.2374	2.1356	2.7652
-331.3	2.2372	2.1359	2.764
-331.2	2.2369	2.1363	2.7629
-331.1	2.2369	2.1367	2.7618
-331	2.2367	2.1371	2.7608
-330.9	2.2366	2.1376	2.7598
-330.8	2.2365	2.138	2.7588
-330.7	2.2366	2.1385	2.7579
-330.6	2.2365	2.139	2.757
-330.5	2.2365	2.1395	2.7562
-330.4	2.2366	2.1401	2.7554
-330.3	2.2366	2.1407	2.7546
-330.2	2.2367	2.1413	2.7539
-330.1	2.2367	2.1419	2.7531
-330	2.2368	2.1425	2.7524
-329.9	2.2369	2.1432	2.7517
-329.8	2.2371	2.1438	2.751
-329.7	2.2373	2.1445	2.7503
-329.6	2.2375	2.1452	2.7496
-329.5	2.2377	2.1459	2.7489
-329.4	2.238	2.1466	2.7483
-329.3	2.2384	2.1473	2.7476
-329.2	2.2387	2.148	2.7469
-329.1	2.2391	2.1488	2.7463
-329	2.2394	2.1495	2.7457
-328.9	2.2397	2.1503	2.7451
-328.8	2.2401	2.151	2.7445
-328.7	2.2406	2.1518	2.7439
-328.6	2.2411	2.1525	2.7433
-328.5	2.2415	2.1533	2.7427
-328.4	2.242	2.1541	2.7422
-328.3	2.2426	2.1549	2.7418
-328.2	2.2431	2.1557	2.7413
-328.1	2.2438	2.1565	2.7409
-328	2.2444	2.1573	2.7405
