	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-338.7	2.33	2.1699	2.8643
-338.6	2.3285	2.1695	2.8639
-338.5	2.327	2.1692	2.8634
-338.4	2.3257	2.1688	2.863
-338.3	2.3243	2.1684	2.8624
-338.2	2.3229	2.1681	2.8619
-338.1	2.3215	2.1677	2.8613
-338	2.3201	2.1674	2.8606
-337.9	2.3188	2.1671	2.8599
-337.8	2.3176	2.1668	2.8591
-337.7	2.3163	2.1665	2.8583
-337.6	2.315	2.1663	2.8575
-337.5	2.3137	2.166	2.8566
-337.4	2.3124	2.1657	2.8556
-337.3	2.3112	2.1655	2.8546
-337.2	2.31	2.1652	2.8535
-337.1	2.3087	2.165	2.8524
-337	2.3074	2.1647	2.8513
-336.9	2.3063	2.1644	2.8501
-336.8	2.3051	2.1642	2.8489
-336.7	2.3039	2.1639	2.8477
-336.6	2.3028	2.1636	2.8465
-336.5	2.3017	2.1633	2.8452
-336.4	2.3006	2.163	2.844
-336.3	2.2995	2.1627	2.8428
-336.2	2.2984	2.1624	2.8416
-336.1	2.2972	2.1621	2.8404
-336	2.2961	2.1617	2.8392
-335.9	2.2951	2.1614	2.838
-335.8	2.294	2.1611	2.8369
-335.7	2.2929	2.1608	2.8358
-335.6	2.2917	2.1605	2.8347
-335.5	2.2906	2.1602	2.8336
-335.4	2.2894	2.1598	2.8325
-335.3	2.2883	2.1595	2.8315
-335.2	2.2872	2.1592	2.8304
-335.1	2.2862	2.1589	2.8294
-335	2.2851	2.1586	2.8283
-334.9	2.2839	2.1583	2.8272
-334.8	2.2828	2.1581	2.8261
-334.7	2.2817	2.1578	2.825
-334.6	2.2806	2.1576	2.8238
-334.5	2.2796	2.1574	2.8226
-334.4	2.2785	2.1572	2.8214
-334.3	2.2775	2.157	2.8201
-334.2	2.2765	2.1568	2.8187
-334.1	2.2755	2.1567	2.8173
-334	2.2745	2.1566	2.8159
-333.9	2.2736	2.1564	2.8144
-333.8	2.2727	2.1563	2.8129
-333.7	2.2718	2.1563	2.8113
-333.6	2.271	2.1562	2.8097
-333.5	2.2702	2.1561	2.8081
-333.4	2.2695	2.156	2.8064
-333.3	2.2688	2.156	2.8047
-333.2	2.268	2.156	2.803
-333.1	2.2673	2.156	2.8014
-333	2.2667	2.156	2.7997
-332.9	2.2661	2.156	2.7981
-332.8	2.2654	2.156	2.7964
-332.7	2.2649	2.1561	2.7948
-332.6	2.2645	2.1561	2.7932
-332.5	2.2639	2.1562	2.7917
-332.4	2.2633	2.1563	2.7902
-332.3	2.2628	2.1564	2.7888
-332.2	2.2622	2.1565	2.7874
-332.1	2.2617	2.1567	2.7861
-332	2.2613	2.1568	2.7848
-331.9	2.2608	2.157	2.7836
-331.8	2.2604	2.1572	2.7824
-331.7	2.26	2.1574	2.7812
-331.6	2.2595	2.1576	2.78
-331.5	2.2593	2.1579	2.779
-331.4	2.259	2.1581	2.7779
-331.3	2.2588	2.1584	2.7769
-331.2	2.2586	2.1587	2.7759
-331.1	2.2583	2.1591	2.7749
-331	2.2581	2.1594	2.7739
-330.9	2.2579	2.1598	2.773
-330.8	2.2579	2.1602	2.772
-330.7	2.2578	2.1607	2.7711
-330.6	2.2578	2.1611	2.7701
-330.5	2.2579	2.1616	2.7691
-330.4	2.2579	2.1621	2.7682
-330.3	2.2578	2.1626	2.7672
-330.2	2.2578	2.1632	2.7663
-330.1	2.2579	2.1638	2.7653
-330	2.2581	2.1644	2.7644
-329.9	2.2583	2.165	2.7634
-329.8	2.2585	2.1656	2.7624
-329.7	2.2586	2.1662	2.7615
-329.6	2.2588	2.1669	2.7605
-329.5	2.2589	2.1676	2.7595
-329.4	2.2591	2.1683	2.7585
-329.3	2.2595	2.169	2.7576
-329.2	2.2598	2.1697	2.7567
-329.1	2.2602	2.1704	2.7559
-329	2.2607	2.1711	2.755
-328.9	2.2611	2.1719	2.7542
-328.8	2.2615	2.1727	2.7535
-328.7	2.2619	2.1734	2.7528
-328.6	2.2623	2.1742	2.7521
-328.5	2.2628	2.175	2.7515
-328.4	2.2633	2.1758	2.7509
-328.3	2.2638	2.1766	2.7504
-328.2	2.2644	2.1774	2.7499
-328.1	2.265	2.1782	2.7494
-328	2.2657	2.1791	2.749
-327.9	2.2664	2.1799	2.7485
-327.8	2.267	2.1807	2.7482
-327.7	2.2677	2.1815	2.7478
-327.6	2.2683	2.1824	2.7476
-327.5	2.2688	2.1832	2.7473
-327.4	2.2693	2.184	2.7471
-327.3	2.27	2.1848	2.7469
-327.2	2.2709	2.1856	2.7467
-327.1	2.2718	2.1865	2.7465
-327	2.2726	2.1873	2.7464
-326.9	2.2731	2.1882	2.7462
-326.8	2.2738	2.189	2.7461
-326.7	2.2742	2.1898	2.746
-326.6	2.2748	2.1907	2.7459
-326.5	2.2756	2.1915	2.7457
-326.4	2.2765	2.1923	2.7457
-326.3	2.2776	2.1931	2.7456
-326.2	2.2786	2.194	2.7455
-326.1	2.2794	2.1948	2.7455
-326	2.28	2.1956	2.7455
-325.9	2.2808	2.1964	2.7455
-325.8	2.282	2.1972	2.7455
-325.7	2.2852	2.198	2.7456
-325.6	2.2839	2.1988	2.7457
-325.5	2.2824	2.1996	2.7459
-325.4	2.2867	2.2004	2.7461
-325.3	2.292	2.2013	2.7463
-325.2	2.2958	2.2021	2.7466
-325.1	2.2963	2.2029	2.747
-325	2.2956	2.2037	2.7474
-324.9	2.2947	2.2046	2.7478
-324.8	2.293	2.2054	2.7483
-324.7	2.2924	2.2063	2.7489
-324.6	2.293	2.2072	2.7494
-324.5	2.2953	2.208	2.7501
-324.4	2.2967	2.2089	2.7508
-324.3	2.297	2.2098	2.7515
-324.2	2.2968	2.2107	2.7522
-324.1	2.2963	2.2116	2.753
-324	2.2945	2.2125	2.7538
-323.9	2.2928	2.2134	2.7547
-323.8	2.2929	2.2142	2.7556
-323.7	2.2933	2.2151	2.7565
-323.6	2.2931	2.216	2.7575
-323.5	2.2928	2.2169	2.7584
-323.4	2.2926	2.2177	2.7593
-323.3	2.2917	2.2186	2.7601
-323.2	2.29	2.2194	2.761
-323.1	2.2872	2.2203	2.762
-323	2.286	2.2211	2.7629
-322.9	2.2872	2.2219	2.7638
-322.8	2.287	2.2227	2.7647
-322.7	2.2855	2.2235	2.7656
-322.6	2.2843	2.2242	2.7664
-322.5	2.2837	2.2249	2.7673
-322.4	2.2829	2.2257	2.7683
-322.3	2.2823	2.2263	2.7692
-322.2	2.2826	2.227	2.7701
-322.1	2.2837	2.2276	2.7711
-322	2.2849	2.2282	2.772
-321.9	2.2855	2.2289	2.773
-321.8	2.286	2.2295	2.774
-321.7	2.2876	2.2301	2.775
-321.6	2.2869	2.2306	2.7759
-321.5	2.2905	2.2312	2.7769
-321.4	2.2961	2.2317	2.7779
-321.3	2.2968	2.2323	2.7788
-321.2	2.2949	2.2328	2.7797
-321.1	2.2924	2.2334	2.7806
-321	2.2926	2.2339	2.7815
-320.9	2.2934	2.2344	2.7824
-320.8	2.2945	2.2349	2.7833
-320.7	2.2978	2.2354	2.7841
-320.6	2.3013	2.2359	2.785
-320.5	2.3039	2.2363	2.7859
-320.4	2.3037	2.2367	2.7867
-320.3	2.3033	2.2371	2.7875
-320.2	2.3032	2.2375	2.7883
-320.1	2.3039	2.2378	2.789
-320	2.305	2.2382	2.7898
-319.9	2.3076	2.2386	2.7906
-319.8	2.3107	2.2389	2.7913
-319.7	2.3123	2.2393	2.7919
-319.6	2.313	2.2396	2.7926
-319.5	2.3134	2.24	2.7933
-319.4	2.314	2.2403	2.7939
-319.3	2.3139	2.2406	2.7947
-319.2	2.3143	2.2409	2.7956
-319.1	2.3155	2.2413	2.7965
-319	2.318	2.2416	2.7974
-318.9	2.3193	2.2419	2.7983
-318.8	2.3181	2.2422	2.7993
-318.7	2.3175	2.2425	2.8003
-318.6	2.3182	2.2427	2.8014
-318.5	2.3192	2.243	2.8025
-318.4	2.3203	2.2432	2.8036
-318.3	2.3218	2.2435	2.8047
-318.2	2.3234	2.2438	2.8058
-318.1	2.3239	2.244	2.8069
-318	2.3236	2.2443	2.8079
-317.9	2.3232	2.2446	2.8091
-317.8	2.3242	2.245	2.8101
-317.7	2.3261	2.2453	2.8111
-317.6	2.3269	2.2456	2.8121
-317.5	2.3272	2.246	2.8131
-317.4	2.3279	2.2464	2.814
-317.3	2.3288	2.2468	2.8148
-317.2	2.3287	2.2472	2.8156
-317.1	2.3289	2.2476	2.8164
-317	2.3294	2.2479	2.817
-316.9	2.3296	2.2483	2.8176
-316.8	2.3301	2.2487	2.8182
-316.7	2.3311	2.249	2.8187
-316.6	2.3316	2.2494	2.8192
-316.5	2.3313	2.2497	2.8195
-316.4	2.3307	2.2501	2.8199
-316.3	2.3307	2.2505	2.8202
-316.2	2.3311	2.2508	2.8204
-316.1	2.3323	2.2512	2.8207
-316	2.3331	2.2516	2.821
