Kurbelwinkel [°KW]	pZyl_mess [bar]	pZyl_berech [bar]	pSaug [bar]	pAbg [bar]	T [K]	dQw [J/s]	V [m3]	m [kg]	R [J/kg/K]	mK [kg]	V_motor [m^3]	dm [kg/s]	Hub_E [m]	Hub_A [m]	alpha_E_vor	alpha_E_rück	alpha_A_vor	alpha_A_rück	T_Saug [K]	O2_Massenbruch	CO2_Massenbruch	H2O_Massenbruch	H_Massenbruch	O_Massenbruch	N_Massenbruch	H2_Massenbruch	OH_Massenbruch	CO_Massenbruch	NO_Massenbruch	N2_Massenbruch	Ar_Massenbruch	Diesel_Massenbruch	RON_95_Massenbruch	AGR_intern_LWA_Massenbruch	AGR_extern_LWA_Massenbruch	feuchteLuft_LWA_Massenbruch
102.20000000000002	 8.73833792624201	 8.751135633884681	 2.2337614590875345	 2.685786951206241	 1030.1576413342157	 0.0	 0.0013283919435406269	 0.004039397867400892	 279.3639276113559	 0.004039397867400711	 0.001331254731479937	 -0.0032025015073505704	 0.0	 3.6308999999999906E-5	 0.0	 0.0	 2.5146405960555103E-4	 2.5146405960555103E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
102.4	 8.713998938453075	 8.726833177331406	 2.2337695392336716	 2.6858217509306397	 1029.4912423858734	 0.0	 0.0013312011419842169	 0.004039311733980265	 279.3639276113559	 0.004039311733980067	 0.0013340639299235266	 -0.003385523549919784	 0.0	 3.8477999999999824E-5	 0.0	 0.0	 2.664858323143676E-4	 2.664858323143676E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
102.6	 8.689702043383608	 8.702677270389401	 2.233772428446742	 2.6858458571141828	 1028.827370462326	 0.0	 0.0013340053025150394	 0.004039220826495691	 279.3639276113559	 0.004039220826495476	 0.0013368680904543493	 -0.0035676613928978624	 0.0	 4.0646999999999735E-5	 0.0	 0.0	 2.815076050231841E-4	 2.815076050231841E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
102.80000000000001	 8.66550619517707	 8.678666888092902	 2.233779197246416	 2.6858459388269456	 1028.1660169658755	 0.0	 0.0013368043981690824	 0.004039125167966787	 279.3639276113559	 0.004039125167966555	 0.0013396671861083925	 -0.003748922699719455	 0.0	 4.281599999999994E-5	 0.0	 0.0	 2.9652937773200265E-4	 2.9652937773200265E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
103.0	 8.641465223785115	 8.654801013871486	 2.233775474913397	 2.68582917980416	 1027.5071733269228	 0.0	 0.00133959840214953	 0.004039024781213669	 279.3639276113559	 0.00403902478121342	 0.0013424611900888404	 -0.003929315066560296	 0.0	 4.4984999999999855E-5	 0.0	 0.0	 3.115511504408192E-4	 3.115511504408192E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
103.19999999999999	 8.617599783908517	 8.63107863947595	 2.233764577898225	 2.6857951934985196	 1026.8508310039695	 0.0	 0.0013423872878266393	 0.0040389196888587	 279.3639276113559	 0.004038919688858434	 0.0013452500757659496	 -0.004108846022987191	 0.0	 4.7153999999999766E-5	 0.0	 0.0	 3.2657292314963574E-4	 3.2657292314963574E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
103.4	 8.593920343286674	 8.60749876490487	 2.2337357536001248	 2.6857434557599564	 1026.1969814836214	 0.0	 0.001345171028737604	 0.004038809913328226	 279.3639276113559	 0.004038809913327943	 0.0013480338166769142	 -0.004287523032601343	 0.0	 4.932299999999997E-5	 0.0	 0.0	 3.4159469585845427E-4	 3.4159469585845427E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
103.6	 8.57039871847603	 8.584060398331834	 2.233686944676812	 2.6856789363624847	 1025.545616280589	 0.0	 0.0013479495985864115	 0.0040386954768542906	 279.3639276113559	 0.00403869547685399	 0.0013508123865257216	 -0.004465353493675305	 0.0	 5.149199999999988E-5	 0.0	 0.0	 3.566164685672708E-4	 3.566164685672708E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
103.79999999999998	 8.546981839834077	 8.560762556033326	 2.2336206559532212	 2.6856053920717167	 1024.8967269376872	 0.0	 0.0013507229712436948	 0.004038576401476333	 279.3639276113559	 0.004038576401476015	 0.001353585759183005	 -0.004642344739783864	 0.0	 5.36609999999998E-5	 0.0	 0.0	 3.7163824127608736E-4	 3.7163824127608736E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
104.0	 8.523616592595626	 8.537604262317265	 2.2335287390459757	 2.6855244248560655	 1024.2503050258324	 0.0	 0.0013534911207465719	 0.004038452709042879	 279.3639276113559	 0.004038452709042543	 0.0013563539086858826	 -0.004818504040428426	 0.0	 5.583E-5	 0.0	 0.0	 3.8666001398490594E-4	 3.8666001398490594E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
104.19999999999999	 8.500269591462263	 8.51458269762891	 2.233417363117583	 2.685443807221546	 1023.6062902836746	 0.0	 0.0013562540212984791	 0.004038323747523613	 279.3639276113559	 0.004038323747523262	 0.0013591168092377897	 -0.0050453267225713146	 0.0	 5.859699999999989E-5	 0.0	 0.0	 4.0582333583151514E-4	 4.0582333583151514E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
104.39999999999998	 8.476920075310858	 8.491695081456387	 2.233291413247426	 2.6853618237206134	 1022.96462289954	 0.0	 0.0013590116472689982	 0.004038188868985873	 279.3639276113559	 0.004038188868985505	 0.0013618744352083083	 -0.005271086438654963	 0.0	 6.136399999999979E-5	 0.0	 0.0	 4.249866576781244E-4	 4.249866576781244E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
104.6	 8.453581553730267	 8.468940507994548	 2.2331452564680885	 2.6852819718049328	 1022.3252951561818	 0.0	 0.001361763973193673	 0.004038048101107433	 279.3639276113559	 0.004038048101107049	 0.0013646267611329833	 -0.005495792090802737	 0.0	 6.413100000000004E-5	 0.0	 0.0	 4.4414997952473614E-4	 4.4414997952473614E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
104.79999999999998	 8.430305621518821	 8.446318078513393	 2.232975626977243	 2.685202615953288	 1021.6882993580632	 0.0	 0.0013645109737738183	 0.004037901471334279	 279.3639276113559	 0.004037901471333878	 0.0013673737617131284	 -0.00571945250583673	 0.0	 6.689799999999993E-5	 0.0	 0.0	 4.6331330137134533E-4	 4.6331330137134533E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
105.0	 8.407146141920729	 8.423826901299746	 2.23278320570003	 2.6851318321983046	 1021.053627831412	 0.0	 0.0013672526238763239	 0.004037749006882574	 279.3639276113559	 0.0040377490068821565	 0.001370115411815635	 -0.005942076435616542	 0.0	 6.966499999999981E-5	 0.0	 0.0	 4.8247662321795453E-4	 4.8247662321795453E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
105.19999999999999	 8.38418264051942	 8.401466091599437	 2.232573198821403	 2.685063267428054	 1020.4212729242746	 0.0	 0.0013699888985334475	 0.004037590734740612	 279.3639276113559	 0.004037590734740178	 0.0013728516864727586	 -0.006163672557729248	 0.0	 7.243199999999972E-5	 0.0	 0.0	 5.016399450645638E-4	 5.016399450645638E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
105.4	 8.361488695638666	 8.379234771559934	 2.232339731466019	 2.6849801625492313	 1019.7912270065674	 0.0	 0.0013727197729426017	 0.0040374266816707504	 279.3639276113559	 0.004037426681670301	 0.0013755825608819132	 -0.006384249476173118	 0.0	 7.519899999999997E-5	 0.0	 0.0	 5.208032669111755E-4	 5.208032669111755E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
105.6	 8.339139185084989	 8.357132070173463	 2.2320955223745633	 2.684898406137517	 1019.1634824701268	 0.0	 0.0013754452224661322	 0.0040372568742113235	 279.3639276113559	 0.004037256874210859	 0.0013783080104054436	 -0.006603815722034977	 0.0	 7.796599999999987E-5	 0.0	 0.0	 5.399665887577848E-4	 5.399665887577848E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
