vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-307	2.3476	2.2795	2.7958
-306.9	2.3474	2.2793	2.7949
-306.8	2.3472	2.2791	2.7941
-306.7	2.3471	2.2789	2.7934
-306.6	2.3469	2.2787	2.7926
-306.5	2.3468	2.2784	2.7919
-306.4	2.3465	2.2781	2.7912
-306.3	2.3463	2.2778	2.7906
-306.2	2.3462	2.2774	2.7899
-306.1	2.346	2.277	2.7892
-306	2.3458	2.2766	2.7885
-305.9	2.3456	2.2762	2.7879
-305.8	2.3454	2.2757	2.7872
-305.7	2.3452	2.2753	2.7865
-305.6	2.3449	2.2749	2.7858
-305.5	2.3446	2.2745	2.7852
-305.4	2.3442	2.2741	2.7845
-305.3	2.3441	2.2736	2.7837
-305.2	2.3438	2.2732	2.783
-305.1	2.3435	2.2728	2.7823
-305	2.3433	2.2723	2.7814
-304.9	2.343	2.2719	2.7806
-304.8	2.3427	2.2714	2.7797
-304.7	2.3424	2.271	2.7789
-304.6	2.3422	2.2705	2.7779
-304.5	2.342	2.27	2.777
-304.4	2.3418	2.2694	2.776
-304.3	2.3416	2.2689	2.775
-304.2	2.3414	2.2683	2.774
-304.1	2.3413	2.2678	2.773
-304	2.3411	2.2672	2.772
-303.9	2.3409	2.2666	2.771
-303.8	2.3408	2.266	2.77
-303.7	2.3408	2.2654	2.769
-303.6	2.3406	2.2647	2.768
-303.5	2.3405	2.2641	2.767
-303.4	2.3404	2.2635	2.766
-303.3	2.3404	2.2628	2.765
-303.2	2.3403	2.2622	2.764
-303.1	2.3402	2.2615	2.7631
-303	2.34	2.2608	2.7621
-302.9	2.3398	2.2601	2.7611
-302.8	2.3396	2.2594	2.7602
-302.7	2.3394	2.2588	2.7594
-302.6	2.3392	2.2581	2.7586
-302.5	2.3389	2.2574	2.7578
-302.4	2.3387	2.2567	2.7572
-302.3	2.3385	2.2559	2.7565
-302.2	2.3382	2.2552	2.756
-302.1	2.3379	2.2545	2.7555
-302	2.3375	2.2538	2.7551
-301.9	2.3373	2.2531	2.7547
-301.8	2.3369	2.2524	2.7544
-301.7	2.3365	2.2516	2.7542
-301.6	2.3361	2.2509	2.7541
-301.5	2.3358	2.2501	2.754
-301.4	2.3354	2.2494	2.7539
-301.3	2.335	2.2486	2.7539
-301.2	2.3345	2.2479	2.7539
-301.1	2.3341	2.2471	2.7539
-301	2.3337	2.2464	2.7538
-300.9	2.3333	2.2456	2.7539
-300.8	2.3328	2.2449	2.7539
-300.7	2.3323	2.2441	2.754
-300.6	2.3319	2.2434	2.754
-300.5	2.3315	2.2426	2.7541
-300.4	2.331	2.2419	2.7541
-300.3	2.3305	2.2412	2.7541
-300.2	2.33	2.2405	2.7542
-300.1	2.3295	2.2397	2.7543
-300	2.3291	2.239	2.7543
-299.9	2.3286	2.2383	2.7544
-299.8	2.3281	2.2376	2.7543
-299.7	2.3277	2.2368	2.7543
-299.6	2.3272	2.2361	2.7542
-299.5	2.3267	2.2354	2.7542
-299.4	2.3262	2.2347	2.7541
-299.3	2.3258	2.2341	2.7541
-299.2	2.3253	2.2334	2.754
-299.1	2.3246	2.2328	2.754
-299	2.324	2.2321	2.7539
-298.9	2.3234	2.2315	2.7539
-298.8	2.3227	2.2309	2.7539
-298.7	2.3222	2.2304	2.754
-298.6	2.3215	2.2298	2.7541
-298.5	2.3209	2.2292	2.7541
-298.4	2.3202	2.2287	2.7544
-298.3	2.3194	2.2281	2.7546
-298.2	2.3186	2.2275	2.7549
-298.1	2.3179	2.2269	2.7552
-298	2.3172	2.2264	2.7555
-297.9	2.3166	2.2258	2.7558
-297.8	2.3158	2.2252	2.7562
-297.7	2.3151	2.2246	2.7565
-297.6	2.3143	2.2241	2.7568
-297.5	2.3135	2.2236	2.7572
-297.4	2.3127	2.2231	2.7575
-297.3	2.312	2.2226	2.7579
-297.2	2.3112	2.2221	2.7582
-297.1	2.3105	2.2216	2.7586
-297	2.3097	2.2211	2.7589
-296.9	2.3088	2.2206	2.7593
-296.8	2.3081	2.2201	2.7596
-296.7	2.3073	2.2196	2.76
-296.6	2.3065	2.2191	2.7604
-296.5	2.3057	2.2186	2.7608
-296.4	2.3049	2.2181	2.7612
-296.3	2.304	2.2176	2.7616
-296.2	2.3032	2.2171	2.762
-296.1	2.3025	2.2165	2.7624
-296	2.3016	2.216	2.7628
-295.9	2.3008	2.2156	2.7633
-295.8	2.3	2.2151	2.7637
-295.7	2.2993	2.2146	2.7642
-295.6	2.2985	2.2142	2.7647
-295.5	2.2978	2.2138	2.7653
-295.4	2.297	2.2134	2.7659
-295.3	2.2962	2.213	2.7665
-295.2	2.2954	2.2126	2.7671
-295.1	2.2946	2.2122	2.7677
-295	2.2938	2.2118	2.7684
-294.9	2.293	2.2114	2.7691
-294.8	2.2922	2.2109	2.7698
