[KWnZOT]	[bar]	[bar]	[bar]
-334	1	2.1559	2.8109
-333.9	1	2.1558	2.8097
-333.8	1	2.1562	2.8077
-333.7	1	2.1554	2.8051
-333.6	1	2.1562	2.8061
-333.5	1	2.1564	2.8037
-333.4	1	2.1557	2.8015
-333.3	1	2.1553	2.8
-333.2	1	2.1556	2.7988
-333.1	1	2.1556	2.7968
-333	1	2.1556	2.7961
-332.9	1	2.155	2.7941
-332.8	1	2.1556	2.7935
-332.7	1	2.1547	2.7905
-332.6	1	2.1557	2.7912
-332.5	1	2.1555	2.7897
-332.4	1	2.1555	2.7885
-332.3	1	2.1557	2.7866
-332.2	1	2.156	2.7865
-332.1	1	2.156	2.7845
-332	1	2.1567	2.7848
-331.9	1	2.1566	2.7832
-331.8	1	2.1565	2.7817
-331.7	1	2.1571	2.7808
-331.6	1	2.1576	2.7805
-331.5	1	2.1579	2.7796
-331.4	1	2.158	2.7783
-331.3	1	2.1585	2.7773
-331.2	1	2.1587	2.7764
-331.1	1	2.159	2.775
-331	1	2.1594	2.7736
-330.9	1	2.1603	2.7741
-330.8	1	2.1609	2.7728
-330.7	1	2.1617	2.7722
-330.6	1	2.1621	2.771
-330.5	1	2.1633	2.7713
-330.4	1	2.1633	2.7691
-330.3	1	2.1643	2.7681
-330.2	1	2.1646	2.7672
-330.1	1	2.1657	2.7672
-330	1	2.166	2.7652
-329.9	1	2.1674	2.7659
-329.8	1	2.1673	2.7638
-329.7	1	2.1682	2.7635
-329.6	1	2.1684	2.7622
-329.5	1	2.1692	2.762
-329.4	1	2.1702	2.7615
-329.3	1	2.1713	2.7618
-329.2	1	2.1712	2.7598
-329.1	1	2.1728	2.7611
-329	1	2.173	2.7592
-328.9	1	2.1735	2.7579
-328.8	1	2.1747	2.7586
-328.7	1	2.1755	2.7577
-328.6	1	2.1762	2.7566
-328.5	1	2.1765	2.7558
-328.4	1	2.1783	2.7569
-328.3	1	2.1791	2.7559
-328.2	1	2.1796	2.7552
-328.1	1	2.1801	2.7548
-328	1	2.1817	2.7553
-327.9	1	2.1822	2.7541
-327.8	1	2.183	2.7543
-327.7	1	2.1837	2.754
-327.6	1	2.1852	2.7539
-327.5	1	2.1856	2.7523
-327.4	1	2.1865	2.7523
-327.3	1	2.1881	2.7527
-327.2	1	2.1883	2.7507
-327.1	1	2.1891	2.7504
-327	1	2.1906	2.7515
-326.9	1	2.1915	2.7501
-326.8	1	2.192	2.7496
-326.7	1	2.1925	2.7491
-326.6	1	2.1938	2.7488
-326.5	1	2.1944	2.7483
-326.4	1	2.1955	2.7481
-326.3	1	2.1962	2.7483
-326.2	1	2.1967	2.7469
-326.1	1	2.1974	2.7459
-326	1	2.199	2.7478
-325.9	1	2.1997	2.747
-325.8	1	2.2006	2.7461
-325.7	1	2.2018	2.7469
-325.6	1	2.2023	2.7461
-325.5	1	2.2038	2.7461
-325.4	1	2.2041	2.746
-325.3	1	2.2048	2.7462
-325.2	1	2.2059	2.7463
-325.1	1	2.2065	2.7463
-325	1	2.2079	2.7475
-324.9	1	2.2092	2.7487
-324.8	1	2.2096	2.7476
-324.7	1	2.2107	2.7486
-324.6	1	2.2117	2.7494
-324.5	1	2.2126	2.7491
-324.4	1	2.2132	2.7493
-324.3	1	2.2148	2.7509
-324.2	1	2.2158	2.7514
-324.1	1	2.2167	2.7516
-324	1	2.2174	2.7515
-323.9	1	2.2186	2.7523
-323.8	1	2.22	2.7527
-323.7	1	2.2205	2.7529
-323.6	1	2.2212	2.7532
-323.5	1	2.2223	2.7544
-323.4	1	2.2232	2.7551
-323.3	1	2.2234	2.7554
-323.2	1	2.2247	2.7563
-323.1	1	2.2254	2.7578
-323	1	2.2254	2.7574
-322.9	1	2.2269	2.7587
-322.8	1	2.2272	2.7599
-322.7	1	2.2283	2.7613
-322.6	1	2.2288	2.7614
-322.5	1	2.2295	2.7608
-322.4	1	2.2303	2.7623
-322.3	1	2.2312	2.7637
-322.2	1	2.2315	2.7639
-322.1	1	2.232	2.7654
-322	1	2.233	2.7683
-321.9	1	2.2328	2.7675
-321.8	1	2.2333	2.7692
-321.7	1	2.2339	2.7703
-321.6	1	2.2345	2.7715
-321.5	1	2.2343	2.7699
-321.4	1	2.2351	2.7716
-321.3	1	2.2361	2.7735
-321.2	1	2.237	2.7738
-321.1	1	2.2367	2.773
-321	1	2.2377	2.7747
-320.9	1	2.2382	2.7749
-320.8	1	2.2388	2.7759
-320.7	1	2.2385	2.7759
-320.6	1	2.2391	2.7782
-320.5	1	2.2399	2.7799
-320.4	1	2.2398	2.7789
-320.3	1	2.2404	2.7813
-320.2	1	2.2408	2.7835
-320.1	1	2.2412	2.7842
-320	1	2.2407	2.7842
-319.9	1	2.2417	2.7871
-319.8	1	2.2415	2.7868
-319.7	1	2.2421	2.7891
-319.6	1	2.2416	2.7896
-319.5	1	2.2424	2.7918
-319.4	1	2.243	2.7942
-319.3	1	2.2433	2.7947
-319.2	1	2.2435	2.7959
-319.1	1	2.2432	2.7975
-319	1	2.2442	2.8003
-318.9	1	2.2441	2.8007
-318.8	1	2.2447	2.8031
-318.7	1	2.2444	2.8028
-318.6	1	2.2448	2.8027
-318.5	1	2.2448	2.8025
-318.4	1	2.2447	2.8025
-318.3	1	2.2452	2.8034
-318.2	1	2.2453	2.8036
-318.1	1	2.2459	2.8035
-318	1	2.2464	2.8041
-317.9	1	2.2471	2.8049
-317.8	1	2.2473	2.8041
-317.7	1	2.2481	2.805
-317.6	1	2.2479	2.8037
-317.5	1	2.2486	2.8042
-317.4	1	2.2493	2.8052
-317.3	1	2.2495	2.8042
-317.2	1	2.2506	2.8047
-317.1	1	2.2504	2.8035
-317	1	2.2509	2.8041
-316.9	1	2.2511	2.804
-316.8	1	2.2512	2.8048
-316.7	1	2.2512	2.8056
-316.6	1	2.2507	2.8056
-316.5	1	2.2512	2.8068
-316.4	1	2.2515	2.8078
-316.3	1	2.2517	2.8086
-316.2	1	2.252	2.8095
-316.1	1	2.2521	2.8107
-316	1	2.2527	2.8129
-315.9	1	2.2535	2.8151
-315.8	1	2.2538	2.8152
-315.7	1	2.2542	2.8162
-315.6	1	2.2551	2.8184
-315.5	1	2.2556	2.8193
-315.4	1	2.2559	2.8201
-315.3	1	2.2566	2.8215
-315.2	1	2.2564	2.821
-315.1	1	2.2575	2.8232
-315	1	2.2575	2.8223
-314.9	1	2.2574	2.8222
-314.8	1	2.2587	2.8245
-314.7	1	2.2591	2.8244
-314.6	1	2.2594	2.8247
-314.5	1	2.2596	2.8248
-314.4	1	2.2604	2.8256
-314.3	1	2.2603	2.8253
-314.2	1	2.2607	2.8251
-314.1	1	2.2609	2.8245
-314	1	2.2611	2.8238
-313.9	1	2.2612	2.823
-313.8	1	2.2623	2.8246
-313.7	1	2.2625	2.8232
-313.6	1	2.2627	2.8233
-313.5	1	2.2632	2.8234
-313.4	1	2.2642	2.8245
-313.3	1	2.2645	2.8245
-313.2	1	2.265	2.8242
-313.1	1	2.2659	2.8253
-313	1	2.266	2.825
-312.9	1	2.2673	2.8262
-312.8	1	2.2678	2.8264
-312.7	1	2.2678	2.8259
-312.6	1	2.2683	2.8259
-312.5	1	2.2685	2.8261
-312.4	1	2.2689	2.8259
-312.3	1	2.2699	2.8265
-312.2	1	2.2698	2.8258
-312.1	1	2.2706	2.8256
-312	1	2.2708	2.825
-311.9	1	2.271	2.8245
-311.8	1	2.2719	2.8241
-311.7	1	2.2721	2.8225
-311.6	1	2.2725	2.8214
-311.5	1	2.2734	2.8214
-311.4	1	2.2731	2.819
-311.3	1	2.2741	2.819
-311.2	1	2.2745	2.8177
-311.1	1	2.2754	2.818
-311	1	2.2755	2.8164
-310.9	1	2.2765	2.8161
-310.8	1	2.2769	2.8162
-310.7	1	2.2771	2.8152
-310.6	1	2.2781	2.8149
-310.5	1	2.2781	2.8141
-310.4	1	2.2782	2.8135
-310.3	1	2.2786	2.812
-310.2	1	2.2789	2.8121
-310.1	1	2.2783	2.8112
-310	1	2.2791	2.8111
-309.9	1	2.2798	2.812
-309.8	1	2.2798	2.8122
-309.7	1	2.2803	2.8116
-309.6	1	2.281	2.8114
-309.5	1	2.2806	2.8115
-309.4	1	2.2815	2.8116
-309.3	1	2.2812	2.8101
-309.2	1	2.2817	2.811
-309.1	1	2.2817	2.8092
-309	1	2.2824	2.8095
-308.9	1	2.2825	2.8082
-308.8	1	2.2827	2.8076
-308.7	1	2.2827	2.8058
-308.6	1	2.2834	2.8053
-308.5	1	2.2834	2.8054
-308.4	1	2.2835	2.8042
-308.3	1	2.284	2.8028
-308.2	1	2.2833	2.8006
-308.1	1	2.2843	2.8009
-308	1	2.2843	2.798
-307.9	1	2.2843	2.7973
-307.8	1	2.2842	2.7956
-307.7	1	2.2849	2.7955
-307.6	1	2.2847	2.7936
-307.5	1	2.2843	2.7927
-307.4	1	2.284	2.7911
-307.3	1	2.2841	2.7907
-307.2	1	2.2836	2.7895
-307.1	1	2.2836	2.7886
-307	1	2.2836	2.7885
-306.9	1	2.283	2.7868
-306.8	1	2.2829	2.7874
-306.7	1	2.2822	2.7856
-306.6	1	2.2825	2.7862
