CA	pMess	dummy	dummy	
[KWnZOT]	[bar]	[bar]	[bar]	
-266.55	0.926952857	5	5	
-266.3	0.927283658	5	5	
-266.05	0.927738827	5	5	
-265.8	0.928109334	5	5	
-265.55	0.928201216	5	5	
-265.3	0.927917359	5	5	
-265.05	0.927300263	5	5	
-264.8	0.926516299	5	5	
-264.55	0.925792641	5	5	
-264.3	0.925339819	5	5	
-264.05	0.925293821	5	5	
-263.8	0.925694619	5	5	
-263.55	0.926496647	5	5	
-263.3	0.927594873	5	5	
-263.05	0.928851956	5	5	
-262.8	0.930121309	5	5	
-262.55	0.931267802	5	5	
-262.3	0.932187788	5	5	
-262.05	0.93282575	5	5	
-261.8	0.933182358	5	5	
-261.55	0.933310788	5	5	
-261.3	0.933302603	5	5	
-261.05	0.933267313	5	5	
-260.8	0.93330951	5	5	
-260.55	0.933506457	5	5	
-260.3	0.933889564	5	5	
-260.05	0.934434792	5	5	
-259.8	0.93506666	5	5	
-259.55	0.935676643	5	5	
-259.3	0.936151469	5	5	
-259.05	0.936404076	5	5	
-258.8	0.936401047	5	5	
-258.55	0.936182022	5	5	
-258.3	0.935864868	5	5	
-258.05	0.935626654	5	5	
-257.8	0.93565215	5	5	
-257.55	0.936055341	5	5	
-257.3	0.936801611	5	5	
-257.05	0.93767329	5	5	
-256.8	0.938312517	5	5	
-256.55	0.938340511	5	5	
-256.3	0.937509338	5	5	
-256.05	0.935818765	5	5	
-255.8	0.933544337	5	5	
-255.55	0.931166264	5	5	
-255.3	0.929235378	5	5	
-255.05	0.928234308	5	5	
-254.8	0.928479902	5	5	
-254.55	0.930080934	5	5	
-254.3	0.932937848	5	5	
-254.05	0.936764914	5	5	
-253.8	0.941126683	5	5	
-253.55	0.945493706	5	5	
-253.3	0.949322975	5	5	
-253.05	0.952155375	5	5	
-252.8	0.953706884	5	5	
-252.55	0.95392488	5	5	
-252.3	0.95298994	5	5	
-252.05	0.951261507	5	5	
-251.8	0.949183618	5	5	
-251.55	0.947177874	5	5	
-251.3	0.945553252	5	5	
-251.05	0.944456828	5	5	
-250.8	0.943877607	5	5	
-250.55	0.943699246	5	5	
-250.3	0.943780207	5	5	
-250.05	0.944027711	5	5	
-249.8	0.944431777	5	5	
-249.55	0.945041378	5	5	
-249.3	0.945892887	5	5	
-249.05	0.946928998	5	5	
-248.8	0.947957715	5	5	
-248.55	0.948685415	5	5	
-248.3	0.948820301	5	5	
-248.05	0.948202619	5	5	
-247.8	0.946898887	5	5	
-247.55	0.945210806	5	5	
-247.3	0.943588281	5	5	
-247.05	0.942479566	5	5	
-246.8	0.942178984	5	5	
-246.55	0.942732853	5	5	
-246.3	0.94393872	5	5	
-246.05	0.945433577	5	5	
-245.8	0.946830166	5	5	
-245.55	0.947843087	5	5	
-245.3	0.948356285	5	5	
-245.05	0.948415406	5	5	
-244.8	0.948164877	5	5	
-244.55	0.947770936	5	5	
-244.3	0.947368601	5	5	
-244.05	0.947048507	5	5	
-243.8	0.946874031	5	5	
-243.55	0.9469047	5	5	
-243.3	0.947203738	5	5	
-243.05	0.947821719	5	5	
-242.8	0.948765422	5	5	
-242.55	0.94997199	5	5	
-242.3	0.95130786	5	5	
-242.05	0.95259984	5	5	
-241.8	0.953688151	5	5	
-241.55	0.954478111	5	5	
