CA	pMess	dummy	dummy
[KWnZOT]	[bar]	[bar]	[bar]
-315.3	1.104773131	5	5
-315.05	1.106361507	5	5
-314.8	1.107795578	5	5
-314.55	1.108995475	5	5
-314.3	1.109920557	5	5
-314.05	1.110571156	5	5
-313.8	1.110983097	5	5
-313.55	1.111216102	5	5
-313.3	1.111338695	5	5
-313.05	1.111412811	5	5
-312.8	1.111481242	5	5
-312.55	1.111560712	5	5
-312.3	1.111642589	5	5
-312.05	1.11170185	5	5
-311.8	1.111712592	5	5
-311.55	1.111665755	5	5
-311.3	1.111582849	5	5
-311.05	1.111519652	5	5
-310.8	1.111556588	5	5
-310.55	1.11177714	5	5
-310.3	1.112240484	5	5
-310.05	1.112957475	5	5
-309.8	1.113878748	5	5
-309.55	1.114900004	5	5
-309.3	1.115883867	5	5
-309.05	1.116692077	5	5
-308.8	1.117218486	5	5
-308.55	1.117413183	5	5
-308.3	1.117291253	5	5
-308.05	1.116924631	5	5
-307.8	1.116420622	5	5
-307.55	1.115894179	5	5
-307.3	1.115442046	5	5
-307.05	1.115125361	5	5
-306.8	1.114963976	5	5
-306.55	1.114941827	5	5
-306.3	1.115019499	5	5
-306.05	1.115148598	5	5
-305.8	1.115283037	5	5
-305.55	1.115384592	5	5
-305.3	1.115422882	5	5
-305.05	1.11537232	5	5
-304.8	1.115209376	5	5
-304.55	1.114912718	5	5
-304.3	1.114466809	5	5
-304.05	1.113867554	5	5
-303.8	1.113127388	5	5
-303.55	1.112277334	5	5
-303.3	1.111364704	5	5
-303.05	1.110446672	5	5
-302.8	1.109581239	5	5
-302.55	1.108817864	5	5
-302.3	1.10819013	5	5
-302.05	1.107712386	5	5
-301.8	1.10738146	5	5
-301.55	1.107183138	5	5
-301.3	1.107101475	5	5
-301.05	1.107127496	5	5
-300.8	1.107263305	5	5
-300.55	1.107518785	5	5
-300.3	1.107900876	5	5
-300.05	1.1083991	5	5
-299.8	1.108973713	5	5
-299.55	1.109552956	5	5
-299.3	1.110042793	5	5
-299.05	1.110347274	5	5
-298.8	1.11039273	5	5
-298.55	1.110147007	5	5
-298.3	1.10962702	5	5
-298.05	1.108893034	5	5
-297.8	1.108033616	5	5
-297.55	1.10714815	5	5
-297.3	1.106332897	5	5
-297.05	1.105672703	5	5
-296.8	1.105236183	5	5
-296.55	1.105070227	5	5
-296.3	1.105191018	5	5
-296.05	1.10557255	5	5
-295.8	1.106137416	5	5
-295.55	1.106756132	5	5
-295.3	1.107259372	5	5
-295.05	1.107462965	5	5
-294.8	1.107200518	5	5
-294.55	1.106355305	5	5
-294.3	1.104882974	5	5
-294.05	1.102819668	5	5
-293.8	1.100274801	5	5
-293.55	1.097412089	5	5
-293.3	1.094424902	5	5
-293.05	1.091511943	5	5
-292.8	1.088857178	5	5
-292.55	1.086615068	5	5
-292.3	1.084899943	5	5
-292.05	1.083777542	5	5
-291.8	1.083257648	5	5
-291.55	1.083288684	5	5
-291.3	1.083757046	5	5
-291.05	1.084494773	5	5
-290.8	1.085298124	5	5
-290.55	1.085956683	5	5
-290.3	1.086288622	5	5
