CAD	TKE	EPS	INT		Crank	TKE	EPS	Intensty
				 	[CADaTDCF]	[m^2/s^2]	[m^2/s^3]	[m/s]
-112.010983	13.68933964	2782.991672	2.9712113	 	-32.4691	23.7787	20227.1	3.76353
-111.9110379	13.68520726	2778.791724	2.970608909	 	-31.9561	23.5242	19697.5	3.74998
-111.8110928	13.68110863	2774.70625	2.970017128	 	-31.4431	23.2669	19238.3	3.73541
-111.7111477	13.67701001	2770.620775	2.969425348	 	-30.9871	23.0362	18909.9	3.72559
-111.6112026	13.67291138	2766.535301	2.968833568	 	-30.4741	22.7711	18606	3.70896
-111.5112576	13.66881275	2762.449826	2.968241788	 	-29.9611	22.4989	18328.8	3.69115
-111.4113125	13.66488639	2758.508217	2.967669316	 	-29.4481	22.2221	18050.2	3.67234
-111.3113674	13.66100938	2754.607826	2.967102376	 	-28.9921	21.9739	17801	3.65495
-111.2114223	13.65713237	2750.707435	2.966535436	 	-28.4791	21.6935	17521.4	3.63477
-111.1114772	13.65325535	2746.807044	2.965968496	 	-27.9661	21.4129	17245	3.61407
-111.0115321	13.64937834	2742.906653	2.965401556	 	-27.4531	21.1339	16975.5	3.59299
-110.911587	13.64557667	2739.12429	2.964947622	 	-26.9971	20.8883	16742.7	3.57405
-110.811642	13.64181655	2735.407034	2.964556024	 	-26.4841	20.6146	16488.7	3.55252
-110.7116969	13.63805643	2731.689778	2.964164426	 	-25.9711	20.3439	16243.2	3.5308
-110.6117518	13.63429631	2727.972523	2.963772829	 	-25.4581	20.076	16005.6	3.50889
-110.5118067	13.6305362	2724.255267	2.963381231	 	-24.9451	19.8119	15776.5	3.48736
-110.4118616	13.62698542	2720.7314	2.962957734	 	-24.4891	19.5778	15676.7	3.47035
-110.3119165	13.62363443	2717.392104	2.962503792	 	-23.9761	19.3155	15497.1	3.44771
-110.2119714	13.62028345	2714.052808	2.962049851	 	-23.4631	19.0551	15314.1	3.42474
-110.1120264	13.61693246	2710.713512	2.961595909	 	-22.9501	18.7976	15124.2	3.40156
-110.0120813	13.61358148	2707.374216	2.961141968	 	-22.4941	18.572	14952	3.38088
-109.9121362	13.61027939	2704.133363	2.960678154	 	-21.9811	18.3219	14755.6	3.35757
-109.8121911	13.60705748	2701.053914	2.960198155	 	-21.4681	18.0764	14559.2	3.3343
-109.712246	13.60383556	2697.974466	2.959718155	 	-20.9551	17.8355	14363.4	3.31109
-109.6123009	13.60061365	2694.895018	2.959238156	 	-20.4991	17.6254	14190.6	3.29054
-109.5123558	13.59739173	2691.815569	2.958758156	 	-19.9861	17.3933	13997.6	3.2675
-109.4124108	13.59400084	2688.840493	2.958270801	 	-19.4731	17.1657	13806.5	3.24458
-109.3124657	13.59057192	2685.888899	2.957781791	 	-18.9601	16.9429	13617.3	3.22178
-109.2125206	13.58714301	2682.937304	2.957292781	 	-18.4471	16.7225	13514.2	3.20224
-109.1125755	13.58371409	2679.985709	2.956803771	 	-17.9911	16.526	13360.2	3.18169
-109.0126304	13.58028518	2677.034115	2.956314761	 	-17.4781	16.3065	13192.5	3.15841
-108.9126853	13.57721581	2674.221014	2.955859043	 	-16.9651	16.0889	13018.4	3.13495
-108.8127403	13.57431292	2671.472037	2.955418739	 	-16.4521	15.8733	12835.8	3.11136
-108.7127952	13.57141004	2668.72306	2.954978435	 	-15.9961	15.6838	12667	3.09035
-108.6128501	13.56850715	2665.974083	2.954538131	 	-15.4831	15.4732	12470	3.06667
-108.512905	13.56560426	2663.225106	2.954097827	 	-14.9701	15.265	12265.9	3.04293
-108.4129599	13.56266918	2660.5169	2.953658596	 	-14.4571	15.0588	12056	3.01913
-108.3130148	13.55970785	2657.841956	2.95322024	 	-13.9441	14.8534	11840.5	2.99517
-108.2130697	13.55674651	2655.167013	2.952781885	 	-13.4881	14.6704	11645.4	2.97367
-108.1131247	13.55378518	2652.492069	2.952343529	 	-12.9751	14.4652	11424.5	2.94935
-108.0131796	13.55082384	2649.817126	2.951905174	 	-12.4621	14.2619	11202	2.92497
-107.9132345	13.54787268	2647.170983	2.95146865	 	-11.9491	14.0604	10976.3	2.9005
-107.8132894	13.5449357	2644.564958	2.951034678	 	-11.4931	13.8816	10812.7	2.88189
-107.7133443	13.54199871	2641.958934	2.950600706	 	-10.9801	13.6807	10586	2.85689
-107.6133992	13.53906173	2639.35291	2.950166734	 	-10.4671	13.4839	10356	2.83204
-107.5134541	13.53612475	2636.746886	2.949732761	 	-9.95408	13.2913	10127	2.80743
-107.4135091	13.53375021	2634.300219	2.949355033	 	-9.49808	13.1221	9923.51	2.78563
-107.313564	13.53147076	2631.880496	2.948986815	 	-8.98508	12.9323	9693.42	2.76104
-107.2136189	13.52919131	2629.460773	2.948618596	 	-8.47208	12.7426	9461.79	2.73633
-107.1136738	13.52691186	2627.04105	2.948250377	 	-7.95908	12.5527	9228.88	2.71148
-107.0137287	13.52463241	2624.621327	2.947882158	 	-7.44608	12.3626	8995.23	2.68648
-106.9137836	13.52202918	2622.197381	2.947487193	 	-6.99008	12.1929	8787.24	2.6641
-106.8138386	13.51930164	2619.771813	2.947081957	 	-6.47708	12.0008	8553.56	2.63872
-106.7138935	13.51657409	2617.346245	2.946676722	 	-5.96408	11.8078	8321	2.61314
-106.6139484	13.51384654	2614.920677	2.946271487	 	-5.45108	11.6135	8090.32	2.58733
-106.5140033	13.511119	2612.495109	2.945866251	 	-4.99508	11.4395	7887.42	2.5642
-106.4140582	13.50852933	2610.13733	2.94547825	 	-4.48208	11.2428	7662.4	2.538
-106.3141131	13.50603557	2607.826709	2.945102238	 	-3.96908	11.0501	7445.4	2.51214
-106.214168	13.50354181	2605.516088	2.944726227	 	-3.45608	10.8584	7239.17	2.48641
-106.114223	13.50104806	2603.205466	2.944350215	 	-2.9836	10.6992	7073.96	2.46471
-106.0142779	13.4985543	2600.894845	2.943974203	 	-2.49871	10.5495	6928.3	2.44425
-105.9143328	13.49619407	2598.642087	2.943610654	 	-1.99302	10.422	6828.52	2.42672
-105.8143877	13.49399256	2596.458102	2.943261918	 	-1.48145	10.2669	6723.39	2.40678
-105.7144426	13.49179104	2594.274116	2.942913182	 	-0.98944	10.1267	6644.72	2.38856
