Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	T_mittel [K]	 kappa [-]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Alpha [W/(m^2K)]
-147.3	 2.2494339299515277E-4	 6.82895097384774E-4	 1.0730217965522049	 0.0	 0.0	 0.0	 374.6114910736163	 1.369278076139381	 -79.87919769487657	 -0.0066549250960059704	 -0.01824551881813053	 0.0	 0.0	 73.81542767585987	 
-147.2	 2.3327462977275101E-4	 6.826602732917566E-4	 1.0735308254178817	 0.0	 0.0	 0.0	 374.66032524772254	 1.3692726332076668	 -79.77971998068429	 -0.00664663737209567	 -0.018910182555340098	 0.0	 0.0	 73.86909737156309	 
-147.1	 2.4160586655034926E-4	 6.824247347909484E-4	 1.074041802304378	 0.0	 0.0	 0.0	 374.7093245554185	 1.3692671715461664	 -79.67972702146781	 -0.006638306721902417	 -0.01957401322753034	 0.0	 0.0	 73.92293453999451	 
-147.0	 2.4993710332794753E-4	 6.821884819550271E-4	 1.074554731277363	 0.0	 0.0	 0.0	 374.7584891909776	 1.3692616911300295	 -79.57921683922469	 -0.0066299329806341475	 -0.020237006525593754	 0.0	 0.0	 73.97693926868436	 
-146.9	 2.5826834010554575E-4	 6.819515148576294E-4	 1.0750696164206393	 0.0	 0.0	 0.0	 374.8078193493598	 1.3692561919343138	 -79.47818745018716	 -0.00662151598301847	 -0.020899158123895603	 0.0	 0.0	 74.03111164601721	 
-146.8	 2.66599576883144E-4	 6.817138335733584E-4	 1.0755864618362023	 0.0	 0.0	 0.0	 374.85731522621256	 1.3692506739339874	 -79.37663686481545	 -0.006613055563302116	 -0.021560463680225815	 0.0	 0.0	 74.08545176123428	 
-146.7	 2.749308136607423E-4	 6.814754381777905E-4	 1.0761052716443023	 0.0	 0.0	 0.0	 374.9069770178717	 1.3692451371039256	 -79.27456308778895	 -0.0066045515552502	 -0.022220918835750836	 0.0	 0.0	 74.13995970443575	 
-146.6	 2.832620504383405E-4	 6.812363287474805E-4	 1.076626049983505	 0.0	 0.0	 0.0	 374.9568049213625	 1.3692395814189133	 -79.17196411799821	 -0.006596003792145558	 -0.02288051921496539	 0.0	 0.0	 74.19463556658297	 
-146.5	 2.915932872159388E-4	 6.809965053599699E-4	 1.0771488010107533	 0.0	 0.0	 0.0	 375.00679913440035	 1.3692340068536435	 -79.06883794853685	 -0.0065874121067880645	 -0.023539260425644196	 0.0	 0.0	 74.24947943950069	 
-146.4	 2.99924523993537E-4	 6.807559680937932E-4	 1.0776735289014285	 0.0	 0.0	 0.0	 375.05695985539177	 1.3692284133827175	 -78.96518256669259	 -0.006578776331493895	 -0.024197138058793585	 0.0	 0.0	 74.30449141587917	 
-146.3	 3.082557607711353E-4	 6.805147170284833E-4	 1.078200237849414	 0.0	 0.0	 0.0	 375.10728728343526	 1.369222800980645	 -78.8609959539395	 -0.006570096298094875	 -0.02485414768860307	 0.0	 0.0	 74.35967158927652	 
-146.2	 3.1658699754873355E-4	 6.8027275224458E-4	 1.0787289320671563	 0.0	 0.0	 0.0	 375.15778161832225	 1.3692171696218434	 -78.75627608592893	 -0.006561371837937727	 -0.025510284872396843	 0.0	 0.0	 74.41502005412075	 
-146.1	 3.2491823432633177E-4	 6.800300738236356E-4	 1.0792596157857293	 0.0	 0.0	 0.0	 375.208443060538	 1.369211519280638	 -78.65102093248102	 -0.006552602781883357	 -0.026165545150585178	 0.0	 0.0	 74.4705369057121	 
-146.0	 3.3324947110393004E-4	 6.797866818482222E-4	 1.0797922932548958	 0.0	 0.0	 0.0	 375.2592718112626	 1.3692058499312618	 -78.54522845757567	 -0.006543788960306112	 -0.02681992404661579	 0.0	 0.0	 74.52622224022497	 
-145.9	 3.4158070788152826E-4	 6.795425764019377E-4	 1.080326968743172	 0.0	 0.0	 0.0	 375.3102680723715	 1.3692001615478553	 -78.43889661934384	 -0.0065349302030930445	 -0.027473417066925094	 0.0	 0.0	 74.58207615471022	 
-145.8	 3.4991194465912653E-4	 6.792977575694133E-4	 1.0808636465378922	 0.0	 0.0	 0.0	 375.3614320464371	 1.3691944541044667	 -78.33202337005896	 -0.006526026339643209	 -0.028126019700889415	 0.0	 0.0	 74.63809874709737	 
-145.7	 3.582431814367248E-4	 6.790522254363205E-4	 1.0814023309452705	 0.0	 0.0	 0.0	 375.4127639367289	 1.369188727575051	 -78.22460665612705	 -0.006517077198866826	 -0.028777727420776097	 0.0	 0.0	 74.69429011619651	 
-145.6	 3.66574418214323E-4	 6.788059800893768E-4	 1.0819430262904681	 0.0	 0.0	 0.0	 375.46426394721516	 1.3691829819334704	 -78.11664441807827	 -0.006508082609184587	 -0.029428535681694557	 0.0	 0.0	 74.75065036170056	 
-145.5	 3.749056549919213E-4	 6.785590216163532E-4	 1.082485736917656	 0.0	 0.0	 0.0	 375.51593228256326	 1.3691772171534946	 -78.00813459055675	 -0.006499042398526806	 -0.030078439921547236	 0.0	 0.0	 74.80717958418735	 
-145.4	 3.832368917695195E-4	 6.783113501060815E-4	 1.083030467190081	 0.0	 0.0	 0.0	 375.567769148141	 1.3691714332087992	 -77.89907510231254	 -0.006489956394332744	 -0.03072743556098051	 0.0	 0.0	 74.86387788512167	 
-145.3	 3.915681285471178E-4	 6.780629656484603E-4	 1.0835772214901314	 0.0	 0.0	 0.0	 375.6197747500172	 1.3691656300729669	 -77.78946387619071	 -0.006480824423549706	 -0.03137551800333548	 0.0	 0.0	 74.92074536685736	 
-145.2	 3.99899365324716E-4	 6.778138683344617E-4	 1.0841260042194023	 0.0	 0.0	 0.0	 375.6719492949631	 1.369159807719487	 -77.67929882912318	 -0.006471646312632358	 -0.03202268263459872	 0.0	 0.0	 74.97778213263935	 
-145.1	 4.082306021023143E-4	 6.775640582561399E-4	 1.0846768197987626	 0.0	 0.0	 0.0	 375.72429299045274	 1.3691539661217544	 -77.56857787211746	 -0.006462421887541789	 -0.032668924823352895	 0.0	 0.0	 75.03498828660581	 
-145.0	 4.1656183887991255E-4	 6.773135355066357E-4	 1.08522967266842	 0.0	 0.0	 0.0	 375.77680604466445	 1.3691481052530714	 -77.45729891024864	 -0.006453150973744844	 -0.03331423992072738	 0.0	 0.0	 75.09236393379007	 
-144.9	 4.248930756575108E-4	 6.770623001801852E-4	 1.0857845672879898	 0.0	 0.0	 0.0	 375.8294886664814	 1.3691422250866452	 -77.34545984264794	 -0.006443833396213171	 -0.033958623260348694	 0.0	 0.0	 75.14990918012275	 
-144.8	 4.3322431243510905E-4	 6.768103523721261E-4	 1.0863415081365602	 0.0	 0.0	 0.0	 375.88234106549277	 1.3691363255955893	 -77.23305856249398	 -0.006434468979422493	 -0.03460207015829094	 0.0	 0.0	 75.20762413243368	 
-144.7	 4.4155554921270726E-4	 6.765576921789042E-4	 1.0869004997127616	 0.0	 0.0	 0.0	 375.9353634519944	 1.3691304067529229	 -77.12009295700159	 -0.006425057547351675	 -0.035244575913026106	 0.0	 0.0	 75.26550889845412	 
-144.6	 4.4988678599030554E-4	 6.763043196980812E-4	 1.0874615465348327	 0.0	 0.0	 0.0	 375.9885560369904	 1.3691244685315702	 -77.0065609074134	 -0.006415598923482022	 -0.03588613580537431	 0.0	 0.0	 75.32356358681834	 
-144.5	 4.582180227679038E-4	 6.760502350283417E-4	 1.0880246531406907	 0.0	 0.0	 0.0	 376.0419190321934	 1.369118510904362	 -76.89246028898721	 -0.006406092930796232	 -0.03652674509845393	 0.0	 0.0	 75.38178830706616	 
-144.4	 4.6654925954550203E-4	 6.757954382694989E-4	 1.0885898240879979	 0.0	 0.0	 0.0	 376.09545265002583	 1.3691125338440329	 -76.77778897098764	 -0.006396539391777696	 -0.0371663990376317	 0.0	 0.0	 75.44018316964457	 
-144.3	 4.748804963231003E-4	 6.755399295225028E-4	 1.0891570639542316	 0.0	 0.0	 0.0	 376.14915710362095	 1.3691065373232232	 -76.66254481667465	 -0.00638693812840954	 -0.037805092850472656	 0.0	 0.0	 75.4987482859097	 
-144.2	 4.832117331006985E-4	 6.752837088894471E-4	 1.0897263773367543	 0.0	 0.0	 0.0	 376.2030326068237	 1.3691005213144785	 -76.54672568329356	 -0.006377288962173799	 -0.03844282174669004	 0.0	 0.0	 75.55748376812903	 
-144.1	 4.915429698782968E-4	 6.750267764735762E-4	 1.0902977688528814	 0.0	 0.0	 0.0	 376.25707937419173	 1.3690944857902483	 -76.4303294220639	 -0.006367591714050485	 -0.03907958091809509	 0.0	 0.0	 75.61638972948307	 
-144.0	 4.998742066558951E-4	 6.74769132379292E-4	 1.0908712431399528	 0.0	 0.0	 0.0	 376.3112976209963	 1.3690884307228872	 -76.31335387816904	 -0.00635784620451672	 -0.03971536553854676	 0.0	 0.0	 75.67546628406745	 
-143.9	 5.082054434334933E-4	 6.745107767121601E-4	 1.0914468048554022	 0.0	 0.0	 0.0	 376.36568756322345	 1.3690823560846543	 -76.19579689074554	 -0.006348052253545857	 -0.04035017076390134	 0.0	 0.0	 75.73471354689484	 
-143.8	 5.165366802110915E-4	 6.742517095789194E-4	 1.0920244586768288	 0.0	 0.0	 0.0	 376.4202494175747	 1.3690762618477124	 -76.07765629287141	 -0.006338209680606493	 -0.040983991731961995	 0.0	 0.0	 75.79413163389691	 
-143.7	 5.248679169886898E-4	 6.739919310874866E-4	 1.0926042093020674	 0.0	 0.0	 0.0	 376.4749834014685	 1.3690701479841287	 -75.95892991155613	 -0.006328318304661643	 -0.04161682356242816	 0.0	 0.0	 75.85372066192603	 
-143.6	 5.33199153766288E-4	 6.737314413469648E-4	 1.0931860614492603	 0.0	 0.0	 0.0	 376.52988973304036	 1.3690640144658746	 -75.8396155677285	 -0.006318377944167725	 -0.04224866135684493	 0.0	 0.0	 75.9134807487576	 
-143.5	 5.415303905438863E-4	 6.734702404676498E-4	 1.0937700198569296	 0.0	 0.0	 0.0	 376.5849686311451	 1.3690578612648245	 -75.71971107622706	 -0.006308388417073765	 -0.04287950019855231	 0.0	 0.0	 75.97341201309152	 
-143.4	 5.498616273214846E-4	 6.732083285610383E-4	 1.0943560892840485	 0.0	 0.0	 0.0	 376.6402203153567	 1.3690516883527573	 -75.59921424578613	 -0.00629834954082023	 -0.04350933515263433	 0.0	 0.0	 76.0335145745543	 
-143.3	 5.581928640990828E-4	 6.729457057398336E-4	 1.0949442745101143	 0.0	 0.0	 0.0	 376.69564500596977	 1.3690454957013543	 -75.4781228790271	 -0.006288261132338305	 -0.04413816126586816	 0.0	 0.0	 76.09378855370099	 
-143.2	 5.66524100876681E-4	 6.726823721179543E-4	 1.0955345803352214	 0.0	 0.0	 0.0	 376.7512429240006	 1.3690392832822011	 -75.35643477244604	 -0.006278123008048861	 -0.04476597356667305	 0.0	 0.0	 76.15423407201683	 
-143.1	 5.748553376542793E-4	 6.7241832781054E-4	 1.0961270115801343	 0.0	 0.0	 0.0	 376.80701429118847	 1.369033051066786	 -75.2341477164014	 -0.006267934983861427	 -0.045392767065059195	 0.0	 0.0	 76.2148512519194	 
-143.0	 5.831865744318776E-4	 6.721535729339598E-4	 1.096721573086361	 0.0	 0.0	 0.0	 376.8629593299958	 1.3690267990264997	 -75.11125949510209	 -0.006257696875173203	 -0.046018536752576514	 0.0	 0.0	 76.27564021676024	 
