Zeit	dQIters	relaxationsFaktor	pSoll	pIst	dQ
84.4	 122.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 123.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 124.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 125.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 126.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 127.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 128.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 129.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 130.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 131.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 132.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 133.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 134.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 135.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 136.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 137.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 138.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 139.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 140.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 141.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 142.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 143.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 144.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 145.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 146.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 147.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 148.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 149.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 150.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 151.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 152.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 153.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 154.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 155.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 156.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 157.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 158.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 159.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 160.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 161.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 162.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 163.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 164.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 165.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 166.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 167.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 168.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 169.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 170.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 171.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 172.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 173.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 174.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 175.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 176.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 177.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 178.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 179.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 180.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 181.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 182.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 183.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 184.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 185.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 186.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 187.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 188.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 189.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 190.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 191.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 192.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 193.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 194.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 195.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 196.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 197.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 198.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 199.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 200.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 201.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 202.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 203.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 204.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 205.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 206.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 207.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 208.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 209.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 210.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 211.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 212.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 213.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 214.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 215.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 216.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 217.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
