vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-317	1.738	1.8513	2.7178
-316.8	1.7375	1.8534	2.7151
-316.6	1.7392	1.8552	2.7126
-316.4	1.7419	1.8569	2.71
-316.2	1.7439	1.8583	2.7075
-316	1.7459	1.8595	2.705
-315.8	1.7495	1.8607	2.7026
-315.6	1.7517	1.8614	2.7003
-315.4	1.7532	1.862	2.698
-315.2	1.7559	1.8624	2.6959
-315	1.7606	1.8627	2.6941
-314.8	1.765	1.8628	2.6925
-314.6	1.7677	1.8627	2.6911
-314.4	1.7719	1.8625	2.6901
-314.2	1.7765	1.8622	2.6895
-314	1.7803	1.8618	2.6892
-313.8	1.7847	1.8613	2.6891
-313.6	1.7896	1.8608	2.6892
-313.4	1.7948	1.8601	2.6894
-313.2	1.7996	1.8593	2.6898
-313	1.8057	1.8585	2.6903
-312.8	1.8116	1.8577	2.6908
-312.6	1.8163	1.8568	2.6914
-312.4	1.8215	1.8561	2.692
-312.2	1.8272	1.8553	2.6926
-312	1.8329	1.8547	2.6934
-311.8	1.8384	1.854	2.6942
-311.6	1.8457	1.8535	2.6953
-311.4	1.8524	1.853	2.6964
-311.2	1.8585	1.8526	2.6977
-311	1.8653	1.8524	2.6991
-310.8	1.8712	1.8523	2.7006
-310.6	1.8755	1.8523	2.7022
-310.4	1.8799	1.8525	2.7039
-310.2	1.8865	1.853	2.7056
-310	1.8927	1.8536	2.7073
-309.8	1.8986	1.8542	2.7087
-309.6	1.9049	1.855	2.71
-309.4	1.9105	1.856	2.7111
-309.2	1.9151	1.8571	2.7119
-309	1.9206	1.8585	2.7127
-308.8	1.9268	1.86	2.7134
-308.6	1.9322	1.8617	2.7138
-308.4	1.9364	1.8634	2.714
-308.2	1.942	1.8653	2.7142
-308	1.9482	1.8673	2.7144
-307.8	1.9527	1.8693	2.7144
-307.6	1.9553	1.8715	2.7143
-307.4	1.9591	1.8738	2.7142
-307.2	1.9626	1.8763	2.714
-307	1.9662	1.8789	2.7136
-306.8	1.9694	1.8815	2.7129
-306.6	1.9721	1.8842	2.7121
-306.4	1.9751	1.887	2.7109
-306.2	1.9774	1.8899	2.7096
-306	1.9787	1.8928	2.7081
-305.8	1.9796	1.8957	2.7064
-305.6	1.9801	1.8987	2.7045
-305.4	1.9818	1.9017	2.7024
-305.2	1.9837	1.9048	2.7003
-305	1.9853	1.9081	2.6979
-304.8	1.9862	1.9112	2.6954
-304.6	1.9872	1.9145	2.6929
-304.4	1.9887	1.9176	2.6904
-304.2	1.9901	1.9208	2.6879
-304	1.9909	1.924	2.6854
-303.8	1.9924	1.9273	2.6829
-303.6	1.9952	1.9306	2.6805
-303.4	1.9977	1.9339	2.678
-303.2	1.9997	1.9372	2.6753
-303	2.0024	1.9405	2.6727
-302.8	2.0039	1.9438	2.67
-302.6	2.0051	1.9471	2.6672
-302.4	2.0063	1.9503	2.6642
-302.2	2.0085	1.9535	2.6612
-302	2.01	1.9566	2.658
-301.8	2.0115	1.9596	2.6546
-301.6	2.0137	1.9626	2.6513
-301.4	2.0159	1.9656	2.648
-301.2	2.017	1.9686	2.6446
-301	2.0187	1.9715	2.6414
-300.8	2.0208	1.9744	2.6382
-300.6	2.0225	1.977	2.6349
-300.4	2.0238	1.9796	2.6317
-300.2	2.0267	1.9822	2.6286
-300	2.0298	1.9848	2.6255
-299.8	2.0312	1.9874	2.6224
-299.6	2.0324	1.9899	2.6193
-299.4	2.0354	1.9924	2.6163
-299.2	2.0374	1.9949	2.6133
-299	2.039	1.9972	2.6103
-298.8	2.0405	1.9995	2.6073
-298.6	2.042	2.0018	2.6044
-298.4	2.0434	2.0039	2.6015
-298.2	2.0445	2.006	2.5988
-298	2.0458	2.0081	2.5961
-297.8	2.0468	2.0101	2.5935
-297.6	2.0481	2.012	2.5909
-297.4	2.0489	2.0139	2.5883
-297.2	2.0487	2.0157	2.5858
-297	2.05	2.0175	2.5833
-296.8	2.0521	2.0191	2.581
-296.6	2.0536	2.0206	2.5787
-296.4	2.0545	2.0219	2.5764
-296.2	2.0554	2.0233	2.5741
-296	2.0555	2.0247	2.5717
-295.8	2.0568	2.026	2.5694
-295.6	2.0589	2.0273	2.567
-295.4	2.0598	2.0285	2.5646
-295.2	2.0603	2.0296	2.5622
-295	2.0612	2.0307	2.5597
-294.8	2.0617	2.0317	2.5572
-294.6	2.0616	2.0326	2.5547
-294.4	2.0613	2.0334	2.5521
-294.2	2.0619	2.0341	2.5496
-294	2.0621	2.0349	2.5471
-293.8	2.0623	2.0357	2.5446
-293.6	2.0623	2.0364	2.5422
-293.4	2.062	2.0371	2.5398
-293.2	2.0615	2.0377	2.5376
-293	2.0616	2.0382	2.5353
-292.8	2.0618	2.0387	2.533
-292.6	2.0625	2.0392	2.5307
-292.4	2.064	2.0397	2.5284
-292.2	2.0662	2.0402	2.526
-292	2.0684	2.0408	2.5234
-291.8	2.0701	2.0413	2.5208
-291.6	2.0721	2.0418	2.5181
-291.4	2.0745	2.0423	2.5152
-291.2	2.0756	2.0429	2.5122
-291	2.0772	2.0434	2.5092
-290.8	2.08	2.0441	2.5061
-290.6	2.083	2.0447	2.5031
-290.4	2.0854	2.0454	2.5001
-290.2	2.088	2.0461	2.4972
-290	2.0903	2.0469	2.4943
-289.8	2.092	2.0477	2.4915
-289.6	2.0934	2.0485	2.4886
-289.4	2.0961	2.0494	2.4859
-289.2	2.0992	2.0502	2.4833
-289	2.1023	2.0511	2.4807
-288.8	2.1038	2.052	2.4781
-288.6	2.1052	2.0529	2.4754
-288.4	2.1071	2.0538	2.4728
-288.2	2.1083	2.0548	2.4702
-288	2.1096	2.0558	2.4677
-287.8	2.1123	2.0568	2.4653
-287.6	2.1142	2.0579	2.4629
-287.4	2.1146	2.0589	2.4607
-287.2	2.1158	2.0601	2.4587
-287	2.1169	2.0612	2.4568
-286.8	2.117	2.0622	2.4552
-286.6	2.1165	2.0633	2.4539
