t	L	rho	pS	cpl	cpd	waermeLeit	dynVis	waermeLeitLuft	dynVisLuft
500.0	 264067.3077576233	 614.7375000000001	 53501.88369488716	 2945.038355289437	 2485.399999999954	 0.10364433197833023	 0.00218	 0.041975676029188946	 2.7448952095727465E-5	 
510.0	 256602.3359545973	 606.3444368	 68685.52598309517	 2986.926026872734	 2521.756855677215	 0.10155537823197847	 0.00218	 0.04260699186965411	 2.7812393063646515E-5	 
520.0	 248670.92186948218	 597.8577472000001	 87120.12237668037	 3029.4094723710023	 2557.502497360757	 0.10089999751767209	 0.00218	 0.0432281164170476	 2.8172220697396367E-5	 
530.0	 240242.29804079366	 589.2774312	 109263.2519390583	 3072.4971655557442	 2592.642050254748	 0.10089999751767209	 0.00218	 0.04383865916422991	 2.8528622000343804E-5	 
540.0	 231286.48379551162	 580.6034887999999	 135589.2608206272	 3116.197700722039	 2627.182464863341	 0.10089999751767209	 0.00218	 0.04443879373459225	 2.88817582489116E-5	 
550.0	 221774.57688368545	 571.8359200000001	 166579.08529877663	 3160.5197944027655	 2661.1322518605693	 0.10089999751767209	 0.00218	 0.04502918877140161	 2.9231763709904892E-5	 
560.0	 211679.06061305333	 562.9747248000001	 202709.49128556252	 3205.472287107209	 2694.5012329530637	 0.10089999751767209	 0.00218	 0.0456108877482464	 2.9578748332111603E-5	 
570.0	 200974.1264836486	 554.0199032	 244444.07364869118	 3251.064145084391	 2727.300307836157	 0.10089999751767209	 0.00218	 0.04618515359826603	 2.9922803618860085E-5	 
580.0	 189636.01232242334	 544.9714552	 292229.527128458	 3297.3044621114827	 2759.541237271993	 0.10089999751767209	 0.00218	 0.04675329604577172	 3.026401069339301E-5	 
590.0	 177643.35591786145	 535.8293808000001	 346502.0712339878	 3344.202461307658	 2791.236442249461	 0.10089999751767209	 0.00218	 0.04731650036691093	 3.0602449446417274E-5	 
600.0	 164977.5641546027	 526.5936800000001	 407710.45902466774	 3391.7674969737354	 2822.3988191198414	 0.10089999751767209	 0.00218	 0.04787567603124643	 3.0938207596687014E-5	 
610.0	 151623.19764805894	 517.2643528000001	 476363.7527296543	 3440.0090564580014	 2853.0415705397627	 0.10089999751767209	 0.00218	 0.04843134227453305	 3.127138850833372E-5	 
620.0	 137568.3708790426	 507.84139919999996	 553113.9794952869	 3488.9367620485527	 2883.17805199332	 0.10089999751767209	 0.00218	 0.04898356510754098	 3.1602116686700057E-5	 
630.0	 122805.16782837402	 498.3248192000001	 638885.910681963	 3538.5603728925685	 2912.821633609069	 0.10089999751767209	 0.00218	 0.049531956637402175	 3.193054002340859E-5	 
640.0	 107330.07311151299	 488.71461280000005	 735068.5255768299	 3588.8897869428747	 2941.9855769342685	 0.10089999751767209	 0.00218	 0.05007574276223892	 3.2256828074696416E-5	 
650.0	 91144.41861315054	 479.01078000000007	 843785.2280571461	 3639.935042932195	 2970.682926278677	 0.10089999751767209	 0.00218	 0.05061389942192562	 3.258116594223365E-5	 
660.0	 74254.84562182712	 469.21332080000013	 968262.5828354359	 3691.706322375479	 2998.926414193429	 0.10089999751767209	 0.00218	 0.05114535051566094	 3.290374367534378E-5	 
670.0	 56673.78246450267	 459.3222352000001	 1113320.2289040089	 3744.213951600719	 3026.7283806062824	 0.10089999751767209	 0.00218	 0.05166921248103762	 3.322474153381828E-5	 
680.0	 38419.937641131924	 449.3375232000001	 1286007.710757494	 3797.468403808639	 3054.1007050944454	 0.10089999751767209	 0.00218	 0.05218506118270483	 3.354431193832005E-5	 
690.0	 19518.808459209627	 439.2591848	 1496417.2312691212	 3851.480301161688	 3081.0547517379055	 0.10089999751767209	 0.00218	 0.05269318642704235	 3.38625594887733E-5	 
700.0	 0.0	 429.08722	 1620000.0006878376	 3906.2604169027427	 3107.601325962376	 0.10089999751767209	 0.00218	 0.05319478773231623	 3.417952105429689E-5	 
710.0	 0.0	 418.8216288000001	 1620000.0006878376	 3961.8196775039432	 3133.75064274922	 0.10089999751767209	 0.00218	 0.05369205254149989	 3.449514863464122E-5	 
720.0	 0.0	 408.4624112	 1620000.0006878376	 4018.1691648460946	 3159.512305561895	 0.10089999751767209	 0.00218	 0.054188044023767645	 3.4809298442345176E-5	 
730.0	 0.0	 398.0095672	 1620000.0006878376	 4075.320118429062	 3184.8952953128564	 0.10089999751767209	 0.00218	 0.05468631083372344	 3.5121730493528776E-5	 
740.0	 0.0	 387.46309680000013	 1620000.0006878376	 4133.283937613613	 3209.907968673582	 0.10089999751767209	 0.00218	 0.055190115192750966	 3.54321238795781E-5	 
750.0	 0.0	 376.823	 1620000.0006878376	 4192.072183895132	 3234.5580650113043	 0.10089999751767209	 0.00218	 0.05570115830165179	 3.574011386487991E-5	 
760.0	 0.0	 366.0892768000001	 1620000.0006878376	 4251.696583209695	 3258.852721219989	 0.10089999751767209	 0.00218	 0.056217663975679955	 3.604535797810339E-5	 
770.0	 0.0	 355.2619272	 1620000.0006878376	 4312.169028272914	 3282.798493701155	 0.10089999751767209	 0.00218	 0.056731661887688745	 3.634763937067473E-5	 
780.0	 0.0	 344.3409512	 1620000.0006878376	 4373.501580952084	 3306.4013867404956	 0.10089999751767209	 0.00218	 0.057225291234637155	 3.664701687893944E-5	 
790.0	 0.0	 333.3263488000001	 1620000.0006878376	 4435.706474672033	 3329.666886519596	 0.10089999751767209	 0.00218	 0.05766592400028259	 3.694403246331851E-5	 
800.0	 0.0	 322.21812	 1620000.0006878376	 4498.796116855219	 3352.5999999998166	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
810.0	 0.0	 311.01626480000004	 1620000.0006878376	 4562.783091396515	 3375.2052979139416	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
820.0	 0.0	 299.7207832	 1620000.0006878376	 4627.6801611732035	 3397.486961105822	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
830.0	 0.0	 288.3316752	 1620000.0006878376	 4693.500270590663	 3419.4488294635976	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
840.0	 0.0	 276.8489408000001	 1620000.0006878376	 4760.25654816427	 3441.094452701159	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
850.0	 0.0	 265.27258000000006	 1620000.0006878376	 4827.962309138018	 3462.4271422562306	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
860.0	 0.0	 253.60259280000002	 1620000.0006878376	 4896.631058140383	 3483.450023587302	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
870.0	 0.0	 241.8389792000001	 1620000.0006878376	 4966.27649187797	 3504.1660881722537	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
880.0	 0.0	 229.9817392	 1620000.0006878376	 5036.912501867454	 3524.578244531711	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
890.0	 0.0	 218.03087280000005	 1620000.0006878376	 5108.553177206398	 3544.6893676266072	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
900.0	 0.0	 205.98638000000005	 1620000.0006878376	 5181.212807383474	 3564.502346005971	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
910.0	 0.0	 193.84826080000005	 1620000.0006878376	 5254.9058851286445	 3584.020126114021	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
920.0	 0.0	 181.6165152000001	 1620000.0006878376	 5329.647109303897	 3603.2457531982845	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
930.0	 0.0	 169.29114319999996	 1620000.0006878376	 5405.451387835086	 3622.182408299419	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
940.0	 0.0	 156.87214480000006	 1620000.0006878376	 5482.333840685472	 3640.833440842993	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
950.0	 0.0	 144.35952000000003	 1620000.0006878376	 5560.30980287156	 3659.2023963975216	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
960.0	 0.0	 131.75326879999994	 1620000.0006878376	 5639.394827521837	 3677.2930392105773	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
970.0	 0.0	 119.05339120000008	 1620000.0006878376	 5719.604688978996	 3695.109369184008	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
980.0	 0.0	 106.25988720000004	 1620000.0006878376	 5800.9553859463	 3712.6556330023905	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
990.0	 0.0	 93.37275680000005	 1620000.0006878376	 5883.463144678699	 3729.9363291858626	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
1000.0	 0.0	 80.39200000000011	 1620000.0006878376	 5967.144422219316	 3746.9562068979676	 0.10089999751767209	 0.00218	 0.05799988419702373	 3.7239988000050696E-5	 
