vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-337.7	2.3284	2.1664	2.8534
-337.6	2.3268	2.1662	2.8526
-337.5	2.3253	2.1659	2.8519
-337.4	2.3239	2.1656	2.8511
-337.3	2.3223	2.1653	2.8502
-337.2	2.3209	2.1649	2.8494
-337.1	2.3195	2.1646	2.8485
-337	2.3181	2.1643	2.8476
-336.9	2.3167	2.164	2.8466
-336.8	2.3153	2.1637	2.8456
-336.7	2.314	2.1633	2.8447
-336.6	2.3126	2.163	2.8437
-336.5	2.3114	2.1627	2.8428
-336.4	2.31	2.1624	2.8418
-336.3	2.3087	2.162	2.8408
-336.2	2.3074	2.1617	2.8397
-336.1	2.306	2.1614	2.8387
-336	2.3048	2.161	2.8376
-335.9	2.3036	2.1607	2.8365
-335.8	2.3024	2.1603	2.8354
-335.7	2.3011	2.16	2.8342
-335.6	2.3	2.1596	2.8329
-335.5	2.2988	2.1593	2.8317
-335.4	2.2976	2.1589	2.8305
-335.3	2.2965	2.1587	2.8292
-335.2	2.2953	2.1584	2.8279
-335.1	2.2942	2.1581	2.8266
-335	2.293	2.1578	2.8252
-334.9	2.292	2.1576	2.8238
-334.8	2.2911	2.1574	2.8224
-334.7	2.2901	2.1572	2.821
-334.6	2.289	2.157	2.8196
-334.5	2.2879	2.1568	2.8181
-334.4	2.2871	2.1566	2.8166
-334.3	2.2861	2.1565	2.8151
-334.2	2.2852	2.1563	2.8137
-334.1	2.2843	2.1562	2.8122
-334	2.2833	2.156	2.8106
-333.9	2.2824	2.1559	2.8091
-333.8	2.2816	2.1558	2.8076
-333.7	2.2809	2.1557	2.8061
-333.6	2.2801	2.1556	2.8047
-333.5	2.2794	2.1556	2.8032
-333.4	2.2787	2.1555	2.8017
-333.3	2.278	2.1555	2.8003
-333.2	2.2774	2.1554	2.7989
-333.1	2.2768	2.1554	2.7975
-333	2.2762	2.1554	2.7961
-332.9	2.2755	2.1554	2.7948
-332.8	2.2749	2.1555	2.7935
-332.7	2.2744	2.1555	2.7922
-332.6	2.2739	2.1555	2.791
-332.5	2.2733	2.1556	2.7897
-332.4	2.2728	2.1557	2.7885
-332.3	2.2722	2.1558	2.7874
-332.2	2.2718	2.156	2.7862
-332.1	2.2713	2.1561	2.7851
-332	2.2708	2.1563	2.7841
-331.9	2.2705	2.1565	2.783
-331.8	2.27	2.1568	2.782
-331.7	2.2696	2.1571	2.781
-331.6	2.2692	2.1574	2.78
-331.5	2.2689	2.1578	2.7791
-331.4	2.2686	2.1582	2.7781
-331.3	2.2683	2.1586	2.7771
-331.2	2.268	2.1591	2.7762
-331.1	2.2678	2.1595	2.7753
-331	2.2676	2.16	2.7744
-330.9	2.2676	2.1605	2.7735
-330.8	2.2675	2.1611	2.7726
-330.7	2.2673	2.1616	2.7718
-330.6	2.2673	2.1622	2.7709
-330.5	2.2674	2.1628	2.7701
-330.4	2.2675	2.1634	2.7692
-330.3	2.2675	2.164	2.7684
-330.2	2.2675	2.1646	2.7675
-330.1	2.2677	2.1653	2.7668
-330	2.2678	2.1659	2.7659
-329.9	2.2681	2.1666	2.7652
-329.8	2.2684	2.1673	2.7644
-329.7	2.2688	2.168	2.7637
-329.6	2.2691	2.1687	2.763
-329.5	2.2695	2.1694	2.7623
-329.4	2.2697	2.1702	2.7617
-329.3	2.27	2.1709	2.761
-329.2	2.2703	2.1717	2.7605
-329.1	2.2706	2.1724	2.7599
-329	2.2709	2.1732	2.7593
-328.9	2.2714	2.1739	2.7587
-328.8	2.272	2.1747	2.7582
-328.7	2.2724	2.1755	2.7577
-328.6	2.2729	2.1763	2.7573
-328.5	2.2735	2.1771	2.7568
-328.4	2.2742	2.178	2.7564
-328.3	2.2748	2.1788	2.7559
-328.2	2.2755	2.1797	2.7555
-328.1	2.2761	2.1805	2.7551
-328	2.2768	2.1814	2.7546
-327.9	2.2776	2.1822	2.7542
-327.8	2.2782	2.1831	2.7538
-327.7	2.279	2.184	2.7533
-327.6	2.2797	2.1849	2.7529
-327.5	2.2806	2.1857	2.7525
-327.4	2.2812	2.1866	2.752
-327.3	2.2821	2.1875	2.7516
-327.2	2.283	2.1884	2.7512
-327.1	2.2841	2.1893	2.7508
-327	2.2854	2.1901	2.7504
-326.9	2.2861	2.191	2.75
-326.8	2.2857	2.1919	2.7495
-326.7	2.2863	2.1927	2.7492
-326.6	2.2885	2.1936	2.7488
-326.5	2.2903	2.1945	2.7484
-326.4	2.291	2.1954	2.7481
-326.3	2.2913	2.1962	2.7477
-326.2	2.2919	2.1971	2.7475
-326.1	2.2929	2.198	2.7472
-326	2.2941	2.1988	2.747
-325.9	2.2951	2.1997	2.7469
-325.8	2.2958	2.2006	2.7467
-325.7	2.2962	2.2015	2.7467
-325.6	2.2965	2.2024	2.7467
-325.5	2.2964	2.2033	2.7467
-325.4	2.2963	2.2042	2.7468
-325.3	2.2966	2.2052	2.7469
-325.2	2.2966	2.2061	2.7471
-325.1	2.2969	2.207	2.7472
-325	2.2971	2.208	2.7474
-324.9	2.2975	2.209	2.7477
-324.8	2.2974	2.2099	2.748
-324.7	2.2969	2.2109	2.7483
-324.6	2.2967	2.2119	2.7487
-324.5	2.2969	2.2128	2.7491
-324.4	2.2968	2.2138	2.7495
-324.3	2.2965	2.2147	2.75
-324.2	2.2966	2.2157	2.7505
-324.1	2.297	2.2166	2.751
-324	2.2971	2.2175	2.7515
-323.9	2.2968	2.2184	2.7521
-323.8	2.2965	2.2193	2.7526
-323.7	2.2968	2.2202	2.7532
-323.6	2.2979	2.2211	2.7538
-323.5	2.2986	2.222	2.7546
-323.4	2.2989	2.2229	2.7553
-323.3	2.2996	2.2237	2.7559
-323.2	2.3003	2.2245	2.7566
-323.1	2.3009	2.2253	2.7574
-323	2.3013	2.226	2.7581
-322.9	2.3016	2.2267	2.7589
-322.8	2.3024	2.2274	2.7598
-322.7	2.3047	2.2282	2.7606
-322.6	2.3068	2.2288	2.7614
-322.5	2.3073	2.2295	2.7622
