vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-316	2.337	2.2456	2.8337
-315.9	2.3371	2.246	2.834
-315.8	2.3375	2.2463	2.8344
-315.7	2.3381	2.2467	2.8349
-315.6	2.3384	2.2471	2.8354
-315.5	2.3385	2.2475	2.8359
-315.4	2.3387	2.2479	2.8364
-315.3	2.339	2.2483	2.8369
-315.2	2.3392	2.2487	2.8374
-315.1	2.3394	2.2492	2.8378
-315	2.3395	2.2496	2.8383
-314.9	2.3396	2.25	2.8387
-314.8	2.3402	2.2505	2.8391
-314.7	2.3408	2.2509	2.8394
-314.6	2.3411	2.2514	2.8398
-314.5	2.341	2.2518	2.84
-314.4	2.341	2.2523	2.8402
-314.3	2.3413	2.2527	2.8403
-314.2	2.3417	2.2532	2.8404
-314.1	2.342	2.2536	2.8403
-314	2.342	2.2541	2.8402
-313.9	2.342	2.2546	2.8399
-313.8	2.342	2.255	2.8396
-313.7	2.3421	2.2555	2.8392
-313.6	2.3421	2.256	2.8387
-313.5	2.3421	2.2565	2.8382
-313.4	2.3419	2.257	2.8376
-313.3	2.3417	2.2575	2.8369
-313.2	2.3415	2.258	2.8361
-313.1	2.3413	2.2585	2.8354
-313	2.3412	2.259	2.8346
-312.9	2.3409	2.2594	2.8338
-312.8	2.3408	2.2599	2.833
-312.7	2.3406	2.2604	2.8321
-312.6	2.3405	2.2608	2.8313
-312.5	2.3404	2.2612	2.8304
-312.4	2.3404	2.2617	2.8295
-312.3	2.3403	2.2621	2.8287
-312.2	2.3401	2.2625	2.8278
-312.1	2.3399	2.263	2.8269
-312	2.3399	2.2634	2.8261
-311.9	2.3399	2.2639	2.8252
-311.8	2.3398	2.2644	2.8243
-311.7	2.3397	2.2648	2.8234
-311.6	2.3396	2.2653	2.8224
-311.5	2.3394	2.2658	2.8214
-311.4	2.3393	2.2663	2.8204
-311.3	2.3393	2.2667	2.8194
-311.2	2.3392	2.2672	2.8184
-311.1	2.339	2.2677	2.8173
-311	2.3387	2.2682	2.8162
-310.9	2.3385	2.2687	2.8151
-310.8	2.3382	2.2692	2.814
-310.7	2.3381	2.2696	2.8128
-310.6	2.338	2.27	2.8116
-310.5	2.3378	2.2704	2.8104
-310.4	2.3375	2.2708	2.8093
-310.3	2.3374	2.2712	2.8082
-310.2	2.3372	2.2716	2.8071
-310.1	2.337	2.272	2.8061
-310	2.3368	2.2723	2.8051
-309.9	2.3367	2.2727	2.8042
-309.8	2.3364	2.273	2.8032
-309.7	2.3361	2.2733	2.8025
-309.6	2.3357	2.2737	2.8017
-309.5	2.3353	2.274	2.801
-309.4	2.335	2.2743	2.8003
-309.3	2.3346	2.2746	2.7997
-309.2	2.3343	2.2749	2.7992
-309.1	2.3339	2.2752	2.7987
-309	2.3336	2.2754	2.7982
-308.9	2.3331	2.2756	2.7978
-308.8	2.3327	2.2759	2.7974
-308.7	2.3324	2.2761	2.797
-308.6	2.3321	2.2762	2.7965
-308.5	2.3319	2.2763	2.7961
-308.4	2.3318	2.2765	2.7956
-308.3	2.3314	2.2766	2.795
-308.2	2.331	2.2767	2.7944
-308.1	2.3308	2.2768	2.7938
-308	2.3308	2.2769	2.7931
-307.9	2.3306	2.2769	2.7923
-307.8	2.3304	2.277	2.7914
-307.7	2.3303	2.277	2.7905
-307.6	2.3302	2.277	2.7894
-307.5	2.3301	2.277	2.7883
