vKurbelwinkel	p_Zyl_1 	p_Ein 	p_Aus 
[KWnZOT]	[bar]	[bar]	[bar]
-325.2	2.1946	2.1839	0.98971
-325.1	2.1943	2.1848	0.98968
-325	2.1942	2.1857	0.98971
-324.9	2.1946	2.1867	0.98973
-324.8	2.1951	2.1876	0.98969
-324.7	2.1955	2.1885	0.98966
-324.6	2.195	2.1894	0.98964
-324.5	2.1941	2.1903	0.98967
-324.4	2.1939	2.1913	0.98964
-324.3	2.1947	2.1922	0.98965
-324.2	2.1965	2.1931	0.98964
-324.1	2.1977	2.1941	0.9896
-324	2.1985	2.1951	0.98955
-323.9	2.1984	2.196	0.98948
-323.8	2.1982	2.197	0.98947
-323.7	2.1982	2.198	0.98946
-323.6	2.1987	2.199	0.98941
-323.5	2.2	2.1999	0.98937
-323.4	2.2014	2.2009	0.98936
-323.3	2.2024	2.2018	0.98934
-323.2	2.203	2.2027	0.98928
-323.1	2.2035	2.2036	0.98922
-323	2.2031	2.2045	0.9892
-322.9	2.2021	2.2053	0.98923
-322.8	2.2022	2.2062	0.98922
-322.7	2.2053	2.207	0.98921
-322.6	2.2094	2.2078	0.9892
-322.5	2.2124	2.2086	0.9892
-322.4	2.2147	2.2093	0.98923
-322.3	2.2156	2.2101	0.98925
-322.2	2.2158	2.2108	0.98925
-322.1	2.2157	2.2115	0.98931
-322	2.2161	2.2123	0.9894
-321.9	2.2172	2.2129	0.98945
-321.8	2.219	2.2136	0.98946
-321.7	2.2209	2.2143	0.98951
-321.6	2.2224	2.2149	0.98957
-321.5	2.2236	2.2155	0.98959
-321.4	2.2239	2.2161	0.98962
-321.3	2.2244	2.2167	0.98968
-321.2	2.2248	2.2173	0.98974
-321.1	2.2259	2.2178	0.98979
-321	2.2274	2.2183	0.98984
-320.9	2.2289	2.2188	0.98982
-320.8	2.2301	2.2193	0.98979
-320.7	2.2309	2.2197	0.98983
-320.6	2.2316	2.2202	0.98986
-320.5	2.2332	2.2207	0.98987
-320.4	2.2355	2.2211	0.98983
-320.3	2.2378	2.2215	0.98988
-320.2	2.2391	2.222	0.98983
-320.1	2.2395	2.2224	0.9898
-320	2.2398	2.2228	0.98978
-319.9	2.2405	2.2231	0.98977
-319.8	2.242	2.2235	0.98983
-319.7	2.2441	2.2238	0.98983
-319.6	2.2462	2.2241	0.98982
-319.5	2.248	2.2244	0.98984
-319.4	2.2492	2.2247	0.98978
-319.3	2.25	2.225	0.98975
-319.2	2.2507	2.2252	0.98976
-319.1	2.2515	2.2255	0.98973
-319	2.2527	2.2258	0.98975
