Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	 kappa [-]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Alpha [W/(m^2K)]
-164.0	 8.387080470791317E-5	 4.8470341666282117E-4	 0.4573247862298496	 3148.658521	 0.2640805239066977	 20.733889610137993	 1.3197360983951498	 44.72262955561715	 0.003750922929483511	 0.004022352194483491	 1.3921009593165245E-4	 0.05026431978911572	 68.22716358418009	 
-163.9	 9.225788517870449E-5	 4.846291370230693E-4	 0.45759134597253975	 3148.658521	 0.2640805239066977	 20.674537569807473	 1.319702091678898	 45.265807341306015	 0.0037964796874686985	 0.004402000163230361	 2.0881513190902374E-4	 0.050120435067464116	 68.24413666765179	 
-163.8	 1.006449656494958E-4	 4.8455436722853675E-4	 0.4578585618884889	 3148.658521	 0.2640805239066977	 20.658890376574583	 1.3196680725650671	 45.80944938993987	 0.003842075383560679	 0.004786207701586429	 2.784201596662588E-4	 0.05008250221746594	 68.2611716293955	 
-163.7	 1.0903204612028712E-4	 4.844791072521713E-4	 0.4581264352708645	 3148.658521	 0.2640805239066977	 20.739627935827333	 1.3196340410470837	 46.35355652273771	 0.003887710086635749	 0.005174978710250004	 3.48025179030999E-4	 0.05027823097717191	 68.27826854786477	 
-163.6	 1.1741912659107844E-4	 4.844033570669352E-4	 0.45839496741826147	 3148.658521	 0.2640805239066977	 20.680275895496813	 1.3195999971183134	 46.89812956379664	 0.003933383865811596	 0.0055683170968311635	 4.176301898306626E-4	 0.05013434625552031	 68.29542750191726	 
-163.5	 1.2580620706186975E-4	 4.8432711664580673E-4	 0.45866415963471807	 3148.658521	 0.2640805239066977	 20.653702490489515	 1.319565940772062	 47.44316934010008	 0.003979096790447987	 0.005966226775875962	 4.872351918924441E-4	 0.05006992543760878	 68.31264857081538	 
-163.4	 1.3419328753266107E-4	 4.8425038596178313E-4	 0.45893401322973243	 3148.658521000632	 0.2640805239067507	 20.73444004974227	 1.3195318720015738	 47.98867668152908	 0.004024848930147712	 0.006368711668890734	 5.568401850433277E-4	 0.05026565419731476	 68.32993183422727	 
-163.3	 1.425803680034524E-4	 4.8417316498788334E-4	 0.45950927095627214	 14017.1981	 1.1756336843972315	 20.7662433254608	 1.3194455303533617	 49.37595808462575	 0.004141201337781752	 0.006782831802668909	 8.667075931252532E-4	 0.050342753576693926	 68.3607326592978	 
-163.2	 1.509674484742437E-4	 4.8409545369714906E-4	 0.460389808208391	 14017.1981	 1.1756336843972315	 20.79804660117933	 1.3193070622308556	 51.60588552529967	 0.004328227146671331	 0.007215654517336042	 0.0011765748270974347	 0.05041985295607308	 68.40501779650513	 
-163.1	 1.5935452894503502E-4	 4.84017252062649E-4	 0.46084127616572684	 -1315.8700869991571	 -0.11036308308769101	 20.633746422092525	 1.3192424122665756	 52.64911230133431	 0.004415723415870198	 0.0076572268589230625	 0.0011765748270974347	 0.05002154675794467	 68.43040374346658	 
-163.0	 1.6774160941582635E-4	 4.8393856005747907E-4	 0.4608644222345864	 -1315.8700869999511	 -0.11036308308775761	 20.67703962064583	 1.319251855241112	 52.50559322881991	 0.004403686355767483	 0.00809759549449981	 0.0011765748270974347	 0.050126500686883936	 68.43699140657021	 
-162.9	 1.7612868988661765E-4	 4.8385937765476716E-4	 0.46131075048148745	 13784.47018	 1.1561146064688326	 20.75059583566915	 1.3191883060210734	 53.5318498519803	 0.004489759324588769	 0.008546571426958686	 0.0014812971672262662	 0.05030482000776049	 68.46221437410243	 
-162.8	 1.8451577035740897E-4	 4.8377970482767316E-4	 0.46218082698685814	 13784.470179998549	 1.156114606468711	 20.78044720359483	 1.3190523505068048	 55.72971418297114	 0.004674095974667791	 0.009013981024425466	 0.0017860193167398718	 0.05037718745698358	 68.50610726734824	 
-162.7	 1.929028508282003E-4	 4.836995415493935E-4	 0.46270163944673837	 1302.743167001372	 0.10926211774414038	 20.638109544591206	 1.3189762644853542	 56.96057666611154	 0.004777329401613556	 0.009491713964586822	 0.0018148179971895861	 0.05003212409720308	 68.53464139454643	 
-162.6	 2.012899312989916E-4	 4.836188877931626E-4	 0.462873297557426	 1302.743167	 0.1092621177440253	 20.70336526322769	 1.31895989771296	 57.223705251733506	 0.004799398207831326	 0.009971653785369955	 0.001843616675248713	 0.05019032086449025	 68.54784970849995	 
-162.5	 2.0967701176978292E-4	 4.835377435322553E-4	 0.46304562240037606	 1302.743167	 0.1092621177440253	 20.639457594055315	 1.318943507377012	 57.487287138571276	 0.0048215050327868395	 0.010453804288648639	 0.0018724153508973358	 0.0500353921183332	 68.56112260736327	 
-162.4	 2.1806409224057425E-4	 4.834561087399898E-4	 0.4632186149710885	 1302.7431670006258	 0.10926211774407779	 20.7047133126918	 1.3189270934662825	 57.75130655397376	 0.004843648553615159	 0.010938169144010154	 0.0019012140241155947	 0.05019358888562037	 68.57446016125695	 
-162.3	 2.2645117271136557E-4	 4.833739833897295E-4	 0.46367795407066636	 11492.05052	 0.9638475248563919	 20.726264184230665	 1.3188619576908163	 58.80653342388186	 0.004932151280343763	 0.01143138427204453	 0.0021552592618619072	 0.050245833781254134	 68.6004163283828	 
-162.2	 2.3483825318215687E-4	 4.832913674548861E-4	 0.46442358566278363	 11492.05052	 0.9638475248563919	 20.736888843995114	 1.318748206230068	 60.653575626016604	 0.00508706419616628	 0.011940090691661158	 0.002409304347259145	 0.05027159070897452	 68.63896907241872	 
-162.1	 2.432253336529482E-4	 4.8320826090892207E-4	 0.4648700849007095	 798.2684681005503	 0.06695141879254626	 20.65782389315318	 1.3186855621345206	 61.67106626364599	 0.005172401954727025	 0.01245733088713386	 0.0024269509901443005	 0.05007991678536655	 68.66440940614633	 
-162.0	 2.516124141237395E-4	 4.8312466372535314E-4	 0.465017504123193	 798.2684681	 0.0669514187925001	 20.718848541894506	 1.3186739177241198	 61.85840815472818	 0.00518811446988759	 0.01297614233412262	 0.0024445976318481734	 0.050227856343116134	 68.67675954298261	 
-161.9	 2.599994945945308E-4	 4.830405758777506E-4	 0.46550335260367365	 12845.82368	 1.0773895691775663	 20.74082740609107	 1.318604820514046	 62.98221631744753	 0.005282369164832184	 0.013504379250605839	 0.0027285692135979142	 0.050281138803829034	 68.70398726676663	 
-161.8	 2.6838657506532215E-4	 4.8295599733974424E-4	 0.4663275590203985	 12845.823679998104	 1.0773895691774074	 20.76280627028762	 1.318478403808904	 65.04323952217325	 0.005455228839534212	 0.014049902134559259	 0.003012540586090427	 0.050334421264541886	 68.74606491957546	 
-161.7	 2.7677365553611347E-4	 4.828709280850248E-4	 0.4666961938536894	 -3445.560809998211	 -0.288981957804599	 20.648147981785968	 1.3184298830641992	 65.83859427008562	 0.005521935882269882	 0.014602095722786246	 0.003012540586090427	 0.05005645986954624	 68.76823013896521	 
-161.6	 2.851607360069048E-4	 4.827853680873464E-4	 0.46691143353718445	 7348.2134599994415	 0.616300576055672	 20.764107546253612	 1.3184075008493281	 66.20724382006148	 0.005552854816681566	 0.015157381204454402	 0.0031749810340171007	 0.05033757589459531	 68.78371214745104	 
-161.5	 2.935478164776961E-4	 4.826993173205296E-4	 0.46742949679683693	 7348.21346	 0.6163005760557189	 20.739977511137994	 1.318333513374477	 67.41598659780996	 0.00565423304613621	 0.015722804509068024	 0.003337421407294866	 0.05027907843828683	 68.8124551321981	 
-161.4	 3.019348969484874E-4	 4.826127757584637E-4	 0.4679482396405332	 7348.213459999388	 0.6163005760556675	 20.71584747602237	 1.3182595631630938	 68.62511945744524	 0.005755643992072601	 0.016298368908275285	 0.0034998617040892534	 0.05022058098197832	 68.84125259270142	 
