Kurbelwinkel	p_Zyl_1	p_ein_1	p_aus_1	ZZP_1	ti_1	Inj_1	Optiktrigger_1
[KWnZOT]	[bar]	[bar]	[bar]	[V]	[V]	[V]	[V]
-14,700000	8,292761	0,408716	0,939694	0,018312	9,991454	10,639077	-0,011353
-14,600000	8,317176	0,408716	0,939846	0,018312	9,991454	10,651284	-0,011353
-14,500000	8,347695	0,408716	0,939846	0,020753	9,991454	10,651284	-0,011353
-14,400000	8,372111	0,408716	0,939999	0,018312	9,991454	10,651284	-0,011353
-14,300000	8,402631	0,408838	0,940151	0,018312	9,991454	10,651284	-0,011353
-14,200000	8,433150	0,408838	0,940151	0,018312	9,991454	10,639077	-0,011353
-14,100000	8,457565	0,408960	0,940151	0,020753	9,991454	10,639077	-0,011353
-14,000000	8,488085	0,408960	0,940304	0,020753	9,991454	10,626869	-0,011353
-13,900000	8,518605	0,408960	0,940304	0,020753	9,991454	10,614661	-0,011353
-13,800000	8,543020	0,409083	0,940609	0,018312	9,991454	10,614661	-0,011353
-13,700000	8,573539	0,409083	0,940609	0,018312	9,991454	10,602454	-0,011353
-13,600000	8,597956	0,408960	0,940762	0,020753	9,991454	10,602454	-0,011353
-13,500000	8,628474	0,409083	0,940914	0,020753	9,991454	10,590246	-0,011353
-13,400000	8,652889	0,409083	0,940914	0,018312	9,991454	10,578039	-0,011353
-13,300000	8,677306	0,409083	0,940914	0,020753	9,991454	10,565830	-0,011353
-13,200000	8,701721	0,409083	0,941067	0,020753	9,991454	10,565830	-0,011353
-13,100000	8,726136	0,409205	0,941220	0,018312	9,991454	10,565830	-0,011353
-13,000000	8,750552	0,409205	0,941220	0,020753	9,991454	10,553622	-0,011353
-12,900000	8,774968	0,409327	0,941220	0,018312	9,991454	10,553622	-0,011353
-12,800000	8,799383	0,409327	0,941372	0,020753	9,991454	10,541415	-0,011353
-12,700000	8,823798	0,409449	0,941525	0,020753	9,991454	10,541415	-0,011353
-12,600000	8,854319	0,409449	0,941677	0,018312	9,991454	10,529207	-0,011353
-12,500000	8,878734	0,409571	0,941677	0,020753	9,991454	10,529207	-0,011353
-12,400000	8,903150	0,409693	0,941830	0,018312	9,991454	10,529207	-0,011353
-12,300000	8,927565	0,409693	0,941830	0,020753	9,991454	10,516998	-0,011353
-12,200000	8,951981	0,409815	0,941830	0,020753	9,991454	10,516998	-0,011353
-12,100000	8,976396	0,409937	0,941830	0,018312	9,991454	10,516998	-0,011353
-12,000000	9,006916	0,410059	0,941830	0,018312	9,991454	10,504791	-0,011353
-11,900000	9,031331	0,410059	0,941983	0,020753	9,991454	10,504791	-0,011353
-11,800000	9,061851	0,410181	0,941983	0,020753	9,991454	10,492583	-0,011353
-11,700000	9,092370	0,410181	0,941983	0,018312	9,991454	10,492583	-0,011353
-11,600000	9,122889	0,410181	0,942135	0,018312	9,991454	10,480376	-0,011353
-11,500000	9,153409	0,410181	0,942135	0,018312	9,991454	10,455960	-0,011353
-11,400000	9,177824	0,410303	0,942288	0,020753	9,991454	10,443753	-0,011353
-11,300000	9,208344	0,410303	0,942288	0,018312	9,991454	10,431545	-0,011353
-11,200000	9,238863	0,410303	0,942440	0,020753	9,991454	10,419336	-0,011353
-11,100000	9,269382	0,410425	0,942288	0,018312	9,991454	10,407129	-0,011353
-11,000000	9,299903	0,410425	0,942288	0,020753	9,991454	10,407129	-0,011353
-10,900000	9,330421	0,410548	0,942440	0,018312	9,991454	10,394921	-0,011353
-10,800000	9,354836	0,410548	0,942288	0,018312	9,991454	10,394921	-0,011353
-10,700000	9,385357	0,410548	0,942440	0,018312	9,991454	10,382714	-0,011353
-10,600000	9,415875	0,410548	0,942440	0,018312	9,991454	10,370506	-0,011353
-10,500000	9,446395	0,410670	0,942440	0,018312	9,991454	10,370506	-0,011353
-10,400000	9,476915	0,410670	0,942440	0,018312	9,991454	10,358297	-0,011353
-10,300000	9,501330	0,410670	0,942593	0,018312	9,991454	10,358297	-0,011353
