Crank	TKE	EPS	Intensty
[CADaTDCF]	[m^2/s^2]	[m^2/s^3]	[m/s]
60.5133	77.5757	580962	5.54796
61.0263	77.3355	577180	5.54682
61.5316	76.4579	537163	5.55837
62.0407	77.6784	583260	5.57165
62.5537	77.7231	583658	5.57236
63.0097	77.6989	583453	5.57246
63.5227	77.705	584239	5.57309
64.0357	77.7653	585648	5.57491
64.5487	77.8624	587476	5.57725
65.0047	77.9815	589550	5.57975
65.5177	78.1642	592228	5.58342
66.0307	78.3823	595235	5.5877
66.5437	78.6591	598702	5.59306
67.0567	78.9776	602554	5.599
67.5127	79.3013	606363	5.60493
68.0117	79.0183	577215	5.62267
68.5499	80.4075	613628	5.63649
69.0059	81.3996	632446	5.65055
69.5189	81.9542	638262	5.65945
70.0319	82.4487	643846	5.66732
70.5449	82.9316	649264	5.675
71.0009	83.3436	653637	5.68163
71.5139	83.7923	658071	5.68924
72.0269	84.2187	662067	5.69636
72.5399	84.6206	665690	5.70307
73.0529	84.9941	668990	5.70912
73.5089	85.3009	671727	5.71399
74.0219	85.6341	674681	5.71936
74.5349	85.9402	677391	5.72418
75.0479	86.2052	679710	5.72819
75.5082	84.7186	601620	5.72488
76.0115	87.1802	687405	5.75211
76.5245	87.6682	695824	5.75829
77.0375	87.7963	697506	5.75926
77.5505	87.8329	698591	5.75847
78.0065	87.8021	698895	5.75663
78.5195	87.6942	698336	5.75326
79.0325	87.5159	697031	5.74873
79.5455	87.2719	695035	5.74307
80.0015	87.0002	692785	5.73694
80.5145	86.6501	689919	5.7293
81.0275	86.2402	686652	5.72037
81.5405	85.7945	683166	5.7109
82.0535	85.2945	679204	5.70026
82.5095	84.8091	675318	5.69003
83.0225	84.2136	670473	5.67763
83.5036	82.0775	588966	5.65842
84.0265	83.4549	662879	5.66734
84.5395	83.0194	663581	5.65651
85.0525	82.2943	657981	5.64128
85.5085	81.5774	652201	5.62629
86.0215	80.7081	644903	5.60826
86.5345	79.7815	636791	5.58923
87.0475	78.8079	627897	5.56935
87.5035	77.9121	619369	5.55108
88.0165	76.8886	609363	5.53022
88.5295	75.8656	599253	5.50922
89.0425	74.8526	589234	5.48804
89.5555	73.8622	579421	5.46702
90.0115	73.01	570951	5.44859
90.5245	72.0883	561654	5.42837
91.0375	71.2148	552905	5.40864
91.5505	70.4016	544862	5.38981
92.0065	69.7317	538341	5.37387
92.5173	68.285	486881	5.35595
93.0255	68.9798	532541	5.35742
93.5385	68.5582	529976	5.34524
94.0515	68.057	525163	5.33173
94.5075	67.6397	521656	5.31988
95.0205	67.2077	518197	5.3071
95.5335	66.8076	514960	5.29501
96.0465	66.4334	512031	5.28351
96.5025	66.1231	509619	5.2738
97.0155	65.8013	507095	5.26349
97.5285	65.511	504782	5.25399
98.0415	65.2571	502814	5.24522
98.5545	65.0451	501256	5.23732
99.0105	64.8929	500206	5.23111
99.5235	64.7605	499426	5.22497
100.036	64.6748	499119	5.21991
100.549	64.6309	499274	5.21572
101.005	64.6273	499748	5.21288
101.518	64.6573	500618	5.21054
102.031	64.7244	501862	5.20902
102.518	63.5949	440908	5.20198
103.055	65.3174	507520	5.22155
103.511	65.7125	514962	5.22636
104.024	65.9312	516826	5.22881
104.537	66.1255	518990	5.23064
105.05	66.3136	521501	5.23225
105.506	66.4644	523496	5.23348
106.019	66.6116	525222	5.23466
106.532	66.7392	526433	5.23571
107.045	66.8521	527229	5.23676
107.501	66.9437	527709	5.23766
108.014	67.0422	528108	5.23873
108.527	67.1384	528412	5.23994
109.04	67.2362	528726	5.24123
109.553	67.3356	529042	5.24266
110.009	67.4253	529309	5.24404
110.522	67.5241	529568	5.24572
111.035	67.6249	529811	5.24764
111.548	67.7268	530054	5.24966
112.004	67.8128	530191	5.25144
