Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	T_Zone_1 [K]	T_mittel [K]	T_BurnAdiabat [K]	p_soll [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Hu Zone [J/kg]	Hu frischGemsich [J/kg]	Phi_Delay [°KW]	Alpha [W/(m^2K)]	pSchlepp [bar]	Brennraumfläche [m^2]	Zonenmasse [kg]	ZonenKontrollmasse [kg]	 cv[J/kg]	 cp [J/kg]	 kappa [-]	 U [J]	H_Massenbruch [kg]	O_Massenbruch [kg]	N_Massenbruch [kg]	H2_Massenbruch [kg]	OH_Massenbruch [kg]	CO_Massenbruch [kg]	NO_Massenbruch [kg]	O2_Massenbruch [kg]	H2O_Massenbruch [kg]	CO2_Massenbruch [kg]	N2_Massenbruch [kg]	RON_95_Massenbruch [kg]	AGR_intern_LWA_Massenbruch [kg]	AGR_extern_LWA_Massenbruch [kg]	feuchteLuft_LWA_Massenbruch [kg]
-124.0	 8.331927728793557E-4	 4.1431715917825205E-4	 402.95951501524354	 402.95951501524354	 1100.208205736319	 1.2870482508989576	 1.2870237383036265	 -195.54595899268404	 -0.01629274797984672	 0.05264410377617102	 0.0	 0.0	 0.0	 -74.30527437299894	 -0.006191061759440032	 -0.07413568215750528	 0.0	 1.4266781015406403E-4	 368.9977698495669	 2.5584982517634316	 788820.6674674088	 0.0	 108.46154522171045	 3.6201804148884476	 0.031028146590545962	 4.5918613826281595E-4	 4.5918613826281595E-4	 733.8167898440081	 1022.0004102656027	 1.3927187608815215	 -19.21829809525592	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.556338996851284E-6	 7.750197831057975E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799057E-4	 0.002342594322151127	 0.7670527883578351	 3.628997931128651E-8	 0.0	 0.0	 0.0	 
-123.0	 9.165120501672914E-4	 4.1160118361321105E-4	 404.2964243293694	 404.2964243293694	 1101.3642427449258	 1.2998404756129165	 1.2998144111939054	 1119.1154774068498	 0.09324389277928172	 0.14588799655545273	 0.0	 0.0	 0.0	 -69.89211770391803	 -0.0058233607352137775	 -0.07995904289271906	 0.0	 3.9536281375068577E-4	 368.9977698495669	 2.5584982517634316	 788820.6674674088	 0.0	 109.22136604983048	 3.6241096798427965	 0.030897256201869287	 4.5918613826281595E-4	 4.5918613826281595E-4	 733.9938810474538	 1022.1775014690484	 1.3926240093586872	 -18.767760842036754	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.5563389968512846E-6	 7.750197831057975E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799057E-4	 0.002342594322151127	 0.7670527883578351	 3.628997931128651E-8	 0.0	 0.0	 0.0	 
-122.0	 9.99831327455227E-4	 4.088396659284729E-4	 405.2958233138147	 405.29582331381476	 1102.2287692720342	 1.311858929159827	 1.3118288139212755	 -353.09777100542084	 -0.029419851092152637	 0.11646814546330009	 0.0	 0.0	 0.0	 -66.60487202208863	 -0.005549469800735864	 -0.08550851269345493	 0.0	 3.156337381409699E-4	 368.9977698495669	 2.5584982517634316	 788820.6674674088	 0.0	 109.96406421347541	 3.6281359217388456	 0.03076417101224335	 4.5918613826281595E-4	 4.5918613826281595E-4	 734.1270093953962	 1022.3106298169907	 1.392552809981659	 -18.430893069822904	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.556338996851285E-6	 7.750197831057975E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799057E-4	 0.002342594322151127	 0.7670527883578351	 3.628997931128651E-8	 0.0	 0.0	 0.0	 
-121.0	 0.0010831506047431626	 4.060329457062269E-4	 406.58338269889066	 406.5833826988906	 1103.3423840040277	 1.3251249250408341	 1.3250931632052487	 704.1152079803206	 0.058666370256364765	 0.17513451571966485	 0.0	 0.0	 0.0	 -62.31858073429621	 -0.005192339108391426	 -0.09070085180184635	 0.0	 4.746221522993587E-4	 368.9977698495669	 2.5584982517634316	 788820.6674674088	 0.0	 110.75789345288975	 3.6322606622187643	 0.03062890738707487	 4.5918613826281595E-4	 4.5918613826281595E-4	 734.2994599943755	 1022.4830804159702	 1.3924606187560074	 -17.996804655496604	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.556338996851285E-6	 7.750197831057975E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799057E-4	 0.002342594322151127	 0.7670527883578351	 3.628997931128651E-8	 0.0	 0.0	 0.0	 
-120.0	 0.0011664698820310982	 4.03181382996967E-4	 407.3984792803056	 407.3984792803056	 1104.0478101830518	 1.3371764605099414	 1.3371403537251672	 -1317.7901725854183	 -0.10979732479696094	 0.06533719092270389	 0.0	 0.0	 0.0	 -59.63037746373049	 -0.0049683599546848254	 -0.09566921175653118	 0.0	 1.7706662820574925E-4	 368.9977698495669	 2.5584982517634316	 788820.6674674088	 0.0	 111.5205466961568	 3.636485458997269	 0.030491482678194876	 4.5918613826281595E-4	 4.5918613826281595E-4	 734.409174866656	 1022.5927952882506	 1.392401988270257	 -17.721949762512576	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.556338996851285E-6	 7.750197831057975E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799057E-4	 0.002342594322151127	 0.7670527883578351	 3.628997931128651E-8	 0.0	 0.0	 0.0	 
-119.0	 0.0012497891593190337	 4.0028535889866584E-4	 408.64337242587044	 408.6433724258705	 1105.1247512763475	 1.3509666380843128	 1.3509299083885018	 310.11587781772636	 0.025838630815286694	 0.09117582173799058	 0.0	 0.0	 0.0	 -55.45180002487299	 -0.004620203902387546	 -0.10028941565891872	 0.0	 2.4709044115676134E-4	 368.9977698495669	 2.5584982517634316	 788820.6674674088	 0.0	 112.35111065542372	 3.6408119064128375	 0.030351915251770722	 4.5918613826281595E-4	 4.5918613826281595E-4	 734.5775539837513	 1022.7611744053459	 1.3923120422870547	 -17.302085729298483	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.556338996851285E-6	 7.750197831057975E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799057E-4	 0.002342594322151127	 0.7670527883578351	 3.628997931128651E-8	 0.0	 0.0	 0.0	 
-118.0	 0.0013331084366069693	 3.973452761258489E-4	 409.61046979986696	 409.61046979986696	 1105.961697887	 1.3641871282444962	 1.3641466377269025	 -928.5832417331865	 -0.07736888460289748	 0.013806937135093095	 0.0	 0.0	 0.0	 -52.21096348203224	 -0.004350179743829723	 -0.10463959540274845	 0.0	 3.7417399949928994E-5	 368.9977698495669	 2.5584982517634316	 788820.6674674088	 0.0	 113.17263446582363	 3.6452416359957316	 0.03021022451573135	 4.5918613826281595E-4	 4.5918613826281595E-4	 734.7090355363977	 1022.8926559579924	 1.392241835179279	 -16.975847040249434	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.556338996851285E-6	 7.750197831057975E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799057E-4	 0.002342594322151127	 0.7670527883578351	 3.628997931128651E-8	 0.0	 0.0	 0.0	 
-117.0	 0.0014164277138949048	 3.943615595671373E-4	 411.1076296043898	 411.1076296043898	 1107.2569091369699	 1.3795326710362577	 1.3794914835731962	 1100.8265784987054	 0.09172007493986302	 0.10552701207495611	 0.0	 0.0	 0.0	 -47.11448214048805	 -0.003925544601740812	 -0.10856514000448926	 0.0	 2.8598279094742876E-4	 368.9977698495669	 2.5584982517634316	 788820.6674674088	 0.0	 114.07498296289228	 3.6497763170533677	 0.030066430946636816	 4.5918613826281595E-4	 4.5918613826281595E-4	 734.913744235361	 1023.0973646569556	 1.39213257702975	 -16.47068263950681	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.556338996851285E-6	 7.750197831057975E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799057E-4	 0.002342594322151127	 0.7670527883578351	 3.628997931128651E-8	 0.0	 0.0	 0.0	 
-116.0	 0.0014997469911828404	 3.9133465682980205E-4	 412.63462460645326	 412.63462460645326	 1108.5780720711762	 1.3952348033017035	 1.395325138378734	 1100.8265784987054	 0.09172007493986302	 0.19724708701481913	 0.0	 0.0	 0.0	 -41.88176449581156	 -0.0034895583493345385	 -0.1120546983538238	 0.0	 5.345481819449284E-4	 368.9977698495669	 2.5584982517634316	 788820.6674674088	 0.0	 115.00381628398809	 3.6544176572736298	 0.029920556115921863	 4.5918613826281595E-4	 4.5918613826281595E-4	 735.1239832474334	 1023.3076036690281	 1.392020430551775	 -15.955305918659482	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.556338996851285E-6	 7.750197831057975E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799057E-4	 0.002342594322151127	 0.7670527883578351	 3.628997931128651E-8	 0.0	 0.0	 0.0	 
-115.0	 0.001583066268470776	 3.8826503876985874E-4	 413.881024882071	 413.881024882071	 1109.656800098862	 1.4106540687479283	 1.4106045871732362	 -158.17132675008403	 -0.013178720632490913	 0.1840683663823282	 0.0	 0.0	 0.0	 -37.59900262364547	 -0.003132721725349334	 -0.11518742007917313	 0.0	 4.98833276031368E-4	 368.9977698495669	 2.5584982517634316	 788820.6674674088	 0.0	 115.92508227791231	 3.659167403346694	 0.02977262271544267	 4.5918613826281595E-4	 4.5918613826281595E-4	 735.2966722022168	 1023.4802926238115	 1.391928362137807	 -15.53452323715875	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.556338996851285E-6	 7.750197831057975E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799057E-4	 0.002342594322151127	 0.7670527883578351	 3.628997931128651E-8	 0.0	 0.0	 0.0	 
