Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_mitWandwärmeverlust [Pa]	p_Reale Ladung [Pa]	p_Verbrennungslage [Pa]	p_HC_CO [Pa]	p_realer Brennverlauf [Pa]
-119.0	 0.0012497891593190337	 4.0028535889866584E-4	 133754.3651305211	 133386.4383420798	 133235.76634406758	 133098.61918202564	 133065.83871708254	 
-118.0	 0.0013331084366069693	 3.973452761258489E-4	 135075.41734936787	 134717.62729639164	 134552.4031192878	 134402.0445762452	 134329.49990026123	 
-117.0	 0.0014164277138949048	 3.943615595671373E-4	 136445.30241831983	 136092.58399456472	 135912.17277047058	 135748.03215399192	 135639.17914527594	 
-116.0	 0.0014997469911828404	 3.9133465682980205E-4	 137884.64815733882	 137512.7766083164	 137316.51336165133	 137137.99322225768	 137012.90828295797	 
-115.0	 0.001583066268470776	 3.8826503876985874E-4	 139432.31926005075	 138979.73863485266	 138766.92661617332	 138573.4012802492	 138484.74099687816	 
-114.0	 0.0016663855457587115	 3.851532000062145E-4	 141029.93847960045	 140495.07209150243	 140264.98101130428	 140055.79502676998	 140003.84759553682	 
-113.0	 0.0017497048230466473	 3.8199965941737167E-4	 142616.90396329595	 142060.4508927359	 141812.31504862313	 141586.78153765152	 141517.5093973934	 
-112.0	 0.0018330241003345828	 3.788049606191895E-4	 144290.8508566446	 143677.62442090732	 143410.64071104795	 143168.03962370235	 143110.94070188687	 
-111.0	 0.0019163433776225184	 3.755696724222045E-4	 146021.44982689398	 145348.42130282693	 145061.74711810495	 144801.3233803411	 144757.80855892636	 
-110.0	 0.001999662654910454	 3.722943892670173E-4	 147774.43241180296	 147074.75340508623	 146767.5043918185	 146488.4659408278	 146428.3217250328	 
-109.0	 0.0020829819321983895	 3.6897973163626396E-4	 149670.10231642783	 148858.6200619347	 148529.86774643627	 148231.38344580584	 148227.43161072914	 
-108.0	 0.0021663012094863252	 3.656263464417098E-4	 151536.12524872067	 150702.11255044478	 150350.88181609567	 150032.07924272152	 150005.23922281593	 
-107.0	 0.0022496204867742606	 3.622349073850239E-4	 153387.93840070322	 152607.41882870416	 152232.68523549265	 151892.6483296009	 151775.54232336828	 
-106.0	 0.0023329397640621963	 3.5880611529081957E-4	 155432.3600559139	 154576.82855384686	 154177.51548963378	 153815.2820586402	 153717.85430303722	 
-105.0	 0.0024162590413501317	 3.553406984105873E-4	 157545.0943966239	 156612.73839788398	 156187.71404984547	 155802.27311610978	 155724.478381946	 
-104.0	 0.0024995783186380674	 3.5183941269617715E-4	 159674.79384132684	 158717.6576805219	 158265.73181438007	 157856.02079618652	 157750.8726501441	 
-103.0	 0.002582897595926003	 3.4830304204154066E-4	 161931.28870008083	 160894.21433947093	 160414.13487320783	 159979.03658752274	 159892.6657409234	 
-102.0	 0.0026662168732139386	 3.447323984914906E-4	 164278.50642564025	 163145.16126015154	 162635.61061791691	 162173.9500926315	 162118.68374535954	 
-101.0	 0.0027495361505018743	 3.4112832241629543E-4	 166705.4926679942	 165473.38298820818	 164932.9742190695	 164443.51530153042	 164419.54415223468	 
-100.0	 0.0028328554277898097	 3.3749168265098347E-4	 169148.43059060696	 167881.90284984658	 167309.17549488472	 166790.61724253686	 166740.03639966535	 
-99.0	 0.0029161747050777454	 3.338233765983102E-4	 171680.87518389552	 170373.89050672625	 169767.3061967458	 169218.2790346589	 169144.1563367945	 
-98.0	 0.0029994939823656808	 3.3012433029439866E-4	 174309.74471718216	 172952.66997397275	 172310.60773876426	 171729.6693676794	 171638.094358553	 
-97.0	 0.0030828132596536165	 3.263954984361571E-4	 176977.22405757138	 175621.72813183066	 174942.47940048616	 174328.11043779444	 174172.06475628226	 
-96.0	 0.003166132536941552	 3.226378643696476E-4	 179799.51512059566	 178384.7237635662	 177666.4870338006	 177017.08636854665	 176846.68615756286	 
-95.0	 0.0032494518142294876	 3.1885244003867407E-4	 182793.62791028668	 181245.49715445357	 180486.37230721375	 179800.2521487943	 179677.09842945173	 
-94.0	 0.003332771091517423	 3.1504026589294134E-4	 185827.4123294702	 184208.08028905155	 183406.0625228933	 182681.44312158742	 182548.9329121402	 
-93.0	 0.0034160903688053587	 3.112024107552378E-4	 188943.59188623115	 187276.7076865008	 186429.68104426964	 185664.68506008372	 185499.43530562415	 
