Kurbelwinkel	Volumen	Pm_Zyl-korrigiert	Pm_Saug	Pm_Saug_alt	P_Abg	Pm_Zyl	
[KWnZOT]	[m^3]	[bar]	[bar]	[bar]	[bar]	[bar]	
-345.200000	0.000050	0.837665	0.934829	0.939129	0.996723	-0.118826	
-345.100000	0.000050	0.836348	0.934302	0.938641	0.996470	-0.120143	
-345.000000	0.000050	0.836091	0.933793	0.938141	0.996101	-0.120400	
-344.900000	0.000050	0.833168	0.933107	0.937688	0.995713	-0.123323	
-344.800000	0.000051	0.835674	0.932675	0.937300	0.995460	-0.120817	
-344.700000	0.000051	0.833264	0.932230	0.936808	0.995052	-0.123227	
-344.600000	0.000051	0.833553	0.931854	0.936315	0.994706	-0.122938	
-344.500000	0.000051	0.832333	0.930974	0.935819	0.994233	-0.124158	
-344.400000	0.000051	0.830727	0.930767	0.935341	0.993947	-0.125765	
-344.300000	0.000051	0.830823	0.930214	0.934899	0.993613	-0.125668	
-344.200000	0.000051	0.832204	0.929665	0.934493	0.993162	-0.124287	
-344.100000	0.000051	0.830405	0.929363	0.933979	0.992692	-0.126086	
-344.000000	0.000052	0.830116	0.928396	0.933479	0.992350	-0.126375	
-343.900000	0.000052	0.829281	0.928277	0.932929	0.991922	-0.127210	
-343.800000	0.000052	0.827996	0.927516	0.932443	0.991737	-0.128495	
-343.700000	0.000052	0.827482	0.927057	0.931931	0.991329	-0.129009	
-343.600000	0.000052	0.829217	0.926477	0.931488	0.990769	-0.127274	
-343.500000	0.000052	0.828253	0.926123	0.931008	0.990561	-0.128238	
-343.400000	0.000052	0.828317	0.925275	0.930457	0.990159	-0.128174	
-343.300000	0.000053	0.827257	0.924721	0.929912	0.990036	-0.129234	
-343.200000	0.000053	0.825073	0.924186	0.929395	0.989477	-0.131418	
-343.100000	0.000053	0.825940	0.923508	0.928893	0.989275	-0.130551	
-343.000000	0.000053	0.825201	0.923048	0.928436	0.988834	-0.131290	
-342.900000	0.000053	0.825201	0.922349	0.927950	0.988466	-0.131290	
-342.800000	0.000053	0.825715	0.921796	0.927454	0.988114	-0.130776	
-342.700000	0.000053	0.824077	0.921009	0.926958	0.987934	-0.132414	
-342.600000	0.000054	0.822696	0.920614	0.926408	0.987412	-0.133795	
-342.500000	0.000054	0.823595	0.920007	0.925829	0.987035	-0.132896	
-342.400000	0.000054	0.822406	0.919212	0.925388	0.986586	-0.134085	
-342.300000	0.000054	0.821700	0.918762	0.924823	0.986304	-0.134791	
-342.200000	0.000054	0.822599	0.918234	0.924298	0.986079	-0.133892	
-342.100000	0.000054	0.821668	0.917305	0.923758	0.985715	-0.134823	
-342.000000	0.000055	0.821475	0.916763	0.923186	0.985303	-0.135016	
-341.900000	0.000055	0.821346	0.916086	0.922668	0.984861	-0.135145	
-341.800000	0.000055	0.820800	0.915799	0.922198	0.984208	-0.135691	
-341.700000	0.000055	0.820479	0.914959	0.921615	0.983951	-0.136012	
-341.600000	0.000055	0.819837	0.914281	0.921139	0.983625	-0.136655	
-341.500000	0.000055	0.818744	0.913526	0.920644	0.983334	-0.137747	
-341.400000	0.000055	0.819580	0.913213	0.920138	0.982950	-0.136911	
-341.300000	0.000056	0.819740	0.912151	0.919682	0.982556	-0.136751	
-341.200000	0.000056	0.818102	0.911753	0.919180	0.982070	-0.138389	
-341.100000	0.000056	0.818166	0.911216	0.918645	0.981653	-0.138325	
-341.000000	0.000056	0.817427	0.910421	0.918109	0.981371	-0.139064	
-340.900000	0.000056	0.817524	0.909650	0.917610	0.980895	-0.138967	
-340.800000	0.000056	0.817813	0.909093	0.917037	0.980574	-0.138678	
-340.700000	0.000057	0.816785	0.908299	0.916521	0.980162	-0.139706	
-340.600000	0.000057	0.816978	0.907965	0.916034	0.979625	-0.139514	
-340.500000	0.000057	0.815885	0.906992	0.915474	0.979355	-0.140606	
-340.400000	0.000057	0.816817	0.906661	0.914938	0.979000	-0.139674	
-340.300000	0.000057	0.815436	0.905905	0.914420	0.978831	-0.141055	
-340.200000	0.000057	0.814665	0.905293	0.913884	0.978345	-0.141826	
-340.100000	0.000058	0.814857	0.904793	0.913371	0.977944	-0.141634	
-340.000000	0.000058	0.813669	0.903839	0.912874	0.977518	-0.142822	
-339.900000	0.000058	0.814151	0.903534	0.912356	0.977142	-0.142340	
-339.800000	0.000058	0.814247	0.902826	0.911852	0.976900	-0.142244	
-339.700000	0.000058	0.813315	0.902076	0.911347	0.976660	-0.143176	
-339.600000	0.000058	0.811260	0.901375	0.910779	0.976297	-0.145232	
-339.500000	0.000059	0.810810	0.900995	0.910240	0.975910	-0.145681	
-339.400000	0.000059	0.811420	0.900368	0.909665	0.975535	-0.145071	
-339.300000	0.000059	0.811613	0.899880	0.909081	0.975146	-0.144878	
-339.200000	0.000059	0.811677	0.899213	0.908557	0.974753	-0.144814	
-339.100000	0.000059	0.810553	0.898452	0.908026	0.974368	-0.145938	
-339.000000	0.000060	0.809718	0.898219	0.907479	0.974013	-0.146773	
-338.900000	0.000060	0.809718	0.897456	0.906891	0.973630	-0.146773	
-338.800000	0.000060	0.808401	0.896947	0.906376	0.973324	-0.148091	
-338.700000	0.000060	0.807887	0.896565	0.905852	0.973031	-0.148605	
-338.600000	0.000060	0.807983	0.895945	0.905302	0.972596	-0.148508	
-338.500000	0.000060	0.808401	0.895146	0.904793	0.972359	-0.148091	
-338.400000	0.000061	0.805927	0.894742	0.904275	0.971979	-0.150564	
-338.300000	0.000061	0.806634	0.894310	0.903785	0.971665	-0.149857	
-338.200000	0.000061	0.807983	0.893643	0.903369	0.971175	-0.148508	
-338.100000	0.000061	0.806312	0.893129	0.902820	0.970736	-0.150179	
-338.000000	0.000061	0.805028	0.892719	0.902292	0.970219	-0.151464	
-337.900000	0.000062	0.804096	0.892133	0.901773	0.969914	-0.152395	
-337.800000	0.000062	0.803453	0.891830	0.901290	0.969708	-0.153038	
-337.700000	0.000062	0.802811	0.891232	0.900842	0.969381	-0.153680	
-337.600000	0.000062	0.803550	0.890784	0.900333	0.968943	-0.152941	
-337.500000	0.000062	0.801815	0.890505	0.899720	0.968366	-0.154676	
-337.400000	0.000062	0.801976	0.890063	0.899229	0.967974	-0.154515	
-337.300000	0.000063	0.801269	0.889409	0.898721	0.967685	-0.155222	
-337.200000	0.000063	0.798763	0.888895	0.898282	0.967197	-0.157728	
-337.100000	0.000063	0.799856	0.888410	0.897812	0.966905	-0.156635	
-337.000000	0.000063	0.800305	0.888188	0.897349	0.966547	-0.156186	
-336.900000	0.000063	0.798828	0.887734	0.896793	0.966196	-0.157663	
-336.800000	0.000064	0.799149	0.887178	0.896351	0.965756	-0.157342	
-336.700000	0.000064	0.797543	0.886764	0.895914	0.965443	-0.158948	
-336.600000	0.000064	0.796515	0.886369	0.895474	0.965068	-0.159976	
-336.500000	0.000064	0.797093	0.886023	0.895021	0.964560	-0.159398	
-336.400000	0.000064	0.796997	0.885590	0.894533	0.964118	-0.159495	
-336.300000	0.000065	0.794587	0.885122	0.894019	0.963693	-0.161904	
-336.200000	0.000065	0.795294	0.884941	0.893521	0.963437	-0.161197	
-336.100000	0.000065	0.792564	0.884313	0.893050	0.963168	-0.163928	
-336.000000	0.000065	0.795872	0.883885	0.892607	0.962842	-0.160619	
-335.900000	0.000065	0.792853	0.883511	0.892148	0.962231	-0.163638	
-335.800000	0.000066	0.793752	0.883449	0.891749	0.961797	-0.162739	
-335.700000	0.000066	0.792274	0.882589	0.891267	0.961523	-0.164217	
-335.600000	0.000066	0.790765	0.882395	0.890800	0.961039	-0.165727	
-335.500000	0.000066	0.790861	0.881948	0.890398	0.960688	-0.165630	
-335.400000	0.000066	0.789576	0.881539	0.889980	0.960177	-0.166915	
-335.300000	0.000067	0.789448	0.881229	0.889549	0.959697	-0.167044	
