Crank	TKE	EPS	Intensty
[CADaTDCF]	[m^2/s^2]	[m^2/s^3]	[m/s]
2.05E+01	5.2419	4015.53	1.70133
2.11E+01	5.14506	3872.89	1.68622
2.15E+01	5.06057	3748.62	1.673
2.20E+01	4.96737	3611.92	1.65838
2.25E+01	4.87613	3478.79	1.64401
2.30E+01	4.78693	3349.44	1.6299
2.35E+01	4.70936	3237.82	1.61758
2.40E+01	4.62402	3116.12	1.60396
2.45E+01	4.54076	2998.61	1.5906
2.50E+01	4.4596	2885.41	1.57751
2.56E+01	4.38057	2776.47	1.56468
2.60E+01	4.31206	2683.22	1.5535
2.65E+01	4.23704	2582.3	1.54118
2.70E+01	4.16413	2485.59	1.52913
2.75E+01	4.09332	2393	1.51736
2.80E+01	4.03034	2570.43	1.5103
2.85E+01	3.94039	2454.26	1.49474
2.90E+01	3.85433	2346.44	1.47966
2.95E+01	3.77174	2245.86	1.46501
3.00E+01	3.70097	2161.86	1.45232
3.05E+01	3.62438	2073.07	1.43845
3.10E+01	3.55085	1989.83	1.42499
3.15E+01	3.48007	1911.59	1.4119
3.21E+01	3.41204	1838.02	1.39921
3.25E+01	3.35377	1776.27	1.38823
3.30E+01	3.29055	1710.53	1.37621
3.35E+01	3.22972	1648.52	1.36454
3.40E+01	3.17121	1589.97	1.35321
3.45E+01	3.12103	1540.62	1.34341
3.50E+01	3.06656	1487.92	1.33267
3.55E+01	3.01411	1438.02	1.32225
3.60E+01	2.9636	1390.73	1.31212
3.66E+01	2.91493	1345.86	1.30228
3.70E+01	2.87317	1307.91	1.29376
3.75E+01	2.82781	1267.24	1.28444
3.80E+01	2.78408	1228.58	1.27538
3.86E+01	2.74194	1191.82	1.26657
3.90E+01	2.70574	1160.65	1.25895
3.95E+01	2.6664	1127.16	1.25061
4.00E+01	2.62845	1095.24	1.2425
4.05E+01	2.59183	1064.83	1.23462
4.10E+01	2.56036	1038.97	1.22779
4.15E+01	2.52612	1011.13	1.22031
4.20E+01	2.49307	984.526	1.21304
4.25E+01	2.46115	959.091	1.20597
4.31E+01	2.43032	934.764	1.1991
4.35E+01	2.40381	914.025	1.19315
4.40E+01	2.37495	891.639	1.18663
4.45E+01	2.34706	870.2	1.18029
4.50E+01	2.32011	849.66	1.17413
4.55E+01	2.29692	832.12	1.16879
4.60E+01	2.27165	813.155	1.16295
4.65E+01	2.24723	794.964	1.15726
4.70E+01	2.22361	777.511	1.15174
4.76E+01	2.20079	760.75	1.14637
4.80E+01	2.1802	784.706	1.14396
4.85E+01	2.15442	769.307	1.13768
4.90E+01	2.1294	754.29	1.13153
4.96E+01	2.10513	739.657	1.12552
5.00E+01	2.08395	726.868	1.12026
5.05E+01	2.06071	712.852	1.11445
5.10E+01	2.03818	699.29	1.10877
5.15E+01	2.01624	686.119	1.10322
5.20E+01	1.99719	674.728	1.09837
5.25E+01	1.97633	662.316	1.09303
5.30E+01	1.95609	650.305	1.08782
5.35E+01	1.93638	638.67	1.08271
5.41E+01	1.91721	627.406	1.07772
5.45E+01	1.90063	617.709	1.07338
5.50E+01	1.88248	607.134	1.0686
5.55E+01	1.86482	596.893	1.06392
5.60E+01	1.84766	586.967	1.05935
5.65E+01	1.83283	578.425	1.05538
5.70E+01	1.81658	569.091	1.05101
5.75E+01	1.80077	560.041	1.04674
5.80E+01	1.78543	551.275	1.04256
5.85E+01	1.77216	543.705	1.03893
5.90E+01	1.75763	535.441	1.03494
5.95E+01	1.74351	527.417	1.03104
6.00E+01	1.72979	519.644	1.02723
6.06E+01	1.71646	512.099	1.02351
6.10E+01	1.70494	505.578	1.02028
6.15E+01	1.69233	498.445	1.01673
6.20E+01	1.68008	491.513	1.01326
6.25E+01	1.66818	484.788	1.00987
6.30E+01	1.65789	478.96	1.00693
6.35E+01	1.64663	472.587	1.00369
6.40E+01	1.63571	466.393	1.00054
6.45E+01	1.6251	460.364	0.99746
6.51E+01	1.61481	454.509	0.994457
6.55E+01	1.60592	449.445	0.99185
6.60E+01	1.59619	443.886	0.988986
6.65E+01	1.58676	438.479	0.986193
6.71E+01	1.57761	433.224	0.983472
6.75E+01	1.56972	428.677	0.981111
6.80E+01	1.55966	437.027	0.980447
6.85E+01	1.54961	432.624	0.977387
6.90E+01	1.53983	428.215	0.974386
6.95E+01	1.53124	424.242	0.971742
7.00E+01	1.52171	419.76	0.9688
7.05E+01	1.51239	415.314	0.96591
7.10E+01	1.50326	410.92	0.963065
7.16E+01	1.49432	406.565	0.960267
7.20E+01	1.48652	402.749	0.957818
7.25E+01	1.47792	398.525	0.955105
7.30E+01	1.46954	394.374	0.952444
7.35E+01	1.46134	390.312	0.949832
7.40E+01	1.45421	386.756	0.947549
7.45E+01	1.44636	382.847	0.945024
7.50E+01	1.4387	379.016	0.942548
7.55E+01	1.43123	375.267	0.94012
7.61E+01	1.42394	371.606	0.937739
7.65E+01	1.4176	368.416	0.935659
7.70E+01	1.41063	364.914	0.933363
7.75E+01	1.40384	361.486	0.931114
7.81E+01	1.39722	358.141	0.92891
7.85E+01	1.39148	355.228	0.926987
7.90E+01	1.38516	352.034	0.924864
7.95E+01	1.37901	348.903	0.922783
8.00E+01	1.37301	345.841	0.920746
8.05E+01	1.36781	343.2	0.91897
8.10E+01	1.3621	340.27	0.91701
8.15E+01	1.35653	337.384	0.915089
8.20E+01	1.35111	334.582	0.913207
8.26E+01	1.34583	331.834	0.911365
8.30E+01	1.34125	329.447	0.909759
8.35E+01	1.33622	326.803	0.907987
8.40E+01	1.33131	324.223	0.906251
8.45E+01	1.32654	321.692	0.90455
8.50E+01	1.3224	319.484	0.903069
8.55E+01	1.31786	317.041	0.901433
8.60E+01	1.31343	314.649	0.899832
8.65E+01	1.30911	312.3	0.898263
8.70E+01	1.30538	310.246	0.896896
8.75E+01	1.30127	307.987	0.895388
8.80E+01	1.29655	314.125	0.895097
8.85E+01	1.29154	312.115	0.893302
8.91E+01	1.28662	310.015	0.891528
8.95E+01	1.28233	308.116	0.889973
9.00E+01	1.27755	305.947	0.888238
9.05E+01	1.27283	303.757	0.886522
9.10E+01	1.2682	301.59	0.884832
9.15E+01	1.26416	299.666	0.883352
9.20E+01	1.2597	297.528	0.88171
9.25E+01	1.25531	295.427	0.880092
9.30E+01	1.251	293.327	0.878498
9.36E+01	1.24678	291.276	0.876929
9.40E+01	1.2431	289.477	0.875556
9.45E+01	1.23904	287.479	0.874034
9.50E+01	1.23506	285.515	0.872539
9.56E+01	1.23116	283.575	0.871066
9.60E+01	1.22776	281.878	0.869778
9.65E+01	1.22401	280.003	0.868352
9.70E+01	1.22034	278.152	0.86695
9.75E+01	1.21675	276.327	0.865573
9.80E+01	1.21363	274.729	0.86437
9.85E+01	1.21018	272.957	0.863038
9.90E+01	1.20681	271.208	0.861728
9.95E+01	1.20352	269.487	0.860442
1.00E+02	1.2003	267.789	0.85918
