Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	T_Zone_1 [K]	T_mittel [K]	T_BurnAdiabat [K]	p_soll [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Hu Zone [J/kg]	Hu frischGemsich [J/kg]	Phi_Delay [°KW]	Alpha [W/(m^2K)]	pSchlepp [bar]	Brennraumfläche [m^2]	Zonenmasse [kg]	ZonenKontrollmasse [kg]	 cv[J/kg]	 cp [J/kg]	 kappa [-]	 U [J]	H_Massenbruch [kg]	O_Massenbruch [kg]	N_Massenbruch [kg]	H2_Massenbruch [kg]	OH_Massenbruch [kg]	CO_Massenbruch [kg]	NO_Massenbruch [kg]	O2_Massenbruch [kg]	H2O_Massenbruch [kg]	CO2_Massenbruch [kg]	N2_Massenbruch [kg]	RON_95_Massenbruch [kg]
-115.0	 4.1656183887991255E-4	 5.709350556318246E-4	 400.3895168745191	 400.3895168745191	 940.3857156617161	 1.371757497	 1.3717577806894132	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -8.47454915030439	 -7.060347555457995E-4	 -0.006911457763195878	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941793	 0.0	 96.42113248037519	 3.4397843366911407	 0.03887184979951676	 6.867171939550022E-4	 6.867171939550022E-4	 777.4865050415895	 1062.3281744431918	 1.366362203786888	 -874.5181775200028	 1.7973091035543978E-9	 1.437944435966775E-6	 1.8963829855891353E-13	 9.325179934504658E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449565	 0.03349530111247546	 0.09148811322937078	 0.7345032908335671	 0.013985742372200731	 
-114.5	 4.582180227679038E-4	 5.686632980257261E-4	 400.9752261589244	 400.9752261589244	 940.8999988572621	 1.3792520590000001	 1.3792525175013846	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -6.539634305356687	 -5.448324183683082E-4	 -0.007183873972380033	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941793	 0.0	 96.99854481604007	 3.4417746653139325	 0.038780979495272816	 6.867171939550022E-4	 6.867171939550022E-4	 777.629132843108	 1062.4708022447103	 1.3662950079560239	 -874.2054308341484	 1.7973091035543976E-9	 1.437944435966775E-6	 1.8963829855891353E-13	 9.325179934504658E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449565	 0.03349530111247546	 0.09148811322937078	 0.7345032908335671	 0.013985742372200731	 
-114.0	 4.998742066558951E-4	 5.663766428293816E-4	 401.56774520718096	 401.56774520718096	 941.420274043288	 1.3868667090000002	 1.386867372132984	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -4.567260388854658	 -3.805092772449361E-4	 -0.007374128611002501	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941793	 0.0	 97.58203733676069	 3.443787261809073	 0.038689513287419035	 6.867171939550022E-4	 6.867171939550022E-4	 777.7735577964507	 1062.615227198053	 1.3662269905505677	 -873.8889895912389	 1.7973091035543974E-9	 1.437944435966775E-6	 1.8963829855891353E-13	 9.325179934504658E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449565	 0.03349530111247546	 0.09148811322937078	 0.7345032908335671	 0.013985742372200731	 
-113.5	 5.415303905438863E-4	 5.640751903261681E-4	 402.1671353721954	 402.1671353721954	 941.9465967639245	 1.3946034750000003	 1.3946043735466844	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -2.5568388417149617	 -2.1301629792487402E-4	 -0.007480636759964938	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941793	 0.0	 98.17166668421666	 3.4458222990547887	 0.03859745518729049	 6.867171939550022E-4	 6.867171939550022E-4	 777.9197994910432	 1062.7614688926456	 1.366158143278987	 -873.5688189329162	 1.7973091035543974E-9	 1.437944435966775E-6	 1.8963829855891353E-13	 9.325179934504658E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449565	 0.03349530111247546	 0.09148811322937078	 0.7345032908335671	 0.013985742372200731	 
-113.0	 5.831865744318776E-4	 5.617590429801157E-4	 402.77345875526413	 402.77345875526413	 942.4790219381998	 1.4024644300000002	 1.4024655948323874	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -0.5077725728796392	 -4.230373533830538E-5	 -0.00750178862763409	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941793	 0.0	 98.76749051812367	 3.447879951713352	 0.03850480929344839	 6.867171939550022E-4	 6.867171939550022E-4	 778.0678777994851	 1062.9095472010874	 1.366088457741226	 -873.2448835488223	 1.7973091035543974E-9	 1.437944435966775E-6	 1.8963829855891353E-13	 9.325179934504658E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449565	 0.03349530111247546	 0.09148811322937078	 0.7345032908335671	 0.013985742372200731	 
-112.5	 6.248427583198688E-4	 5.594283054547574E-4	 403.38677821338536	 403.38677821338536	 943.0176038673887	 1.410451691	 1.4104531542631018	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.580544203165806	 1.3167887994034683E-4	 -0.007435949187663916	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941793	 0.0	 99.36956753192061	 3.449960396242245	 0.038411579792434064	 6.867171939550022E-4	 6.867171939550022E-4	 778.2178128813032	 1063.0594822829055	 1.3660179254275788	 -872.9171476714314	 1.7973091035543974E-9	 1.437944435966775E-6	 1.8963829855891353E-13	 9.325179934504658E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449565	 0.03349530111247546	 0.09148811322937078	 0.7345032908335671	 0.013985742372200731	 
-112.0	 6.664989422078601E-4	 5.570830846315126E-4	 404.00715736665387	 404.00715736665387	 943.5624001512166	 1.4185674230000003	 1.418569216379497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 3.708726133528679	 3.0898275561693894E-4	 -0.007281457809855447	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941793	 0.0	 99.97795746889156	 3.4520638109054267	 0.03831777095950427	 6.867171939550022E-4	 6.867171939550022E-4	 778.3696251867542	 1063.2112945883564	 1.365946537717553	 -872.5855750708039	 1.7973091035543974E-9	 1.437944435966775E-6	 1.8963829855891353E-13	 9.325179934504658E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449565	 0.03349530111247546	 0.09148811322937078	 0.7345032908335671	 0.013985742372200731	 
-111.5	 7.081551260958513E-4	 5.547234896275867E-4	 404.6346606057375	 404.6346606057375	 944.1134677848997	 1.4268138350000001	 1.4268159931041755	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 5.877396898859182	 4.896598520031752E-4	 -0.00703662788385386	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941793	 0.0	 100.59272113873122	 3.4541903757846923	 0.03822338715934723	 6.867171939550022E-4	 6.867171939550022E-4	 778.5233354606827	 1063.3650048622849	 1.3658742858787274	 -872.2501290492701	 1.7973091035543974E-9	 1.437944435966775E-6	 1.8963829855891353E-13	 9.325179934504658E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449565	 0.03349530111247546	 0.09148811322937078	 0.7345032908335671	 0.013985742372200731	 
-111.0	 7.498113099838426E-4	 5.523496318133719E-4	 405.26935309943707	 405.26935309943707	 944.6708657719948	 1.435193187	 1.4351957448865407	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 8.087189390274103	 6.737628967565399E-4	 -0.00669974643547559	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941793	 0.0	 101.21392043456162	 3.4563402727911257	 0.038128432846778644	 6.867171939550022E-4	 6.867171939550023E-4	 778.6789647464321	 1063.5206341480343	 1.3658011610655973	 -871.9107724360339	 1.7973091035543974E-9	 1.437944435966775E-6	 1.8963829855891353E-13	 9.325179934504658E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449565	 0.03349530111247546	 0.09148811322937078	 0.7345032908335671	 0.013985742372200731	 
-110.5	 7.914674938718339E-4	 5.499616248293333E-4	 405.9113008023264	 405.9113008023264	 945.234651223177	 1.443707789	 1.4437107818791495	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 10.338745891434602	 8.613454000496277E-4	 -0.006269073735450776	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 101.84161835040832	 3.4585136856766474	 0.0380329125674171	 6.867171939550022E-4	 6.867171939550022E-4	 778.8365343898089	 1063.678203791411	 1.3657271543184164	 -871.5674675817029	 1.7973091035543974E-9	 1.437944435966775E-6	 1.8963829855891353E-13	 9.325179934504658E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449565	 0.03349530111247546	 0.09148811322937078	 0.7345032908335671	 0.013985742372200731	 
