Kurbelwinkel	Hub_AV
[KWnAO]	[mm]
 60.0	 1.335000
 60.1	 1.334000
 60.2	 1.333000
 60.3	 1.332000
 60.4	 1.331000
 60.5	 1.331000
 60.6	 1.330000
 60.7	 1.329000
 60.8	 1.328000
 60.9	 1.327000
 61.0	 1.326000
 61.1	 1.325000
 61.2	 1.324000
 61.3	 1.323000
 61.4	 1.322000
 61.5	 1.321000
 61.6	 1.320000
 61.7	 1.319000
 61.8	 1.318000
 61.9	 1.317000
 62.0	 1.316000
 62.1	 1.315000
 62.2	 1.313000
 62.3	 1.312000
 62.4	 1.311000
 62.5	 1.310000
 62.6	 1.309000
 62.7	 1.308000
 62.8	 1.307000
 62.9	 1.305000
 63.0	 1.304000
 63.1	 1.303000
 63.2	 1.302000
 63.3	 1.301000
 63.4	 1.299000
 63.5	 1.298000
 63.6	 1.297000
 63.7	 1.296000
 63.8	 1.294000
 63.9	 1.293000
 64.0	 1.292000
 64.1	 1.291000
 64.2	 1.289000
 64.3	 1.288000
 64.4	 1.287000
 64.5	 1.285000
 64.6	 1.284000
 64.7	 1.283000
 64.8	 1.281000
 64.9	 1.280000
 65.0	 1.278000
 65.1	 1.277000
 65.2	 1.276000
 65.3	 1.274000
 65.4	 1.273000
 65.5	 1.271000
 65.6	 1.270000
 65.7	 1.268000
 65.8	 1.267000
 65.9	 1.265000
 66.0	 1.264000
 66.1	 1.262000
 66.2	 1.261000
 66.3	 1.259000
 66.4	 1.258000
 66.5	 1.256000
 66.6	 1.254000
 66.7	 1.253000
 66.8	 1.251000
 66.9	 1.250000
 67.0	 1.248000
 67.1	 1.246000
 67.2	 1.245000
 67.3	 1.243000
 67.4	 1.241000
 67.5	 1.240000
 67.6	 1.238000
 67.7	 1.236000
 67.8	 1.235000
 67.9	 1.233000
 68.0	 1.231000
 68.1	 1.229000
 68.2	 1.228000
 68.3	 1.226000
 68.4	 1.224000
 68.5	 1.222000
 68.6	 1.221000
 68.7	 1.219000
 68.8	 1.217000
 68.9	 1.215000
 69.0	 1.213000
 69.1	 1.211000
 69.2	 1.210000
 69.3	 1.208000
 69.4	 1.206000
 69.5	 1.204000
 69.6	 1.202000
 69.7	 1.200000
 69.8	 1.198000
 69.9	 1.196000
 70.0	 1.194000
 70.1	 1.192000
 70.2	 1.190000
 70.3	 1.188000
 70.4	 1.186000
 70.5	 1.184000
 70.6	 1.182000
 70.7	 1.180000
 70.8	 1.178000
 70.9	 1.176000
 71.0	 1.174000
 71.1	 1.172000
 71.2	 1.170000
 71.3	 1.168000
 71.4	 1.166000
 71.5	 1.163000
 71.6	 1.161000
 71.7	 1.159000
 71.8	 1.157000
 71.9	 1.155000
 72.0	 1.153000
 72.1	 1.150000
 72.2	 1.148000
 72.3	 1.146000
 72.4	 1.144000
 72.5	 1.142000
 72.6	 1.139000
 72.7	 1.137000
 72.8	 1.135000
 72.9	 1.132000
 73.0	 1.130000
 73.1	 1.128000
 73.2	 1.126000
 73.3	 1.123000
 73.4	 1.121000
 73.5	 1.119000
 73.6	 1.116000
 73.7	 1.114000
 73.8	 1.112000
 73.9	 1.109000
 74.0	 1.107000
 74.1	 1.104000
 74.2	 1.102000
 74.3	 1.099000
 74.4	 1.097000
 74.5	 1.095000
 74.6	 1.092000
 74.7	 1.090000
 74.8	 1.087000
 74.9	 1.085000
 75.0	 1.082000
 75.1	 1.080000
 75.2	 1.077000
 75.3	 1.075000
 75.4	 1.072000
 75.5	 1.070000
 75.6	 1.067000
 75.7	 1.064000
 75.8	 1.062000
 75.9	 1.059000
 76.0	 1.057000
 76.1	 1.054000
 76.2	 1.051000
 76.3	 1.049000
 76.4	 1.046000
 76.5	 1.043000
 76.6	 1.041000
 76.7	 1.038000
 76.8	 1.035000
 76.9	 1.033000
 77.0	 1.030000
 77.1	 1.027000
 77.2	 1.024000
 77.3	 1.022000
 77.4	 1.019000
 77.5	 1.016000
 77.6	 1.013000
 77.7	 1.011000
 77.8	 1.008000
 77.9	 1.005000
 78.0	 1.002000
 78.1	 0.999000
 78.2	 0.997000
 78.3	 0.994000
 78.4	 0.991000
 78.5	 0.988000
 78.6	 0.985000
 78.7	 0.982000
 78.8	 0.979000
 78.9	 0.977000
 79.0	 0.974000
 79.1	 0.971000
 79.2	 0.968000
 79.3	 0.965000
 79.4	 0.962000
 79.5	 0.959000
 79.6	 0.956000
 79.7	 0.953000
 79.8	 0.950000
 79.9	 0.947000
 80.0	 0.944000
 80.1	 0.941000
 80.2	 0.938000
 80.3	 0.935000
 80.4	 0.932000
 80.5	 0.929000
 80.6	 0.926000
 80.7	 0.923000
 80.8	 0.920000
 80.9	 0.917000
 81.0	 0.914000
 81.1	 0.911000
 81.2	 0.908000
 81.3	 0.905000
 81.4	 0.902000
 81.5	 0.898000
 81.6	 0.895000
 81.7	 0.892000
 81.8	 0.889000
 81.9	 0.886000
 82.0	 0.883000
 82.1	 0.880000
 82.2	 0.877000
 82.3	 0.873000
 82.4	 0.870000
 82.5	 0.867000
 82.6	 0.864000
 82.7	 0.861000
 82.8	 0.858000
 82.9	 0.854000
 83.0	 0.851000
 83.1	 0.847900
 83.2	 0.844700
 83.3	 0.841500
 83.4	 0.838200
 83.5	 0.835000
 83.6	 0.831700
 83.7	 0.828400
 83.8	 0.825100
 83.9	 0.821800
 84.0	 0.818500
 84.1	 0.815100
 84.2	 0.811800
 84.3	 0.808500
 84.4	 0.805200
 84.5	 0.801800
 84.6	 0.798400
 84.7	 0.795000
