Kurbelwinkel	Hub_EV
[KWnEO]	[mm]
 38.8	 1.650000
 38.9	 1.652000
 39.0	 1.654000
 39.1	 1.656000
 39.2	 1.658000
 39.3	 1.661000
 39.4	 1.663000
 39.5	 1.665000
 39.6	 1.667000
 39.7	 1.669000
 39.8	 1.671000
 39.9	 1.674000
 40.0	 1.676000
 40.1	 1.678000
 40.2	 1.680000
 40.3	 1.682000
 40.4	 1.684000
 40.5	 1.686000
 40.6	 1.688000
 40.7	 1.690000
 40.8	 1.692000
 40.9	 1.694000
 41.0	 1.696000
 41.1	 1.698000
 41.2	 1.700000
 41.3	 1.702000
 41.4	 1.704000
 41.5	 1.706000
 41.6	 1.708000
 41.7	 1.710000
 41.8	 1.711000
 41.9	 1.713000
 42.0	 1.715000
 42.1	 1.717000
 42.2	 1.719000
 42.3	 1.721000
 42.4	 1.723000
 42.5	 1.724000
 42.6	 1.726000
 42.7	 1.728000
 42.8	 1.730000
 42.9	 1.732000
 43.0	 1.733000
 43.1	 1.735000
 43.2	 1.737000
 43.3	 1.738000
 43.4	 1.740000
 43.5	 1.742000
 43.6	 1.743000
 43.7	 1.745000
 43.8	 1.747000
 43.9	 1.748000
 44.0	 1.750000
 44.1	 1.752000
 44.2	 1.753000
 44.3	 1.755000
 44.4	 1.756000
 44.5	 1.758000
 44.6	 1.760000
 44.7	 1.761000
 44.8	 1.763000
 44.9	 1.764000
 45.0	 1.766000
 45.1	 1.767000
 45.2	 1.769000
 45.3	 1.770000
 45.4	 1.772000
 45.5	 1.773000
 45.6	 1.774000
 45.7	 1.776000
 45.8	 1.777000
 45.9	 1.779000
 46.0	 1.780000
 46.1	 1.782000
 46.2	 1.783000
 46.3	 1.784000
 46.4	 1.786000
 46.5	 1.787000
 46.6	 1.788000
 46.7	 1.790000
 46.8	 1.791000
 46.9	 1.792000
 47.0	 1.793000
 47.1	 1.795000
 47.2	 1.796000
 47.3	 1.797000
 47.4	 1.798000
 47.5	 1.800000
 47.6	 1.801000
 47.7	 1.802000
 47.8	 1.803000
 47.9	 1.804000
 48.0	 1.805000
 48.1	 1.807000
 48.2	 1.808000
 48.3	 1.809000
 48.4	 1.810000
 48.5	 1.811000
 48.6	 1.812000
 48.7	 1.813000
 48.8	 1.814000
 48.9	 1.815000
 49.0	 1.816000
 49.1	 1.817000
 49.2	 1.818000
 49.3	 1.819000
 49.4	 1.820000
 49.5	 1.821000
 49.6	 1.822000
 49.7	 1.823000
 49.8	 1.824000
 49.9	 1.825000
 50.0	 1.826000
 50.1	 1.827000
 50.2	 1.828000
 50.3	 1.829000
 50.4	 1.830000
 50.5	 1.830000
 50.6	 1.831000
 50.7	 1.832000
 50.8	 1.833000
 50.9	 1.834000
 51.0	 1.834000
 51.1	 1.835000
 51.2	 1.836000
 51.3	 1.837000
 51.4	 1.838000
 51.5	 1.838000
 51.6	 1.839000
 51.7	 1.840000
 51.8	 1.840000
 51.9	 1.841000
 52.0	 1.842000
 52.1	 1.843000
 52.2	 1.843000
 52.3	 1.844000
 52.4	 1.844000
 52.5	 1.845000
 52.6	 1.846000
 52.7	 1.846000
 52.8	 1.847000
 52.9	 1.847000
 53.0	 1.848000
 53.1	 1.849000
 53.2	 1.849000
 53.3	 1.850000
 53.4	 1.850000
 53.5	 1.851000
 53.6	 1.851000
 53.7	 1.852000
 53.8	 1.852000
 53.9	 1.852000
 54.0	 1.853000
