CA	pMess	dummy	dummy	
[KWnZOT]	[bar]	[bar]	[bar]	
-263.4	1.200549212	5	5	386
-263.15	1.200067932	5	5	387
-262.9	1.198893964	5	5	388
-262.65	1.197585813	5	5	389
-262.4	1.196717237	5	5	390
-262.15	1.196578998	5	5	391
-261.9	1.197090898	5	5	392
-261.65	1.197950026	5	5	393
-261.4	1.198880598	5	5	394
-261.15	1.199790919	5	5	395
-260.9	1.200739008	5	5	396
-260.65	1.201777672	5	5	397
-260.4	1.202838517	5	5	398
-260.15	1.203751129	5	5	399
-259.9	1.204358177	5	5	400
-259.65	1.204615623	5	5	401
-259.4	1.2046093	5	5	402
-259.15	1.204505162	5	5	403
-258.9	1.204488097	5	5	404
-258.65	1.204717296	5	5	405
-258.4	1.205291146	5	5	406
-258.15	1.206218997	5	5	407
-257.9	1.207425027	5	5	408
-257.65	1.208808221	5	5	409
-257.4	1.210332232	5	5	410
-257.15	1.212066254	5	5	411
-256.9	1.214113969	5	5	412
-256.65	1.216464165	5	5	413
-256.4	1.218890752	5	5	414
-256.15	1.221014823	5	5	415
-255.9	1.222507139	5	5	416
-255.65	1.223276565	5	5	417
-255.4	1.223492933	5	5	418
-255.15	1.223432191	5	5	419
-254.9	1.223271206	5	5	420
-254.65	1.222978814	5	5	421
-254.4	1.222364458	5	5	422
-254.15	1.221251706	5	5	423
-253.9	1.219685696	5	5	424
-253.65	1.218047318	5	5	425
-253.4	1.216958655	5	5	426
-253.15	1.216985195	5	5	427
-252.9	1.21832296	5	5	428
-252.65	1.220713265	5	5	429
-252.4	1.223642578	5	5	430
-252.15	1.226623678	5	5	431
-251.9	1.229305022	5	5	432
-251.65	1.231376267	5	5	433
-251.4	1.232473999	5	5	434
-251.15	1.232279614	5	5	435
-250.9	1.230767938	5	5	436
-250.65	1.228367568	5	5	437
-250.4	1.225830513	5	5	438
-250.15	1.223846479	5	5	439
-249.9	1.222671006	5	5	440
-249.65	1.222062549	5	5	441
-249.4	1.221596911	5	5	442
-249.15	1.221120188	5	5	443
-248.9	1.220977856	5	5	444
-248.65	1.221832793	5	5	445
-248.4	1.224205174	5	5	446
-248.15	1.228062178	5	5	447
-247.9	1.232725648	5	5	448
-247.65	1.237141677	5	5	449
-247.4	1.240343215	5	5	450
-247.15	1.241847352	5	5	451
-246.9	1.241784964	5	5	452
-246.65	1.240725484	5	5	453
-246.4	1.239343239	5	5	454
-246.15	1.238150532	5	5	455
-245.9	1.237432145	5	5	456
-245.65	1.237335075	5	5	457
-245.4	1.23796001	5	5	458
-245.15	1.239352287	5	5	459
-244.9	1.241422128	5	5	460
-244.65	1.243895434	5	5	461
-244.4	1.246355209	5	5	462
-244.15	1.24834984	5	5	463
-243.9	1.249508169	5	5	464
-243.65	1.249625566	5	5	465
-243.4	1.248716809	5	5	466
-243.15	1.24703194	5	5	467
-242.9	1.245018519	5	5	468
-242.65	1.243223753	5	5	469
-242.4	1.242162094	5	5	470
-242.15	1.242193903	5	5	471
-241.9	1.243448175	5	5	472
-241.65	1.245792122	5	5	473
-241.4	1.248832919	5	5	474
-241.15	1.251949336	5	5	475
-240.9	1.254383372	5	5	476
-240.65	1.255434384	5	5	477
-240.4	1.254744004	5	5	478
-240.15	1.252549387	5	5	479
-239.9	1.24971608	5	5	480
-239.65	1.247450924	5	5	481
-239.4	1.246812748	5	5	482
-239.15	1.248298471	5	5	483
-238.9	1.25172238	5	5	484
-238.65	1.256380747	5	5	485
-238.4	1.261322964	5	5	486
-238.15	1.26557461	5	5	487
-237.9	1.268293585	5	5	488
-237.65	1.268909895	5	5	489
-237.4	1.267252257	5	5	490
-237.15	1.263604964	5	5	491
-236.9	1.258654679	5	5	492
-236.65	1.253338351	5	5	493
-236.4	1.24861761	5	5	494
-236.15	1.245205719	5	5	495
-235.9	1.243327669	5	5	496
-235.65	1.242663513	5	5	497
-235.4	1.242579774	5	5	498
-235.15	1.242561841	5	5	499
-234.9	1.242577158	5	5	500
-234.65	1.24310974	5	5	501
-234.4	1.244821449	5	5	502
-234.15	1.248046793	5	5	503
-233.9	1.252439731	5	5	504
-233.65	1.257006187	5	5	505
-233.4	1.260532373	5	5	506
-233.15	1.262176612	5	5	507
-232.9	1.261875166	5	5	508
-232.65	1.260320741	5	5	509
-232.4	1.258556516	5	5	510
-232.15	1.257476612	5	5	511
-231.9	1.257531374	5	5	512
-231.65	1.258717827	5	5	513
-231.4	1.260720024	5	5	514
-231.15	1.263043148	5	5	515
-230.9	1.265115572	5	5	516
-230.65	1.266422494	5	5	517
-230.4	1.266685386	5	5	518
-230.15	1.265999318	5	5	519
-229.9	1.264818888	5	5	520
-229.65	1.263771793	5	5	521
-229.4	1.263395532	5	5	522
-229.15	1.263940118	5	5	523
-228.9	1.265324493	5	5	524
-228.65	1.267226154	5	5	525
-228.4	1.269214518	5	5	526
-228.15	1.270859405	5	5	527
-227.9	1.271813873	5	5	528
-227.65	1.271898566	5	5	529
-227.4	1.271176604	5	5	530
-227.15	1.269964864	5	5	531
-226.9	1.268743901	5	5	532
-226.65	1.267993375	5	5	533
-226.4	1.268028477	5	5	534
-226.15	1.26890776	5	5	535
-225.9	1.270440585	5	5	536
-225.65	1.272276697	5	5	537
-225.4	1.274030093	5	5	538
-225.15	1.275384592	5	5	539
-224.9	1.276153963	5	5	540
-224.65	1.276307095	5	5	541
-224.4	1.275980705	5	5	542
