 	 1kHz	 0.5kHz 	 0.25kHz 	 roh
[KWnZOT]	[bar]	[bar]	[bar]	[bar]
-342.9	1.2223	1.2255	1.2246	1.2191
-342.8	1.2213	1.2254	1.2246	1.2164
-342.7	1.2209	1.2254	1.2245	1.2149
-342.6	1.2211	1.2254	1.2244	1.2148
-342.5	1.2221	1.2254	1.2243	1.2162
-342.4	1.2236	1.2254	1.2242	1.2188
-342.3	1.2256	1.2254	1.2241	1.2226
-342.2	1.2277	1.2254	1.2239	1.2271
-342.1	1.2297	1.2254	1.2238	1.2318
-342	1.2312	1.2252	1.2237	1.236
-341.9	1.2321	1.225	1.2235	1.2387
-341.8	1.2321	1.2246	1.2233	1.2399
-341.7	1.2311	1.2241	1.2231	1.2393
-341.6	1.2291	1.2235	1.2229	1.2368
-341.5	1.2264	1.2228	1.2227	1.2326
-341.4	1.223	1.2221	1.2225	1.2262
-341.3	1.2194	1.2213	1.2222	1.2191
-341.2	1.2158	1.2206	1.222	1.2122
-341.1	1.2128	1.22	1.2218	1.2064
-341	1.2106	1.2195	1.2216	1.2023
-340.9	1.2094	1.2192	1.2213	1.2005
-340.8	1.2093	1.2191	1.2211	1.201
-340.7	1.2104	1.2192	1.221	1.2036
-340.6	1.2124	1.2194	1.2208	1.208
-340.5	1.2152	1.2197	1.2206	1.2136
-340.4	1.2184	1.2201	1.2204	1.2187
-340.3	1.2218	1.2205	1.2202	1.2239
-340.2	1.225	1.2209	1.2201	1.2286
-340.1	1.2276	1.2212	1.2199	1.2325
-340	1.2295	1.2214	1.2197	1.2354
-339.9	1.2306	1.2215	1.2195	1.2368
-339.8	1.2306	1.2214	1.2193	1.2368
-339.7	1.2296	1.2211	1.2191	1.2353
-339.6	1.2278	1.2207	1.2188	1.2324
-339.5	1.2252	1.2202	1.2186	1.2284
-339.4	1.2222	1.2195	1.2183	1.2228
-339.3	1.2191	1.2188	1.2181	1.217
-339.2	1.2161	1.218	1.2178	1.2117
-339.1	1.2135	1.2173	1.2176	1.2075
-339	1.2115	1.2167	1.2174	1.2048
-338.9	1.2102	1.2161	1.2171	1.2038
-338.8	1.2098	1.2156	1.2169	1.2044
-338.7	1.21	1.2152	1.2167	1.2065
-338.6	1.2108	1.2149	1.2165	1.2095
-338.5	1.212	1.2147	1.2163	1.213
-338.4	1.2133	1.2146	1.2161	1.2156
-338.3	1.2146	1.2145	1.216	1.2177
-338.2	1.2156	1.2145	1.2158	1.2194
-338.1	1.2163	1.2145	1.2157	1.2203
-338	1.2166	1.2145	1.2155	1.2205
-337.9	1.2164	1.2145	1.2154	1.2199
-337.8	1.2159	1.2145	1.2153	1.2186
-337.7	1.2151	1.2145	1.2152	1.2168
-337.6	1.2141	1.2145	1.2151	1.2148
-337.5	1.2131	1.2145	1.215	1.2127
-337.4	1.2123	1.2146	1.2149	1.2099
-337.3	1.2118	1.2147	1.2148	1.2078
-337.2	1.2118	1.2148	1.2147	1.2067
-337.1	1.2123	1.215	1.2147	1.2068
-337	1.2134	1.2153	1.2146	1.2083
-336.9	1.2149	1.2155	1.2146	1.211
-336.8	1.2166	1.2158	1.2145	1.2147
-336.7	1.2185	1.216	1.2145	1.2189
-336.6	1.2202	1.2161	1.2144	1.223
-336.5	1.2215	1.2162	1.2144	1.2264
-336.4	1.2222	1.2162	1.2144	1.2279
-336.3	1.2222	1.2161	1.2143	1.2281
-336.2	1.2214	1.2158	1.2143	1.2269
-336.1	1.22	1.2155	1.2142	1.2245
-336	1.2179	1.2151	1.2142	1.2211
-335.9	1.2155	1.2146	1.2141	1.2167
-335.8	1.2129	1.2142	1.2141	1.2121
-335.7	1.2104	1.2137	1.2141	1.2079
-335.6	1.2083	1.2133	1.2141	1.2044
-335.5	1.2067	1.2131	1.2141	1.202
-335.4	1.2058	1.2129	1.2141	1.2006
-335.3	1.2057	1.2128	1.2142	1.2005
-335.2	1.2064	1.2129	1.2142	1.2019
-335.1	1.2079	1.2131	1.2143	1.2044
-335	1.2099	1.2134	1.2144	1.2079
-334.9	1.2124	1.2137	1.2145	1.2111
-334.8	1.2151	1.2141	1.2146	1.2147
-334.7	1.2178	1.2145	1.2148	1.2185
-334.6	1.2201	1.2149	1.2149	1.2222
-334.5	1.222	1.2152	1.2151	1.2255
-334.4	1.2232	1.2154	1.2153	1.2282
-334.3	1.2235	1.2155	1.2154	1.2298
-334.2	1.2229	1.2155	1.2156	1.2299
-334.1	1.2215	1.2154	1.2158	1.2285
-334	1.2193	1.2153	1.216	1.2254
-333.9	1.2165	1.2151	1.2162	1.2197
-333.8	1.2136	1.2149	1.2164	1.2132
-333.7	1.2108	1.2147	1.2166	1.207
-333.6	1.2084	1.2147	1.2169	1.2018
-333.5	1.2068	1.2148	1.2171	1.1984
-333.4	1.2062	1.215	1.2174	1.1976
-333.3	1.2067	1.2154	1.2178	1.1991
-333.2	1.2081	1.216	1.2181	1.2026
-333.1	1.2104	1.2167	1.2185	1.2076
-333	1.2134	1.2175	1.2188	1.2134
-332.9	1.2166	1.2185	1.2192	1.2184
-332.8	1.22	1.2194	1.2196	1.223
-332.7	1.2231	1.2204	1.22	1.227
-332.6	1.2258	1.2213	1.2204	1.2303
-332.5	1.2279	1.2221	1.2208	1.2325
-332.4	1.2294	1.2229	1.2212	1.2335
-332.3	1.2301	1.2235	1.2216	1.2335
-332.2	1.2302	1.224	1.222	1.2328
-332.1	1.2297	1.2244	1.2224	1.2315
-332	1.2288	1.2247	1.2228	1.2297
-331.9	1.2276	1.2249	1.2231	1.2273
-331.8	1.2262	1.225	1.2235	1.2249
-331.7	1.2249	1.2251	1.2239	1.2228
-331.6	1.2237	1.2252	1.2242	1.2212
-331.5	1.2228	1.2252	1.2246	1.2203
-331.4	1.2223	1.2253	1.2249	1.2195
-331.3	1.2221	1.2254	1.2253	1.2194
-331.2	1.2224	1.2256	1.2256	1.2201
-331.1	1.2229	1.2257	1.226	1.2214
-331	1.2238	1.226	1.2263	1.2232
-330.9	1.2248	1.2262	1.2267	1.2249
-330.8	1.226	1.2265	1.2271	1.2268
-330.7	1.227	1.2268	1.2274	1.2285
-330.6	1.228	1.2271	1.2278	1.2301
-330.5	1.2287	1.2274	1.2281	1.2313
-330.4	1.2292	1.2277	1.2285	1.2314
-330.3	1.2294	1.228	1.2288	1.2311
-330.2	1.2295	1.2283	1.2291	1.2306
-330.1	1.2293	1.2286	1.2295	1.2298
-330	1.229	1.2289	1.2298	1.2291
-329.9	1.2288	1.2292	1.2301	1.2282
-329.8	1.2285	1.2295	1.2305	1.2275
-329.7	1.2284	1.2299	1.2308	1.2271
-329.6	1.2285	1.2303	1.2311	1.2272
-329.5	1.2287	1.2307	1.2314	1.2276
-329.4	1.2293	1.2312	1.2317	1.2277
-329.3	1.23	1.2317	1.232	1.2283
-329.2	1.2309	1.2322	1.2323	1.2294
-329.1	1.232	1.2327	1.2326	1.2309
-329	1.2331	1.2332	1.2329	1.2328
-328.9	1.2343	1.2337	1.2331	1.2347
-328.8	1.2353	1.2342	1.2334	1.2367
-328.7	1.2362	1.2347	1.2336	1.2384
-328.6	1.2369	1.2351	1.2339	1.2397
-328.5	1.2372	1.2354	1.2341	1.2403
-328.4	1.2373	1.2357	1.2342	1.2394
-328.3	1.2372	1.2359	1.2344	1.2379
-328.2	1.2369	1.2361	1.2345	1.2364
-328.1	1.2366	1.2363	1.2347	1.235
-328	1.2363	1.2363	1.2348	1.2341
-327.9	1.2361	1.2364	1.2349	1.2338
-327.8	1.2361	1.2364	1.235	1.2341
-327.7	1.2361	1.2364	1.235	1.2349
-327.6	1.2363	1.2363	1.235	1.236
-327.5	1.2365	1.2363	1.2351	1.2372
-327.4	1.2367	1.2361	1.2351	1.2374
-327.3	1.2369	1.236	1.2351	1.2374
-327.2	1.2369	1.2358	1.235	1.2373
-327.1	1.2369	1.2355	1.235	1.2372
-327	1.2367	1.2352	1.2349	1.2371
-326.9	1.2363	1.2349	1.2348	1.2369
-326.8	1.2358	1.2345	1.2347	1.2366
-326.7	1.2351	1.2342	1.2346	1.2362
-326.6	1.2342	1.2338	1.2345	1.2357
-326.5	1.2332	1.2334	1.2344	1.2349
-326.4	1.2322	1.233	1.2342	1.2331
-326.3	1.2311	1.2327	1.2341	1.2312
-326.2	1.2301	1.2323	1.2339	1.2294
-326.1	1.2293	1.2321	1.2338	1.2279
-326	1.2287	1.2318	1.2336	1.2269
-325.9	1.2284	1.2317	1.2334	1.2262
-325.8	1.2284	1.2316	1.2333	1.2261
-325.7	1.2287	1.2316	1.2331	1.2267
-325.6	1.2293	1.2316	1.2329	1.2279
-325.5	1.2302	1.2317	1.2327	1.2296
-325.4	1.2312	1.2318	1.2325	1.231
-325.3	1.2323	1.2319	1.2323	1.2325
-325.2	1.2333	1.232	1.2321	1.234
-325.1	1.2342	1.232	1.2318	1.2355
-325	1.2348	1.232	1.2316	1.2366
-324.9	1.2352	1.232	1.2313	1.2368
-324.8	1.2353	1.2319	1.2311	1.2367
-324.7	1.235	1.2317	1.2308	1.2363
-324.6	1.2344	1.2314	1.2304	1.2356
-324.5	1.2335	1.2311	1.2301	1.2347
-324.4	1.2324	1.2307	1.2298	1.2333
-324.3	1.2311	1.2303	1.2294	1.2317
-324.2	1.2296	1.2298	1.229	1.2301
-324.1	1.2282	1.2293	1.2286	1.2284
-324	1.2268	1.2288	1.2282	1.2267
-323.9	1.2256	1.2283	1.2277	1.2244
-323.8	1.2247	1.2278	1.2273	1.2224
-323.7	1.2241	1.2274	1.2268	1.2211
-323.6	1.2238	1.2269	1.2264	1.2206
-323.5	1.224	1.2265	1.2259	1.2209
-323.4	1.2244	1.2262	1.2254	1.2219
-323.3	1.2251	1.2258	1.2249	1.2236
-323.2	1.2259	1.2254	1.2244	1.2257
-323.1	1.2267	1.225	1.2238	1.228
-323	1.2272	1.2245	1.2233	1.23
-322.9	1.2273	1.224	1.2227	1.2308
-322.8	1.2271	1.2234	1.2221	1.2309
-322.7	1.2263	1.2228	1.2215	1.2301
-322.6	1.2251	1.2221	1.2209	1.2285
-322.5	1.2235	1.2213	1.2202	1.2261
-322.4	1.2215	1.2204	1.2196	1.2226
-322.3	1.2195	1.2196	1.2189	1.2188
-322.2	1.2174	1.2187	1.2183	1.2153
-322.1	1.2156	1.2178	1.2176	1.2124
-322	1.214	1.217	1.2169	1.2104
-321.9	1.2128	1.2162	1.2162	1.2092
-321.8	1.2121	1.2154	1.2155	1.209
-321.7	1.2117	1.2147	1.2149	1.2096
-321.6	1.2117	1.214	1.2142	1.2108
-321.5	1.212	1.2134	1.2135	1.2123
-321.4	1.2123	1.2127	1.2128	1.213
-321.3	1.2127	1.2121	1.2121	1.2135
-321.2	1.213	1.2115	1.2115	1.214
-321.1	1.2132	1.2108	1.2108	1.2143
-321	1.2131	1.2101	1.2101	1.2145
-320.9	1.2126	1.2094	1.2094	1.2143
-320.8	1.2119	1.2086	1.2087	1.2139
