Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_mitWandwärmeverlust	p_Reale Ladung	p_Verbrennungslage	p_HC_CO	p_adiabat	Kurbelwinkel-LW [°KW]	Brennraumvolumen-LW [m3]	LWAideal	LWA
-161.7	 2.7677365553611347E-4	 4.828709280850248E-4	 46632.75590203985	 46417.86556493293	 46417.86556493293	 46417.86556493293	 46642.00511998267	 145.3	 4.595657658557126E-4	 159012.91696328405	 159004.96960371296	 
-161.6	 2.851607360069048E-4	 4.827853680873464E-4	 46669.61938536893	 46428.65038503056	 46428.65038503056	 46428.65038503056	 46679.2324430259	 145.39999999999998	 4.597385230825236E-4	 158914.89251741706	 158907.2639071409	 
-161.5	 2.935478164776961E-4	 4.826993173205296E-4	 46691.14335371844	 46439.50182576338	 46439.50182576338	 46439.50182576338	 46701.122402293964	 145.5	 4.5991079547331136E-4	 158816.48966089767	 158809.1914913692	 
-161.4	 3.019348969484874E-4	 4.826127757584637E-4	 46742.94967968369	 46450.419969076895	 46450.419969076895	 46450.419969076895	 46753.29828587195	 145.60000000000002	 4.6008258297587244E-4	 158717.70962207462	 158710.7537286641	 
-161.3	 3.103219774192787E-4	 4.8252574337510944E-4	 46794.82396405332	 46461.40489744074	 46461.40489744074	 46461.40489744074	 46805.548808389685	 145.7	 4.602538855386985E-4	 158618.5536314467	 158611.95198584656	 
-161.2	 3.1870905789007004E-4	 4.824382201445016E-4	 46817.32090601444	 46472.45669384984	 46472.45669384984	 46472.45669384984	 46828.42891910608	 145.8	 4.6042470311097284E-4	 158519.02292167346	 158512.78761489366	 
-161.1	 3.2709613836086137E-4	 4.8235020604075226E-4	 46810.59375003523	 46483.57544182549	 46483.57544182549	 46483.57544182549	 46822.08605332741	 145.89999999999998	 4.605950356425647E-4	 158419.1187275857	 158413.26197914657	 
-161.0	 3.354832188316527E-4	 4.8226170103805237E-4	 46850.140272349774	 46494.761225416536	 46494.761225416536	 46494.761225416536	 46862.01414358477	 146.0	 4.6076488308402486E-4	 158318.84228619633	 158313.37642549304	 
-160.9	 3.43870299302444E-4	 4.821727051106755E-4	 46936.117664997	 46506.014129200514	 46506.014129200514	 46506.014129200514	 46948.379635792306	 146.10000000000002	 4.609342453865805E-4	 158218.19483671087	 158213.13229607887	 
-160.8	 3.522573797732353E-4	 4.820832182329806E-4	 46965.59142533274	 46517.334238284784	 46517.334238284784	 46517.334238284784	 46978.25419506148	 146.2	 4.611031225021303E-4	 158117.1776205463	 158112.53095628496	 
