Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_mitWandwärmeverlust [Pa]	p_Reale Ladung [Pa]	p_Verbrennungslage [Pa]	p_HC_CO [Pa]	p_realer Brennverlauf [Pa]
-159.7	 4.445152649519398E-4	 4.8106645261723936E-4	 46401.42032923713	 46634.615573492825	 46634.615573492825	 46634.615573492825	 46418.97515118908	 
-159.6	 4.5290234542273114E-4	 4.8097107237041143E-4	 46321.319492479626	 46646.74291190406	 46646.74291190406	 46646.74291190406	 46339.19484805844	 
-159.5	 4.612894258935224E-4	 4.8087520084892795E-4	 46270.51146781839	 46658.93857889377	 46658.93857889377	 46658.93857889377	 46288.6942106602	 
-159.4	 4.6967650636431374E-4	 4.80778838028632E-4	 46176.30557706768	 46671.20266710547	 46671.20266710547	 46671.20266710547	 46194.788836228356	 
-159.3	 4.7806358683510507E-4	 4.8068198388549445E-4	 46076.73723099208	 46683.535269730804	 46683.535269730804	 46683.535269730804	 46095.50354186615	 
-159.2	 4.864506673058964E-4	 4.8058463839561664E-4	 46015.28749968044	 46695.93648051083	 46695.93648051083	 46695.93648051083	 46034.32059875902	 
-159.1	 4.948377477766877E-4	 4.80486801535234E-4	 45953.85529496581	 46708.406393737285	 46708.406393737285	 46708.406393737285	 45973.14462066198	 
-159.0	 5.03224828247479E-4	 4.8038847328071816E-4	 45892.44039204434	 46720.94510425392	 46720.94510425392	 46720.94510425392	 45911.975372975525	 
-158.9	 5.116119087182704E-4	 4.802896536085805E-4	 45831.04256590545	 46733.552707457784	 46733.552707457784	 46733.552707457784	 45850.81262080838	 
-158.8	 5.199989891890616E-4	 4.801903424954753E-4	 45769.661591328215	 46746.22929930054	 46746.22929930054	 46746.22929930054	 45789.65612897355	 
-158.7	 5.28386069659853E-4	 4.8009053991820245E-4	 45735.84249241663	 46758.97497628979	 46758.97497628979	 46758.97497628979	 45756.04935820938	 
-158.6	 5.367731501306443E-4	 4.799902458537105E-4	 45729.618090671815	 46771.789835490425	 46771.789835490425	 46771.789835490425	 45750.0306799352	 
-158.5	 5.451602306014356E-4	 4.7988946027910015E-4	 45723.45359623957	 46784.673974525926	 46784.673974525926	 46784.673974525926	 45744.06965221882	 
-158.4	 5.535473110722269E-4	 4.7978818317162656E-4	 45717.349031753016	 46797.62749157976	 46797.62749157976	 46797.62749157976	 45738.16629905292	 
-158.3	 5.619343915430182E-4	 4.796864145087035E-4	 45744.29097737425	 46810.650485396705	 46810.650485396705	 46810.650485396705	 45765.305316704485	 
-158.2	 5.703214720138096E-4	 4.795841542679054E-4	 45804.452090183724	 46823.74305528422	 46823.74305528422	 46823.74305528422	 45825.666074551475	 
-158.1	 5.787085524846009E-4	 4.7948140242697133E-4	 45864.685229319104	 46836.905301113824	 46836.905301113824	 46836.905301113824	 45886.10658763037	 
-158.0	 5.870956329553922E-4	 4.793781589638077E-4	 45924.990669945895	 46850.13732332247	 46850.13732332247	 46850.13732332247	 45946.627136649644	 
-157.9	 5.954827134261835E-4	 4.7927442385649127E-4	 46032.23478474604	 46863.43922291396	 46863.43922291396	 46863.43922291396	 46054.09138572951	 
-157.8	 6.038697938969748E-4	 4.7917019708327294E-4	 46186.379429802924	 46876.81110146031	 46876.81110146031	 46876.81110146031	 46208.47059067708	 
-157.7	 6.122568743677662E-4	 4.7906547862258024E-4	 46340.54554241738	 46890.253061103176	 46890.253061103176	 46890.253061103176	 46362.89312094415	 
-157.6	 6.206439548385574E-4	 4.7896026845302116E-4	 46452.07334141445	 46903.76520455527	 46903.76520455527	 46903.76520455527	 46474.70180290562	 
-157.5	 6.290310353093488E-4	 4.788545665533869E-4	 46521.00030503999	 46917.34763510178	 46917.34763510178	 46917.34763510178	 46543.92557234561	 
-157.4	 6.374181157801401E-4	 4.7874837290265513E-4	 46650.24535397846	 46931.00045660182	 46931.00045660182	 46931.00045660182	 46673.472587322016	 
-157.3	 6.458051962509314E-4	 4.7864168747999375E-4	 46839.742892578506	 46944.72377348984	 46944.72377348984	 46944.72377348984	 46863.28931481109	 
-157.2	 6.541922767217227E-4	 4.7853451026476346E-4	 46975.98534308874	 46958.5176907771	 46958.5176907771	 46958.5176907771	 46999.881657661375	 
-157.1	 6.62579357192514E-4	 4.7842684123652147E-4	 47059.03640223309	 46972.382314053146	 46972.382314053146	 46972.382314053146	 47083.30265817136	 
-157.0	 6.709664376633054E-4	 4.7831868037502475E-4	 47168.81578066269	 46986.31774948723	 46986.31774948723	 46986.31774948723	 47193.461225608364	 
-156.9	 6.793535181340967E-4	 4.7821002766023317E-4	 47275.31577235055	 47000.32410382983	 47000.32410382983	 47000.32410382983	 47300.35714837582	 
-156.8	 6.87740598604888E-4	 4.7810088307231305E-4	 47351.89503803099	 47014.40148441412	 47014.40148441412	 47014.40148441412	 47377.34766610692	 
-156.7	 6.961276790756793E-4	 4.7799124659164027E-4	 47399.205298640205	 47028.54999915746	 47028.54999915746	 47028.54999915746	 47425.08155394861	 
-156.6	 7.045147595464706E-4	 4.7788111819880365E-4	 47417.24470618256	 47042.76975656292	 47042.76975656292	 47042.76975656292	 47443.551123520054	 
-156.5	 7.12901840017262E-4	 4.7777049787460886E-4	 47435.35668158088	 47057.06086572076	 47057.06086572076	 47057.06086572076	 47462.09461291865	 
-156.4	 7.212889204880532E-4	 4.776593856000804E-4	 47415.20855271928	 47071.42343630999	 47071.42343630999	 47071.42343630999	 47442.382819017614	 
-156.3	 7.296760009588446E-4	 4.7754778135646704E-4	 47356.79626038929	 47085.85757859986	 47085.85757859986	 47085.85757859986	 47384.40402647557	 
-156.2	 7.380630814296359E-4	 4.774356851252433E-4	 47298.40209559061	 47100.36340345145	 47100.36340345145	 47100.36340345145	 47326.43315114781	 
