Kurbelwinkel [°KW]	pZyl_mess [bar]	pZyl_berech [bar]	pSaug [bar]	pAbg [bar]	T [K]	dQw [J/s]	V [m3]	m [kg]	R [J/kg/K]	mK [kg]	V_motor [m^3]	dm [kg/s]	Hub_E [m]	Hub_A [m]	alpha_E_vor	alpha_E_rück	alpha_A_vor	alpha_A_rück	T_Saug [K]	H_Massenbruch	O_Massenbruch	N_Massenbruch	H2_Massenbruch	OH_Massenbruch	CO_Massenbruch	NO_Massenbruch	O2_Massenbruch	H2O_Massenbruch	CO2_Massenbruch	N2_Massenbruch	RON_95_Massenbruch	AGR_intern_LWA_Massenbruch	AGR_extern_LWA_Massenbruch	feuchteLuft_LWA_Massenbruch
143.26	 1.594472376827023	 1.6100726151601572	 0.4169236083810072	 1.00637527106598	 1798.3637318837425	 0.0	 4.5576590823286317E-4	 1.4866215064122728E-4	 274.479145515175	 1.4866215064122728E-4	 4.559357803679441E-4	 -9.601630466226684E-4	 0.0	 6.864318936000104E-5	 0.0	 0.0	 0.0011901172207489498	 0.0012908988767945456	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.35000000000002	 1.5929686382915536	 1.609244988255567	 0.41686605570366164	 1.0065166723016776	 1798.177481788432	 0.0	 4.5593030176929494E-4	 1.4865472382986103E-4	 274.479145515175	 1.4865472382986103E-4	 4.561001739043759E-4	 -0.0010076181150282533	 0.0	 7.207927560000134E-5	 0.0	 0.0	 0.0012496911631069627	 0.0013555176672257819	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.44	 1.591518539298419	 1.6084149201497966	 0.41680051327803225	 1.0066654075419523	 1797.9906029705185	 0.0	 4.560943035861917E-4	 1.4864693904254335E-4	 274.479145515175	 1.4864693904254335E-4	 4.5626417572127266E-4	 -0.0010550107942818626	 0.0	 7.551536184000006E-5	 0.0	 0.0	 0.0013092651054649482	 0.0014201364576569885	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.52999999999997	 1.5900670555455587	 1.6075824188955705	 0.41672563671052654	 1.0068147879080853	 1797.8030964677348	 0.0	 4.5625791363427463E-4	 1.4863879675646295E-4	 274.479145515175	 1.4863879675646295E-4	 4.5642778576935553E-4	 -0.0011023420594385555	 0.0	 7.895144808000036E-5	 0.0	 0.0	 0.001368839047822961	 0.0014847552480882248	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.62	 1.5885563431428127	 1.6067474920079519	 0.41664730732837557	 1.006947043239893	 1797.6149631962446	 0.0	 4.5642113186478833E-4	 1.4863029741102475E-4	 274.479145515175	 1.4863029741102475E-4	 4.565910039998694E-4	 -0.0011496160080392314	 0.0	 8.238753432000066E-5	 0.0	 0.0	 0.0014284129901809739	 0.0015493740385194613	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.71000000000004	 1.5868161993441854	 1.6059101469166908	 0.4165701726830667	 1.0070653856655225	 1797.4262040523936	 0.0	 4.5658395822949845E-4	 1.4862144144118462E-4	 274.479145515175	 1.4862144144118462E-4	 4.567538303645796E-4	 -0.0011968320298649646	 0.0	 8.582362056000096E-5	 0.0	 0.0	 0.0014879869325389867	 0.0016139928289506977	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.8	 1.5851340989322875	 1.605070391145569	 0.41649130879290647	 1.007175651935545	 1797.2368199531375	 0.0	 4.567463926806884E-4	 1.48612229290691E-4	 274.479145515175	 1.48612229290691E-4	 4.569162648157694E-4	 -0.0012439886400121493	 0.0	 8.925970679999969E-5	 0.0	 0.0	 0.0015475608748969725	 0.0016786116193819045	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.89	 1.5840277971016228	 1.6042282321481907	 0.4164174927288332	 1.0072695134916094	 1797.0468117990422	 0.0	 4.5690843517115644E-4	 1.4860266139995017E-4	 274.479145515175	 1.4860266139995017E-4	 4.570783073062374E-4	 -0.0012910881823007044	 0.0	 9.269579304E-5	 0.0	 0.0	 0.0016071348172549853	 0.0017432304098131408	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.98000000000002	 1.5831070106943002	 1.6033836771642997	 0.4163537973054922	 1.0073421594870327	 1796.8561804418305	 0.0	 4.5707008565421274E-4	 1.485927381953772E-4	 274.479145515175	 1.485927381953772E-4	 4.5723995778929375E-4	 -0.0013381323553701347	 0.0	 9.61318792800003E-5	 0.0	 0.0	 0.0016667087596129984	 0.0018078492002443771	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.07	 1.5822055452938428	 1.602536733320342	 0.41629576943363866	 1.007397106260488	 1796.6649267070009	 0.0	 4.572313440836763E-4	 1.485824600968012E-4	 274.479145515175	 1.485824600968012E-4	 4.5740121621875733E-4	 -0.0013851204848291223	 0.0	 9.956796545000059E-5	 0.0	 0.0	 0.0017262827007573699	 0.0018724679893591986	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.15999999999997	 1.5816314750421263	 1.601687407839228	 0.41624883639016047	 1.0074419344984742	 1796.473051441187	 0.0	 4.5739221041387197E-4	 1.4857182753297982E-4	 274.479145515175	 1.4857182753297982E-4	 4.575620825489529E-4	 -0.0014320504028427995	 0.0	 1.030040515999993E-4	 0.0	 0.0	 0.0017858566415549593	 0.0019370867780978715	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.25	 1.5812831140352612	 1.6008357080842963	 0.4162076463215106	 1.0074736398073987	 1796.2805555221541	 0.0	 4.5755268459962765E-4	 1.485608409448695E-4	 274.479145515175	 1.485608409448695E-4	 4.577225567347087E-4	 -0.0014789231670903182	 0.0	 1.064401377499996E-4	 0.0	 0.0	 0.0018454305823525764	 0.0020017055668365745	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.33999999999997	 1.5809325181542544	 1.5999816411309389	 0.41617020526887893	 1.0074868942238744	 1796.087439762004	 0.0	 4.577127665962711E-4	 1.4854950075388588E-4	 274.479145515175	 1.4854950075388588E-4	 4.57882638731352E-4	 -0.0015257408127951565	 0.0	 1.098762238999999E-4	 0.0	 0.0	 0.0019050045231501934	 0.002066324355575277	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.43	 1.5806433813121494	 1.5991252139272412	 0.41613846856407344	 1.0074927050247895	 1795.8937049433894	 0.0	 4.578724563596272E-4	 1.4853780737376633E-4	 274.479145515175	 1.485378073737663E-4	 4.580423284947082E-4	 -0.001572499684535321	 0.0	 1.133123100500002E-4	 0.0	 0.0	 0.0019645784639478105	 0.0021309431443139798	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.52000000000004	 1.5805531482686712	 1.5982664343932373	 0.41611089195080114	 1.00750781266781	 1795.699352068295	 0.0	 4.5803175384601477E-4	 1.4852576129211658E-4	 274.479145515175	 1.4852576129211658E-4	 4.5820162598109583E-4	 -0.0016191934019855266	 0.0	 1.167483962000005E-4	 0.0	 0.0	 0.0020241524047454273	 0.002195561933052683	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.61	 1.5802941822274807	 1.59740531011864	 0.4160851670537761	 1.0075167573360027	 1795.504382063623	 0.0	 4.581906590122438E-4	 1.4851336297388933E-4	 274.479145515175	 1.485133629738893E-4	 4.5836053114732485E-4	 -0.0016658273202882334	 0.0	 1.2018448234999923E-4	 0.0	 0.0	 0.002083726345543017	 0.002260180721791356	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
