Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_Original [bar]	LWAideal [bar]	p_mitWandwärmeverlust [bar]	p_realer Brennverlauf [bar]	p_HC_CO [bar]	p_Verbrennungslage [bar]	p_Reale Ladung [bar]	p_Gleichraumprozess [bar] 
-291.0	 -0.01273821714913705	 2.116105971411171E-4	 0.8330855428006481	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-290.0	 -0.012654960827900859	 2.156554412789495E-4	 0.8367015554676458	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-289.0	 -0.01257170450666467	 2.1970866659480227E-4	 0.8403047897740945	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-288.0	 -0.01248844818542848	 2.2376867986331165E-4	 0.8438466233878168	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-287.0	 -0.01240519186419229	 2.278339006613146E-4	 0.8472359633515277	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-286.0	 -0.0123219355429561	 2.3190276237441913E-4	 0.850360312320682	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-285.0	 -0.01223867922171991	 2.3597371317887538E-4	 0.8533619452746667	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-284.0	 -0.012155422900483721	 2.4004521699725302E-4	 0.8566273663533484	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-283.0	 -0.01207216657924753	 2.4411575442647514E-4	 0.8602524882731943	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-282.0	 -0.01198891025801134	 2.4818382363681036E-4	 0.8638460204519789	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-281.0	 -0.011905653936775151	 2.52247941240472E-4	 0.8670179132773065	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-280.0	 -0.011822397615538962	 2.563066431285417E-4	 0.8699083287481949	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-279.0	 -0.011739141294302771	 2.6035848527499155E-4	 0.8728384913739605	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-278.0	 -0.01165588497306658	 2.6440204450665385E-4	 0.8759335598549135	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-277.0	 -0.011572628651830391	 2.684359192380585E-4	 0.8790528502062237	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-276.0	 -0.011489372330594202	 2.7245873017013594E-4	 0.8819361589642579	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-275.0	 -0.011406116009358012	 2.764691209518687E-4	 0.884466343163495	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-274.0	 -0.011322859688121821	 2.8046575880405814E-4	 0.8868048367475277	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-273.0	 -0.011239603366885632	 2.8444733510446307E-4	 0.8891070838529214	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-272.0	 -0.011156347045649443	 2.884125659336572E-4	 0.8913267493650417	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-271.0	 -0.011073090724413252	 2.923601925810526E-4	 0.8934152095332741	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-270.0	 -0.010989834403177062	 2.962889820106251E-4	 0.8954857290450695	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-269.0	 -0.010906578081940873	 3.0019772728598554E-4	 0.8977655002804379	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-268.0	 -0.010823321760704684	 3.040852479545285E-4	 0.9002598961240811	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-267.0	 -0.010740065439468493	 3.079503903905041E-4	 0.9026843260102724	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-266.0	 -0.010656809118232302	 3.1179202809694965E-4	 0.9048569374237591	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-265.0	 -0.010573552796996113	 3.156090619665195E-4	 0.906832062147492	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-264.0	 -0.010490296475759922	 3.1940042050135597E-4	 0.9087541559954225	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-263.0	 -0.010407040154523733	 3.2316505999223865E-4	 0.9106836417945318	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
