Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	T_Zone_1 [K]	T_mittel [K]	T_BurnAdiabat [K]	p_soll [bar]	p [bar]	dQh [J/s]	dQh [J/KW]	Qh [J]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	dmL [kg/s]	dmL [kg/KW]	mL [kg]	Hu Zone [J/kg]	Hu frischGemsich [J/kg]	Phi_Delay [°KW]	Alpha [W/(m^2K)]	pSchleppWHT [bar]	WSD [MW/m^2]	WSD Kolben [MW/m^2]	WSD Head [MW/m^2]	WSD Liner [MW/m^2]	dQw Kolben [J/s]	dQw Head [J/s]	dQw Liner [J/s]	Qw Kolben [J]	Qw Head [J]	Qw Liner [J]	Brennraumfläche [m^2]	Zonenmasse [kg]	ZonenKontrollmasse [kg]	 cv[J/kg]	 cp [J/kg]	 kappa [-]	 U [J]	H_Massenbruch [kg]	O_Massenbruch [kg]	N_Massenbruch [kg]	H2_Massenbruch [kg]	OH_Massenbruch [kg]	CO_Massenbruch [kg]	NO_Massenbruch [kg]	O2_Massenbruch [kg]	H2O_Massenbruch [kg]	CO2_Massenbruch [kg]	N2_Massenbruch [kg]	RON_98_Massenbruch [kg]	AGR_intern_LWA_Massenbruch [kg]	AGR_extern_LWA_Massenbruch [kg]	feuchteLuft_LWA_Massenbruch [kg]
-128.0	 8.325632123618987E-4	 4.247195318738854E-4	 413.86380260337876	 413.86380260337876	 1078.8559654769256	 1.274844348738773	 1.2748452702736768	 -384.40448396586413	 -0.03200410320169378	 0.041827371554799375	 -330.38971019440515	 -0.02750703184507707	 0.0792015376673301	 0.0	 0.0	 0.0	 54.01477377145899	 0.004497071356616713	 0.03737416611253072	 0.0	 2.2824940892135425E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.9349392964254106	 750926.4544844769	 0.0	 80.98091853828788	 1.2828687998781367	 0.0016786308540443708	 -0.0012332109533277054	 5.894972360649614E-4	 0.0029891139426175377	 -6.672423516184416	 4.746995464589721	 55.94018464929139	 -0.007552193731910898	 0.0018807353515413717	 0.045778078179645916	 0.03217786475660058	 4.5401528248909835E-4	 4.5401528248909835E-4	 736.0071677872468	 1024.1659069156558	 1.3915162130753942	 -28.93838872084315	 1.1028089782039707E-10	 2.3425937563022038E-7	 2.163896881684596E-14	 3.1128335255739374E-9	 4.931674139748809E-6	 1.5090653282525834E-7	 1.2697940628291667E-4	 0.22718365887621944	 0.0016150355893250628	 0.004579305556047067	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
-127.0	 9.158195335980886E-4	 4.22188731962874E-4	 414.83091752113114	 414.83091752113114	 1079.6971546214381	 1.2854849106058719	 1.2854842087845393	 -10.61712374235615	 -8.839426648979819E-4	 0.04094342888990139	 45.84874485016218	 0.0038171978295212083	 0.0830187354968513	 0.0	 0.0	 0.0	 56.465868592518326	 0.00470114049441919	 0.042075306606949914	 0.0	 2.392501189326131E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.9349392964254106	 750926.4544844769	 0.0	 81.42087972658796	 1.2934117435872223	 0.0017614808198189523	 -0.0011611675170454785	 6.714432626783949E-4	 0.00308409684553141	 -6.282624579401436	 5.406875431579507	 57.34159951028781	 -0.008075261942099926	 0.002330891909357018	 0.05055212880867139	 0.03205589849582895	 4.5401528248909835E-4	 4.5401528248909835E-4	 736.1432005397068	 1024.301939668116	 1.3914438643420792	 -28.615189204712145	 1.1028089782039707E-10	 2.3425937563022038E-7	 2.163896881684596E-14	 3.1128335255739374E-9	 4.9316741397488085E-6	 1.5090653282525834E-7	 1.2697940628291667E-4	 0.22718365887621944	 0.0016150355893250624	 0.004579305556047067	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
-126.0	 9.990758548342785E-4	 4.196112244275107E-4	 415.9243701474339	 415.9243701474339	 1080.6481989825718	 1.2967901045692887	 1.2967896560990166	 391.41064123043196	 0.03258741008154391	 0.0735308389714453	 450.6694929940752	 0.03752108408006554	 0.12053981957691685	 0.0	 0.0	 0.0	 59.25885176364322	 0.004933673998521636	 0.047008980605471554	 0.0	 3.4738141935427186E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.9349392964254106	 750926.4544844769	 0.0	 81.88128992755135	 1.3043043035553918	 0.0018558005730661925	 -0.001078200253104043	 7.647733807208139E-4	 0.0031910697825247728	 -5.833721071447266	 6.158427126739898	 58.934126335649296	 -0.008560956097626669	 0.0028436198965305407	 0.055458767362646405	 0.03193168126520903	 4.5401528248909835E-4	 4.5401528248909835E-4	 736.2977009358724	 1024.4564400642814	 1.3913617260547526	 -28.24969686037601	 1.1028089782039707E-10	 2.3425937563022038E-7	 2.163896881684596E-14	 3.1128335255739374E-9	 4.9316741397488085E-6	 1.5090653282525834E-7	 1.2697940628291667E-4	 0.22718365887621944	 0.001615035589325062	 0.004579305556047067	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
-125.0	 0.0010823321760704684	 4.1698727292184735E-4	 417.08148396905887	 417.08148396905887	 1081.6546566611482	 1.3085808752109058	 1.308580297718537	 539.4953929579682	 0.044916401741553084	 0.11844724071299838	 601.7243995138346	 0.05009735990157726	 0.1706371794784941	 0.0	 0.0	 0.0	 62.22900655586636	 0.005180958160024175	 0.05218993876549573	 0.0	 4.917560504893952E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.9349392964254106	 750926.4544844769	 0.0	 82.3580881841696	 1.3155571977736846	 0.0019565648043000203	 -9.89180977175531E-4	 8.645243710175118E-4	 0.003304949200639875	 -5.3520724869156995	 6.961683646969923	 60.619374176222465	 -0.009006549963876696	 0.0034232240665873987	 0.060505713452198774	 0.03180522577096019	 4.5401528248909835E-4	 4.5401528248909835E-4	 736.462000270101	 1024.62073939851	 1.391274416090342	 -27.862841687080152	 1.1028089782039707E-10	 2.3425937563022038E-7	 2.163896881684596E-14	 3.1128335255739374E-9	 4.9316741397488085E-6	 1.5090653282525834E-7	 1.2697940628291667E-4	 0.22718365887621944	 0.0016150355893250615	 0.004579305556047067	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
-124.0	 0.0011655884973066583	 4.1431715917825205E-4	 418.2148025423299	 418.2148025423299	 1082.6405324890115	 1.3205926717142968	 1.3205922588258245	 334.5837147956596	 0.027856209239425167	 0.14630344995242353	 399.72721592656717	 0.03327981749603011	 0.2039169969745242	 0.0	 0.0	 0.0	 65.1435011309076	 0.00542360825660494	 0.05761354702210067	 0.0	 5.876645252008999E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.9349392964254106	 750926.4544844769	 0.0	 82.8453533713459	 1.3271816106527294	 0.002056520871718029	 -9.011432113741231E-4	 9.635294395255722E-4	 0.003418392851776717	 -4.875734470892945	 7.758933544724095	 62.260278077054316	 -0.009412485679247724	 0.004069204330237197	 0.06568927516403651	 0.03167654559054596	 4.5401528248909835E-4	 4.5401528248909835E-4	 736.6237201455639	 1024.782459273973	 1.3911885149061805	 -27.48385804669895	 1.1028089782039707E-10	 2.3425937563022038E-7	 2.163896881684596E-14	 3.1128335255739374E-9	 4.9316741397488085E-6	 1.5090653282525834E-7	 1.2697940628291667E-4	 0.22718365887621944	 0.0016150355893250613	 0.004579305556047067	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
-123.0	 0.0012488448185428481	 4.1160118361321105E-4	 419.3042633609934	 419.30426336099345	 1083.5883842449862	 1.3327695913250637	 1.3327691461637752	 47.56238559772382	 0.003959869254083624	 0.15026331920650715	 115.5104986938189	 0.009616979185405076	 0.21353397615992928	 0.0	 0.0	 0.0	 67.94811309609508	 0.005657109931321452	 0.06327065695342213	 0.0	 6.153795150777078E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.9349392964254106	 750926.4544844769	 0.0	 83.34190458560163	 1.3391892144929516	 0.0021539602078041336	 -8.157466649336123E-4	 0.001060102297386271	 0.0035296794546886487	 -4.413687062756452	 8.536597781671743	 63.82517531502064	 -0.00977995302718059	 0.004779930057412205	 0.07100312446302001	 0.031545655201869284	 4.5401528248909835E-4	 4.5401528248909835E-4	 736.7799254130806	 1024.9386645414897	 1.3911055787341802	 -27.119461882852498	 1.1028089782039707E-10	 2.3425937563022038E-7	 2.163896881684596E-14	 3.1128335255739374E-9	 4.9316741397488085E-6	 1.5090653282525834E-7	 1.2697940628291667E-4	 0.22718365887621944	 0.001615035589325061	 0.004579305556047067	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
-122.0	 0.001332101139779038	 4.088396659284729E-4	 420.3687065909043	 420.36870659090437	 1084.514580260733	 1.3451784862285927	 1.34517758104746	 -165.35540585961076	 -0.013766882788388305	 0.13649643641811884	 -94.66250986329592	 -0.007881252330202558	 0.2056527238297267	 0.0	 0.0	 0.0	 70.69289599631483	 0.005885630458185748	 0.06915628741160787	 0.0	 5.92666683497535E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.9349392964254106	 750926.4544844769	 0.0	 83.84936084163121	 1.3515921921468836	 0.0022504642513113066	 -7.31460738558239E-4	 0.0011558099844716856	 0.003640424023693815	 -3.957648786650593	 9.307295129726432	 65.3432195112914	 -0.01010945230590199	 0.005554821210572734	 0.07644336053725896	 0.031412570012243346	 4.5401528248909835E-4	 4.540152824890983E-4	 736.933246053478	 1025.0919851818871	 1.3910242083276805	 -26.76335865421611	 1.1028089782039707E-10	 2.3425937563022038E-7	 2.163896881684596E-14	 3.1128335255739374E-9	 4.9316741397488085E-6	 1.5090653282525834E-7	 1.2697940628291667E-4	 0.22718365887621944	 0.0016150355893250609	 0.004579305556047067	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
-121.0	 0.0014153574610152278	 4.060329457062269E-4	 421.41399462379616	 421.41399462379616	 1085.4242146256129	 1.3578436061032593	 1.3578442169151073	 -356.39494962529466	 -0.029672132412959237	 0.10682430400515959	 -283.0015665458273	 -0.02356166933468436	 0.18209105449504234	 0.0	 0.0	 0.0	 73.39338307946737	 0.006110463078274877	 0.07526675048988275	 0.0	 5.247647556153892E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.9349392964254106	 750926.4544844769	 0.0	 84.36843130980824	 1.3644032609453003	 0.0023465367775150634	 -6.477995433808116E-4	 0.0012511543515653569	 0.0037511494236258176	 -3.504990687411653	 10.07506680103917	 66.82327362525045	 -0.010401264936502988	 0.006393634208636124	 0.08200682047225663	 0.03127730638707487	 4.5401528248909835E-4	 4.5401528248909835E-4	 737.0844815316722	 1025.243220660081	 1.3909439777237083	 -26.413591415532462	 1.1028089782039707E-10	 2.3425937563022038E-7	 2.163896881684596E-14	 3.1128335255739374E-9	 4.9316741397488085E-6	 1.5090653282525834E-7	 1.2697940628291667E-4	 0.22718365887621944	 0.0016150355893250604	 0.004579305556047067	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
-120.0	 0.0014986137822514177	 4.03181382996967E-4	 422.4483003314339	 422.4483003314339	 1086.3243871398672	 1.370804617681707	 1.3708040025112092	 -516.3471820770445	 -0.04298916686040784	 0.06383513714475175	 -440.27564004419077	 -0.036655730119988246	 0.1454353243750541	 0.0	 0.0	 0.0	 76.0715420328538	 0.006333436740419596	 0.08160018723030235	 0.0	 4.191273023551962E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.9349392964254106	 750926.4544844769	 0.0	 84.90001356934658	 1.3776356979637128	 0.0024428964171554737	 -5.640685813548597E-4	 0.0013468500993122597	 0.003862596952087483	 -3.0519551069644177	 10.845668006173591	 68.27779248309848	 -0.010655359491286848	 0.007296604628179179	 0.08769137829652739	 0.031139881678194876	 4.5401528248909835E-4	 4.5401528248909835E-4	 737.234783779915	 1025.393522908324	 1.3908642748121234	 -26.067428208281612	 1.1028089782039707E-10	 2.3425937563022038E-7	 2.163896881684596E-14	 3.1128335255739374E-9	 4.9316741397488085E-6	 1.5090653282525834E-7	 1.2697940628291667E-4	 0.22718365887621944	 0.0016150355893250598	 0.004579305556047067	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
-119.0	 0.0015818701034876076	 4.0028535889866584E-4	 423.52574169841205	 423.52574169841205	 1087.2621484245708	 1.38424212779225	 1.384243118820338	 -460.87342043596647	 -0.038370625541038414	 0.02546451160371334	 -381.9989955727797	 -0.03180383108730921	 0.11363149328774488	 0.0	 0.0	 0.0	 78.87442486318677	 0.006566794453729199	 0.08816698168403155	 0.0	 3.274724448749825E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.9349392964254106	 750926.4544844769	 0.0	 85.4484319308981	 1.3913033667108676	 0.0025443092122780894	 -4.7564655172338836E-4	 0.0014476158595021916	 0.003979613378314711	 -2.5735379892200823	 11.65709607969696	 69.79082704381914	 -0.010869622796830894	 0.008267131564071559	 0.09350190581222696	 0.031000314251770723	 4.5401528248909835E-4	 4.5401528248909835E-4	 737.3920463191472	 1025.5507854475563	 1.3907809157514188	 -25.70675306033097	 1.1028089782039707E-10	 2.3425937563022038E-7	 2.163896881684596E-14	 3.1128335255739374E-9	 4.9316741397488085E-6	 1.5090653282525834E-7	 1.2697940628291667E-4	 0.22718365887621944	 0.0016150355893250596	 0.004579305556047067	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
