Kurbelwinkel	V_alpha_aus_DEWE	Pm_Zyl	Pm_Saug	Pm_Saug_alt	P_Abg	V_alpha	
[KWnZOT]	[m^3]	[bar]	[bar]	[bar]	[bar]	[m^3]	
34.300000	0.000090	16.796549	0.947292	0.929016	1.053059	0.000091	
34.400000	0.000091	16.725449	0.947281	0.928846	1.053153	0.000091	
34.500000	0.000091	16.654697	0.947272	0.928678	1.053248	0.000091	
34.600000	0.000091	16.584292	0.947267	0.928510	1.053345	0.000092	
34.700000	0.000091	16.514231	0.947264	0.928344	1.053444	0.000092	
34.800000	0.000092	16.444511	0.947264	0.928178	1.053543	0.000092	
34.900000	0.000092	16.375131	0.947267	0.928012	1.053643	0.000092	
35.000000	0.000092	16.306088	0.947272	0.927847	1.053744	0.000093	
35.100000	0.000092	16.237377	0.947279	0.927683	1.053846	0.000093	
35.200000	0.000093	16.168996	0.947288	0.927518	1.053947	0.000093	
35.300000	0.000093	16.100942	0.947299	0.927354	1.054049	0.000094	
35.400000	0.000093	16.033211	0.947312	0.927189	1.054152	0.000094	
35.500000	0.000094	15.965801	0.947326	0.927024	1.054254	0.000094	
35.600000	0.000094	15.898708	0.947342	0.926859	1.054356	0.000094	
35.700000	0.000094	15.831930	0.947358	0.926692	1.054458	0.000095	
35.800000	0.000094	15.765464	0.947376	0.926525	1.054560	0.000095	
35.900000	0.000095	15.699308	0.947394	0.926357	1.054661	0.000095	
36.000000	0.000095	15.633460	0.947413	0.926188	1.054761	0.000096	
36.100000	0.000095	15.567917	0.947432	0.926017	1.054861	0.000096	
36.200000	0.000096	15.502679	0.947452	0.925845	1.054960	0.000096	
36.300000	0.000096	15.437744	0.947471	0.925672	1.055058	0.000096	
36.400000	0.000096	15.373111	0.947491	0.925497	1.055155	0.000097	
36.500000	0.000096	15.308779	0.947511	0.925320	1.055251	0.000097	
36.600000	0.000097	15.244748	0.947530	0.925142	1.055346	0.000097	
36.700000	0.000097	15.181015	0.947549	0.924963	1.055439	0.000098	
36.800000	0.000097	15.117582	0.947567	0.924782	1.055531	0.000098	
36.900000	0.000098	15.054446	0.947585	0.924600	1.055622	0.000098	
37.000000	0.000098	14.991607	0.947602	0.924417	1.055711	0.000098	
37.100000	0.000098	14.929063	0.947618	0.924232	1.055799	0.000099	
37.200000	0.000098	14.866815	0.947633	0.924046	1.055885	0.000099	
37.300000	0.000099	14.804859	0.947648	0.923859	1.055969	0.000099	
37.400000	0.000099	14.743194	0.947661	0.923671	1.056052	0.000100	
37.500000	0.000099	14.681820	0.947672	0.923482	1.056134	0.000100	
37.600000	0.000100	14.620732	0.947683	0.923293	1.056214	0.000100	
37.700000	0.000100	14.559931	0.947692	0.923103	1.056293	0.000101	
37.800000	0.000100	14.499413	0.947700	0.922913	1.056371	0.000101	
37.900000	0.000101	14.439178	0.947706	0.922722	1.056447	0.000101	
38.000000	0.000101	14.379223	0.947711	0.922532	1.056523	0.000101	
38.100000	0.000101	14.319547	0.947714	0.922342	1.056598	0.000102	
38.200000	0.000101	14.260149	0.947716	0.922152	1.056672	0.000102	
38.300000	0.000102	14.201027	0.947716	0.921962	1.056746	0.000102	
38.400000	0.000102	14.142181	0.947715	0.921773	1.056819	0.000103	
38.500000	0.000102	14.083610	0.947712	0.921585	1.056891	0.000103	
38.600000	0.000103	14.025313	0.947708	0.921398	1.056963	0.000103	
38.700000	0.000103	13.967289	0.947702	0.921211	1.057034	0.000104	
38.800000	0.000103	13.909538	0.947694	0.921026	1.057105	0.000104	
38.900000	0.000104	13.852061	0.947685	0.920843	1.057176	0.000104	
39.000000	0.000104	13.794856	0.947674	0.920660	1.057246	0.000104	
39.100000	0.000104	13.737923	0.947661	0.920480	1.057315	0.000105	
39.200000	0.000104	13.681262	0.947647	0.920301	1.057384	0.000105	
39.300000	0.000105	13.624873	0.947632	0.920123	1.057452	0.000105	
39.400000	0.000105	13.568755	0.947614	0.919947	1.057519	0.000106	
39.500000	0.000105	13.512908	0.947596	0.919773	1.057586	0.000106	
39.600000	0.000106	13.457330	0.947575	0.919601	1.057651	0.000106	
39.700000	0.000106	13.402020	0.947554	0.919431	1.057716	0.000107	
39.800000	0.000106	13.346978	0.947530	0.919263	1.057780	0.000107	
39.900000	0.000107	13.292202	0.947506	0.919097	1.057842	0.000107	
40.000000	0.000107	13.237690	0.947480	0.918933	1.057903	0.000108	
40.100000	0.000107	13.183442	0.947452	0.918771	1.057964	0.000108	
40.200000	0.000108	13.129455	0.947424	0.918611	1.058023	0.000108	
40.300000	0.000108	13.075728	0.947394	0.918453	1.058081	0.000108	
40.400000	0.000108	13.022260	0.947363	0.918298	1.058137	0.000109	
40.500000	0.000108	12.969048	0.947331	0.918145	1.058193	0.000109	
40.600000	0.000109	12.916092	0.947298	0.917994	1.058248	0.000109	
40.700000	0.000109	12.863389	0.947264	0.917845	1.058303	0.000110	
40.800000	0.000109	12.810940	0.947229	0.917699	1.058356	0.000110	
40.900000	0.000110	12.758741	0.947193	0.917555	1.058410	0.000110	
41.000000	0.000110	12.706794	0.947157	0.917414	1.058463	0.000111	
41.100000	0.000110	12.655097	0.947119	0.917276	1.058516	0.000111	
41.200000	0.000111	12.603649	0.947081	0.917140	1.058569	0.000111	
41.300000	0.000111	12.552450	0.947042	0.917007	1.058623	0.000112	
41.400000	0.000111	12.501499	0.947003	0.916877	1.058677	0.000112	
41.500000	0.000112	12.450796	0.946962	0.916750	1.058731	0.000112	
41.600000	0.000112	12.400340	0.946922	0.916626	1.058787	0.000113	
41.700000	0.000112	12.350131	0.946880	0.916505	1.058843	0.000113	
41.800000	0.000113	12.300167	0.946838	0.916387	1.058899	0.000113	
41.900000	0.000113	12.250449	0.946795	0.916273	1.058957	0.000114	
42.000000	0.000113	12.200975	0.946751	0.916162	1.059015	0.000114	
42.100000	0.000114	12.151744	0.946707	0.916054	1.059075	0.000114	
42.200000	0.000114	12.102756	0.946662	0.915950	1.059135	0.000114	
42.300000	0.000114	12.054007	0.946616	0.915849	1.059195	0.000115	
42.400000	0.000114	12.005498	0.946570	0.915752	1.059257	0.000115	
42.500000	0.000115	11.957227	0.946523	0.915659	1.059319	0.000115	
42.600000	0.000115	11.909192	0.946475	0.915570	1.059381	0.000116	
42.700000	0.000115	11.861392	0.946426	0.915484	1.059444	0.000116	
42.800000	0.000116	11.813826	0.946376	0.915403	1.059507	0.000116	
42.900000	0.000116	11.766491	0.946326	0.915325	1.059570	0.000117	
43.000000	0.000116	11.719387	0.946275	0.915252	1.059634	0.000117	
43.100000	0.000117	11.672513	0.946223	0.915183	1.059697	0.000117	
43.200000	0.000117	11.625866	0.946169	0.915118	1.059760	0.000118	
43.300000	0.000117	11.579445	0.946115	0.915056	1.059823	0.000118	
43.400000	0.000118	11.533250	0.946060	0.914999	1.059886	0.000118	
43.500000	0.000118	11.487278	0.946004	0.914946	1.059949	0.000119	
43.600000	0.000118	11.441529	0.945946	0.914896	1.060011	0.000119	
43.700000	0.000119	11.396003	0.945888	0.914851	1.060072	0.000119	
43.800000	0.000119	11.350696	0.945828	0.914809	1.060134	0.000120	
43.900000	0.000119	11.305610	0.945766	0.914771	1.060194	0.000120	
44.000000	0.000120	11.260742	0.945704	0.914736	1.060255	0.000120	
44.100000	0.000120	11.216091	0.945639	0.914705	1.060315	0.000121	
44.200000	0.000120	11.171655	0.945574	0.914678	1.060375	0.000121	
44.300000	0.000121	11.127435	0.945506	0.914654	1.060434	0.000121	
44.400000	0.000121	11.083428	0.945438	0.914633	1.060494	0.000122	
44.500000	0.000121	11.039634	0.945367	0.914616	1.060553	0.000122	
44.600000	0.000122	10.996051	0.945295	0.914601	1.060613	0.000122	
