Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	T_Zone_1 [K]	T_mittel [K]	T_BurnAdiabat [K]	p_soll [bar]	p [bar]	dQh [J/s]	dQh [J/KW]	Qh [J]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	dmL [kg/s]	dmL [kg/KW]	mL [kg]	Hu Zone [J/kg]	Hu frischGemsich [J/kg]	Phi_Delay [°KW]	Alpha [W/(m^2K)]	pSchlepp [bar]	Brennraumfläche [m^2]	Zonenmasse [kg]	ZonenKontrollmasse [kg]	 cv[J/kg]	 cp [J/kg]	 kappa [-]	 U [J]	H_Massenbruch [kg]	O_Massenbruch [kg]	N_Massenbruch [kg]	H2_Massenbruch [kg]	OH_Massenbruch [kg]	CO_Massenbruch [kg]	NO_Massenbruch [kg]	O2_Massenbruch [kg]	H2O_Massenbruch [kg]	CO2_Massenbruch [kg]	N2_Massenbruch [kg]	RON_95_Massenbruch [kg]	AGR_intern_LWA_Massenbruch [kg]	AGR_extern_LWA_Massenbruch [kg]	feuchteLuft_LWA_Massenbruch [kg]
-115.0	 0.0012497891593190335	 3.8826503876985874E-4	 394.60588305688685	 394.60588305688685	 1068.644441257084	 1.3979077627991467	 1.3979062964558422	 634.0503093770188	 0.05282861354148517	 0.4003835592218863	 526.9161480883868	 0.04390227265006722	 0.23380684635372073	 0.0	 0.0	 0.0	 -107.13416128863211	 -0.008926340891417953	 -0.16657671286816553	 0.0	 6.336267193404426E-4	 368.9977698495669	 6.320073980813999E-6	 5.265839964877085E-10	 5.598023098069489E-9	 3.4486713139756953	 759404.474159528	 0.0	 117.30605028027769	 3.637290702025092	 0.02977262271544267	 4.773015032723226E-4	 4.773015032723226E-4	 733.4612073356597	 1021.6320188399773	 1.3928916875523858	 -37.46254135847856	 1.1180612286634086E-10	 2.3107558307596818E-7	 2.142077996637949E-14	 3.23088964146825E-9	 4.980264209783977E-6	 1.50989492881444E-7	 1.2520588063778636E-4	 0.22714679569182827	 0.0016697097822158517	 0.004563846451907475	 0.7664890416091558	 3.4912251937472904E-8	 0.0	 0.0	 0.0	 
-113.5	 0.001374768075250937	 3.8358160904919614E-4	 396.781916209504	 396.781916209504	 1070.5322904113373	 1.4227766817922816	 1.422774740342399	 808.723956129714	 0.06738229555016789	 0.5014570025471381	 708.8693502542429	 0.05906248195475199	 0.3224005692858487	 0.0	 0.0	 0.0	 -99.85460587547112	 -0.0083198135954159	 -0.17905643326128937	 0.0	 8.737195604658669E-4	 368.9977698495669	 6.6816699446492306E-6	 5.567119108646944E-10	 6.433090964366531E-9	 3.4486713139756953	 759404.4741595278	 0.0	 118.79763231617794	 3.644585663426937	 0.029546915259025194	 4.773006907207982E-4	 4.773006907207982E-4	 733.7416192213132	 1021.9124307256309	 1.3927415372868455	 -36.70054318705966	 1.1180612286634088E-10	 2.3107558307596816E-7	 2.142077996637949E-14	 3.2308896414682504E-9	 4.980264209783978E-6	 1.50989492881444E-7	 1.2520588063778633E-4	 0.22714679569182827	 0.0016697097822158517	 0.004563846451907475	 0.7664890416091558	 3.491225193747291E-8	 0.0	 0.0	 0.0	 
-112.0	 0.0014997469911828404	 3.788049606191895E-4	 398.6021061599839	 398.6021061599839	 1072.111944203491	 1.44732049872592	 1.4473221371415919	 -385.4077171228606	 -0.03211189245186986	 0.45328916386933327	 -479.1705102246017	 -0.039924140609605155	 0.262514358371441	 0.0	 0.0	 0.0	 -93.76279310174104	 -0.007812248157735294	 -0.1907748054978923	 0.0	 7.114253250865524E-4	 368.9977698495669	 7.018570926294944E-6	 5.847822571730114E-10	 7.310264350126048E-9	 3.4486713139756953	 759404.474159528	 0.0	 120.30466597208289	 3.652133504156404	 0.029316715334687524	 4.772998345595925E-4	 4.772998345595925E-4	 733.9785170989048	 1022.1493286032226	 1.3926147765786532	 -36.06291722890192	 1.1180612286634086E-10	 2.3107558307596816E-7	 2.142077996637949E-14	 3.230889641468251E-9	 4.980264209783978E-6	 1.50989492881444E-7	 1.2520588063778633E-4	 0.22714679569182827	 0.0016697097822158517	 0.004563846451907475	 0.7664890416091558	 3.491225193747291E-8	 0.0	 0.0	 0.0	 
-110.5	 0.0016247259071147436	 3.73936992049243E-4	 401.2182248795394	 401.2182248795394	 1074.381891637026	 1.475784850213334	 1.4757835883976098	 1638.725296534949	 0.13653740738074988	 0.658095274940458	 1553.93566098273	 0.12947279622503155	 0.4567235527089883	 0.0	 0.0	 0.0	 -84.78963555221887	 -0.007064611155718325	 -0.2013717222314698	 0.0	 0.0012377406857910968	 368.9977698495669	 7.380477556052919E-6	 6.149360560101582E-10	 8.232668434141286E-9	 3.4486713139756957	 759404.474159528	 0.0	 121.96888603980139	 3.659940602410807	 0.029082114439750346	 4.7729893470222417E-4	 4.7729893470222417E-4	 734.3227237348561	 1022.4935352391739	 1.3924307422200493	 -35.14613734167004	 1.1180612286634089E-10	 2.3107558307596816E-7	 2.142077996637949E-14	 3.2308896414682512E-9	 4.980264209783978E-6	 1.50989492881444E-7	 1.2520588063778636E-4	 0.22714679569182827	 0.0016697097822158517	 0.004563846451907474	 0.7664890416091558	 3.491225193747291E-8	 0.0	 0.0	 0.0	 
-109.0	 0.001749704823046647	 3.6897973163626396E-4	 402.96273987520544	 402.9627398752055	 1075.8964407492729	 1.5021088552476591	 1.5021108291645284	 -1014.6261692175206	 -0.08453791913663045	 0.5312883962355124	 -1093.4686126800245	 -0.0911070145455412	 0.3200630308906765	 0.0	 0.0	 0.0	 -78.84244346250395	 -0.00656909540891075	 -0.2112253653448359	 0.0	 8.673847297807786E-4	 368.9977698495669	 7.701520823134066E-6	 6.416851490015171E-10	 9.195196157643562E-9	 3.4486713139756953	 759404.4741595278	 0.0	 123.59091786913429	 3.6680135501245146	 0.0288432103234622	 4.7729799222361144E-4	 4.7729799222361144E-4	 734.5546789965059	 1022.7254905008236	 1.3923068217304058	 -34.5345351174265	 1.1180612286634089E-10	 2.3107558307596816E-7	 2.142077996637949E-14	 3.230889641468252E-9	 4.980264209783977E-6	 1.50989492881444E-7	 1.2520588063778636E-4	 0.22714679569182827	 0.0016697097822158517	 0.004563846451907474	 0.7664890416091558	 3.4912251937472904E-8	 0.0	 0.0	 0.0	 
-107.5	 0.0018746837389785503	 3.639353404839962E-4	 405.34352682074524	 405.34352682074524	 1077.9629983459963	 1.531927066231641	 1.531925739513524	 554.307509879135	 0.04618450111840473	 0.6005651479131195	 483.76347279738513	 0.04030682293178001	 0.3805232652883465	 0.0	 0.0	 0.0	 -70.54403708174985	 -0.005877678186624725	 -0.220041882624773	 0.0	 0.0010312345937577843	 368.9977698495669	 8.041199253403453E-6	 6.699869103218628E-10	 1.0200176523126356E-8	 3.4486713139756957	 759404.474159528	 0.0	 125.35755209888981	 3.676359158640811	 0.028600107135401103	 4.772970084393962E-4	 4.772970084393962E-4	 734.8743529434735	 1023.0451644477912	 1.3921361663392868	 -33.69957695639222	 1.118061228663409E-10	 2.3107558307596813E-7	 2.142077996637949E-14	 3.2308896414682525E-9	 4.980264209783978E-6	 1.50989492881444E-7	 1.2520588063778639E-4	 0.22714679569182827	 0.0016697097822158517	 0.004563846451907474	 0.7664890416091558	 3.491225193747291E-8	 0.0	 0.0	 0.0	 
-106.0	 0.0019996626549104537	 3.5880611529081957E-4	 407.6884374057619	 407.68843740576193	 1079.9987964043148	 1.5628121412888492	 1.562810522018561	 229.0478302994172	 0.019084099684917154	 0.6291912974404953	 166.76429832297148	 0.013894680813699671	 0.401365286508896	 0.0	 0.0	 0.0	 -62.283531976445715	 -0.005189418871217483	 -0.22782601093159924	 0.0	 0.0010877173774587437	 368.9977698495669	 8.374519481574862E-6	 6.977589108385544E-10	 1.1246814889384188E-8	 3.4486713139756966	 759404.4741595278	 0.0	 127.19006702420967	 3.684984464635837	 0.028352915559826324	 4.772959826115617E-4	 4.772959826115617E-4	 735.1927117745377	 1023.3635232788554	 1.391966360505341	 -32.876843265799316	 1.1180612286634092E-10	 2.3107558307596816E-7	 2.1420779966379493E-14	 3.2308896414682525E-9	 4.980264209783978E-6	 1.50989492881444E-7	 1.2520588063778636E-4	 0.22714679569182827	 0.0016697097822158517	 0.004563846451907475	 0.7664890416091558	 3.491225193747291E-8	 0.0	 0.0	 0.0	 
-104.5	 0.002124641570842357	 3.5359449082178593E-4	 410.2990273868744	 410.2990273868744	 1082.265434788372	 1.5959978854536085	 1.5959959849814227	 742.1360640481098	 0.06183424050580158	 0.7219426581991977	 689.1848136106979	 0.05742238058786393	 0.48749885739069193	 0.0	 0.0	 0.0	 -52.95125043741187	 -0.00441185991793764	 -0.2344438008085057	 0.0	 0.0013211430995624595	 368.9977698495669	 8.712041878097326E-6	 7.258810329852982E-10	 1.2335636438862135E-8	 3.4486713139756966	 759404.474159528	 0.0	 129.12965600302155	 3.6938967362993753	 0.028101752934812655	 4.7729491486222495E-4	 4.7729491486222495E-4	 735.5512076819334	 1023.7220191862511	 1.3917753223633185	 -31.960481019421334	 1.1180612286634093E-10	 2.3107558307596816E-7	 2.1420779966379493E-14	 3.230889641468253E-9	 4.980264209783977E-6	 1.50989492881444E-7	 1.2520588063778636E-4	 0.22714679569182827	 0.0016697097822158517	 0.004563846451907475	 0.7664890416091558	 3.491225193747292E-8	 0.0	 0.0	 0.0	 
-103.0	 0.0022496204867742606	 3.4830304204154066E-4	 413.08940195658005	 413.08940195658	 1084.68850883817	 1.631258487741939	 1.6312576912580712	 1004.9188464288961	 0.08372911201748154	 0.84753632622542	 962.0844890580531	 0.08016018431824976	 0.6077391338680666	 0.0	 0.0	 0.0	 -42.834357370843065	 -0.0035689276992318004	 -0.2397971923573534	 0.0	 0.0016469994767606042	 368.9977698495669	 9.0507349363889E-6	 7.541006938245927E-10	 1.3466787479599024E-8	 3.4486713139756966	 759404.474159528	 0.0	 131.16986860331696	 3.703103479774962	 0.027846743355041798	 4.7729380485903684E-4	 4.7729380485903684E-4	 735.939103285313	 1024.1099147896307	 1.3915688271188358	 -30.980520866991665	 1.1180612286634094E-10	 2.3107558307596816E-7	 2.1420779966379493E-14	 3.230889641468253E-9	 4.980264209783978E-6	 1.50989492881444E-7	 1.2520588063778636E-4	 0.22714679569182827	 0.0016697097822158517	 0.004563846451907475	 0.7664890416091558	 3.491225193747292E-8	 0.0	 0.0	 0.0	 
-101.5	 0.002374599402706164	 3.429344858858765E-4	 415.6084257578941	 415.6084257578941	 1086.8765999246066	 1.6668923298472014	 1.6668937649291176	 -5.277597227918847	 -4.397255868470105E-4	 0.8468767378451494	 -38.877019815137885	 -0.003239205194106039	 0.6028803260769074	 0.0	 0.0	 0.0	 -33.59942258721904	 -0.0027994796072590288	 -0.24399641176824194	 0.0	 0.0016338318963897529	 368.9977698495669	 9.378080327149704E-6	 7.813748752063198E-10	 1.4638849792408503E-8	 3.4486713139756966	 759404.474159528	 0.0	 133.25730121969653	 3.7126124458589644	 0.027588017757178465	 4.7729265325218556E-4	 4.7729265325218556E-4	 736.2934342799184	 1024.464245784236	 1.391380390056233	 -30.095405416806443	 1.1180612286634097E-10	 2.3107558307596816E-7	 2.142077996637949E-14	 3.230889641468253E-9	 4.980264209783977E-6	 1.50989492881444E-7	 1.2520588063778636E-4	 0.22714679569182827	 0.0016697097822158517	 0.004563846451907475	 0.7664890416091558	 3.4912251937472924E-8	 0.0	 0.0	 0.0	 
