Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	pZyl_mess [bar]	pZyl_berech [bar]	pSaug [bar]	pAbg [bar]	T [K]	dQw [J/s]	V [m3]	m [kg]	R [J/kg/K]	mK [kg]	V_motor [m^3]	dm [kg/s]	dmEV [kg/s]	dmAV [kg/s]	dmEV aus Zylinder [kg/s]	Hub_E [m]	Hub_A [m]	alpha_E_vor [-]	alpha_E_rück [-]	alpha_A_vor [-]	alpha_A_rück [-]	dmL [kg/s]	dmL [kg/KW]	mL [kg]	T_Saug [K]	H_Massenbruch	O_Massenbruch	N_Massenbruch	H2_Massenbruch	OH_Massenbruch	CO_Massenbruch	NO_Massenbruch	O2_Massenbruch	H2O_Massenbruch	CO2_Massenbruch	N2_Massenbruch	RON_95_Massenbruch	AGR_intern_LWA_Massenbruch	AGR_extern_LWA_Massenbruch	feuchteLuft_LWA_Massenbruch
140.5	 0.022537864506386573	 2.098087613600062	 2.106077190959389	 0.9404265862445962	 1.0150805308145812	 705.6410497744516	 1206.2768562509602	 4.4627488944895034E-4	 4.712699756669512E-4	 282.63316793474644	 4.712699756669512E-4	 4.503135119839111E-4	 -0.005048162672516022	 0.0	 -0.005048162672516022	 0.035018263428311554	 0.0	 1.4721805E-4	 1.77561E-4	 2.57597E-4	 0.00293006543321115	 0.002609338259400685	 9.886499717235685E-6	 8.237360113474567E-10	 -1.3725677780675507E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.0	 0.022662843422318477	 2.0760833188632204	 2.0827671093785125	 0.940150649402491	 1.015568393057144	 703.3421219910012	 1191.8158286636428	 4.4914694803478564E-4	 4.705864413190895E-4	 282.63316793474644	 4.705864413190895E-4	 4.531855705711519E-4	 -0.005986618022712112	 0.0	 -0.005986618022712112	 0.035018263428311554	 0.0	 1.7936957000000002E-4	 1.77561E-4	 2.57597E-4	 0.0035076592270705106	 0.0031689869620902694	 9.783748015569848E-6	 8.151748138245536E-10	 -1.3713450158468138E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.5	 0.022787822338250382	 2.0542892300760345	 2.0595689811228564	 0.9404371098143902	 1.0155536086177848	 701.038728080165	 1177.1661411384807	 4.519101311433365E-4	 4.697462079263994E-4	 282.63316793474644	 4.697462079263994E-4	 4.559487536810678E-4	 -0.007506277225680074	 0.0	 -0.007506277225680074	 0.035018263428311554	 0.0	 2.3126875000000082E-4	 1.77561E-4	 2.57597E-4	 0.004440014657681265	 0.004072375316906889	 9.67926099668797E-6	 8.064690309253446E-10	 -1.3701353123004259E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
145.0	 0.022912801254182283	 2.0320177000989172	 2.036144674713875	 0.9414178777777769	 1.017553042485062	 698.7009543619886	 1162.101623156826	 4.54564204918865E-4	 4.6869401061316917E-4	 282.63316793474644	 4.6869401061316917E-4	 4.586028274579186E-4	 -0.009356562059032045	 0.0	 -0.009356562059032045	 0.035018263428311554	 0.0	 2.9519422E-4	 1.77561E-4	 2.57597E-4	 0.005588419297385461	 0.005185100511682175	 9.571533006598188E-6	 7.974932126473822E-10	 -1.3689390724814548E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
146.5	 0.023037780170114187	 2.009147630991366	 2.0122387726679265	 0.9429668571828111	 1.021596009533117	 696.3052013378515	 1146.4305954692986	 4.5710897570920296E-4	 4.673868575399807E-4	 282.63316793474644	 4.673868575399807E-4	 4.6114759824953283E-4	 -0.01157360557651683	 0.0	 -0.01157360557651683	 0.035018263428311554	 0.0	 3.7278001000000003E-4	 1.77561E-4	 2.57597E-4	 0.006982228075187431	 0.006535605455792018	 9.459153947376694E-6	 7.881298706507492E-10	 -1.3677568776754787E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
148.0	 0.023162759086046092	 1.986339652043998	 1.9876504388590872	 0.9452255473429941	 1.0272663331029108	 693.8319022366343	 1130.0073790387223	 4.5954428625953945E-4	 4.657898155302439E-4	 282.63316793474644	 4.6578981553024385E-4	 4.6358290880109783E-4	 -0.014004769128180676	 0.0	 -0.014004769128180676	 0.035018263428311554	 0.0	 4.5935909E-4	 1.77561E-4	 2.57597E-4	 0.008537598996563872	 0.008042653016904452	 9.34088516177366E-6	 7.782758009085826E-10	 -1.3665894639741158E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
149.5	 0.023287738001977993	 1.9613132593666525	 1.9623121421448857	 0.9485101610729715	 1.0373502722333456	 691.2727894735542	 1112.7764278421612	 4.6187001203758596E-4	 4.6389027517968167E-4	 282.63316793474644	 4.6389027517968167E-4	 4.6590863458032314E-4	 -0.016362939931709924	 0.0	 -0.016362939931709924	 0.035018263428311554	 0.0	 5.454729550000001E-4	 1.77561E-4	 2.57597E-4	 0.010084612450025567	 0.009541602765807023	 9.215957923482062E-6	 7.678669537005489E-10	 -1.365437663543565E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
151.0	 0.023412716917909897	 1.9351855522728312	 1.9362977500249945	 0.9522953189677085	 1.0486580383660689	 688.6321468018059	 1094.8191377987257	 4.6408605769654904E-4	 4.617003918213184E-4	 282.63316793474644	 4.617003918213184E-4	 4.681246802404133E-4	 -0.01865053900452607	 0.0	 -0.01865053900452607	 0.035018263428311554	 0.0	 6.312829100000001E-4	 1.77561E-4	 2.57597E-4	 0.011626166238442133	 0.011035262474386947	 9.08443654124157E-6	 7.569086871843608E-10	 -1.3643023005127885E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
152.5	 0.023537695833841802	 1.909113789801435	 1.9094661471406142	 0.9564136805237723	 1.0570653061006223	 685.8944846123334	 1076.0340238369727	 4.6619235368146295E-4	 4.5919449428206873E-4	 282.63316793474644	 4.5919449428206873E-4	 4.702309762264016E-4	 -0.021455629060076066	 0.0	 -0.021455629060076066	 0.035018263428311554	 0.0	 7.379293500000017E-4	 1.77561E-4	 2.57597E-4	 0.013542042124907082	 0.012891614578189922	 8.945120473309261E-6	 7.453009730896439E-10	 -1.363184349053154E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
154.0	 0.023662674749773703	 1.8820436053620762	 1.8815863194764482	 0.960624701576404	 1.0659486214324305	 683.0351679260774	 1056.2421697487669	 4.6818885298362294E-4	 4.5633000386433476E-4	 282.63316793474644	 4.5633000386433476E-4	 4.72227475529582E-4	 -0.024385225206558316	 0.0	 -0.024385225206558316	 0.035018263428311554	 0.0	 8.5281644E-4	 1.77561E-4	 2.57597E-4	 0.015605959170774923	 0.014891408394291948	 8.796114032681367E-6	 7.328858641452801E-10	 -1.3620850202569361E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
