Kurbelwinkel-LW [°KW]	Brennraumvolumen-LW [m3]	LWAideal [Pa]	LWArealGemittelt [Pa]	LWA [Pa]
194.5	 4.846686387695728E-4	 103976.9786805556	 109540.24099838798	 114748.5219958878	 
196.0	 4.835933394851218E-4	 103976.9786805556	 108107.25668520745	 113214.05984198139	 
197.5	 4.824078721801042E-4	 103976.9786805556	 106917.26179516142	 111812.91451440929	 
199.0	 4.811121574338597E-4	 103976.9786805556	 105973.44497427525	 110541.92058107938	 
200.5	 4.7970611828215153E-4	 103976.9786805556	 105271.23809186622	 109402.01977298252	 
202.0	 4.7818968221617804E-4	 103976.9786805556	 104794.2498354007	 108394.29458904265	 
203.5	 4.765627833499523E-4	 103976.9786805556	 104511.57039966458	 107482.67205875873	 
205.0	 4.748253647557024E-4	 103976.9786805556	 104372.55264263635	 106697.8526362557	 
206.5	 4.729773809666257E-4	 103976.9786805556	 104321.44980236288	 106050.36731992908	 
208.0	 4.710188006459414E-4	 103976.9786805556	 104316.14136068708	 105471.9224566377	 
209.5	 4.6894960942072815E-4	 103976.9786805556	 104332.63122077021	 104963.90754714141	 
211.0	 4.6676981287851983E-4	 103976.9786805556	 104359.43150670288	 104540.7830852913	 
212.5	 4.644794397240431E-4	 103976.9786805556	 104391.43096712508	 104153.12009819255	 
214.0	 4.620785450928266E-4	 103976.9786805556	 104426.39970894004	 103793.03968529134	 
215.5	 4.5956721401768533E-4	 103976.9786805556	 104463.35080366487	 103475.09006116896	 
217.0	 4.56945565043289E-4	 103976.9786805556	 104501.85107460804	 103259.95488828773	 
218.5	 4.5421375398316244E-4	 103976.9786805556	 104541.83613931746	 103139.80616216597	 
220.0	 4.513719778125361E-4	 103976.9786805556	 104583.24432958612	 103068.50283241959	 
221.5	 4.4842047868947233E-4	 103976.9786805556	 104625.96108140872	 103078.07566025322	 
223.0	 4.453595480956466E-4	 103976.9786805556	 104669.93607777667	 103207.73945114782	 
224.5	 4.42189531087058E-4	 103976.9786805556	 104715.13948791665	 103367.86880952187	 
226.0	 4.389108306437931E-4	 103976.9786805556	 104761.5620764118	 103529.13093300101	 
