Kurbelwinkel	dQb	dQb	
[KWnZOT]	[J/s]	[J/KW]	
-74	-485.0111104	-0.040410775	 
-73	-216.5852719	-0.018045728	 
-72	1608.484135	0.134017736	 
-71	-1189.142714	-0.099078511	 
-70	1425.113612	0.118739436	 
-69	-335.3287292	-0.027939347	 
-68	470.5884736	0.039209092	 
-67	-602.5262588	-0.050202052	 
-66	1359.610201	0.113281739	 
-65	118.0983474	0.009839869	 
-64	118.0983474	0.009839869	 
-63	824.833274	0.068724512	 
-62	-611.3093249	-0.050933851	 
-61	876.6661691	0.073043192	 
-60	479.3705985	0.039940812	 
-59	-131.8409411	-0.010984892	 
-58	634.0083053	0.052825114	 
-57	138.1241417	0.011508404	 
-56	761.7384985	0.063467501	 
-55	-431.0580711	-0.035915447	 
-54	791.4771055	0.0659453	 
-53	-988.9164381	-0.082395803	 
-52	680.3281324	0.056684448	 
-51	-41.62339186	-0.003468031	 
-50	722.5587673	0.060203074	 
-49	88.4253083	0.007367533	 
-48	530.5629258	0.04420612	 
-47	133.0186767	0.01108302	 
-46	-522.4257393	-0.043528135	 
-45	509.2805118	0.042432884	 
-44	-732.300019	-0.061014708	 
-43	967.95927	0.080649667	 
-42	-492.0505158	-0.040997293	 
-41	-223.3851988	-0.018612293	 
-40	-475.1864691	-0.039592193	 
-39	-364.8205182	-0.030396582	 
-38	811.9432466	0.067650525	 
-37	4899.989485	0.408263583	 
-36	540.9684111	0.045073097	 
-35	-3305.349967	-0.27539937	 
-34	4568.810265	0.380669969	 
-33	7847.226811	0.653825267	 
-32	-5568.66173	-0.463976871	 
-31	16754.38308	1.395963089	 
-30	-2721.126175	-0.226722266	 
-29	-3321.456485	-0.276741354	 
-28	7101.961655	0.591730312	 
-27	9745.796066	0.812012685	 
-26	-8203.661539	-0.683523151	 
-25	4285.223339	0.357041712	 
-24	-5569.922342	-0.464081904	 
-23	-7027.272028	-0.585507227	 
-22	12238.62519	1.019713406	 
-21	10426.36698	0.868717362	 
-20	33125.87845	2.760024252	 
-19	67868.45515	5.654750634	 
-18	98209.40203	8.1827364	 
-17	141629.6465	11.80047979	 
-16	190484.0371	15.8709923	 
-15	201856.4538	16.81853385	 
-14	237896.1842	19.82133814	 
-13	237607.0619	19.79724868	 
-12	240827.8896	20.06560572	 
-11	223120.3373	18.59022525	 
-10	214138.0402	17.84182675	 
-9	184186.3117	15.34627038	 
-8	171482.2411	14.28777639	 
-7	138790.0042	11.56388284	 
-6	129202.1816	10.76503239	 
-5	105352.6213	8.777904269	 
-4	98977.65946	8.246747054	 
-3	80582.02664	6.714036222	 
-2	77759.04583	6.478827501	 
-1	63010.21747	5.249965782	 
0	59511.13203	4.958424511	 
1	54394.19185	4.532084754	 
2	47371.92629	3.946994662	 
3	42306.36854	3.524936052	 
4	35529.87937	2.960323872	 
5	37856.95727	3.15421432	 
6	29441.49457	2.45304405	 
7	31354.49251	2.612433656	 
8	24558.93401	2.046232632	 
9	30676.52662	2.555946028	 
10	22645.00737	1.886765648	 
11	24602.5487	2.049866577	 
12	20331.4044	1.693997921	 
13	22579.67713	1.88132238	 
14	18801.40379	1.566519376	 
15	19365.39248	1.613510506	 
16	17871.2805	1.489022176	 
17	18338.37479	1.527940135	 
18	15801.12471	1.316538291	 
19	16385.75176	1.365248994	 
20	14853.50828	1.237583575	 
21	14448.36079	1.203826979	 
22	13192.11606	1.099157576	 
23	12957.72725	1.079628469	 
24	11371.5533	0.947469603	 
25	11932.23218	0.994184961	 
26	9515.952086	0.792862251	 
27	11059.63186	0.921480534	 
28	9478.624817	0.789752169	 
29	10971.79985	0.914162434	 
30	9415.970206	0.784531833	 
31	11207.55751	0.933805592	 
32	8041.226757	0.669989202	 
33	10005.67875	0.833665922	 
34	7072.568614	0.589281305	 
35	8504.499055	0.708588715	 
36	8504.499055	0.708588715	 
37	7188.156438	0.598911999	 
38	7767.940105	0.647219156	 
39	6027.987106	0.502247529	 
40	7150.277266	0.595755934	 
41	6741.330198	0.56168276	 
42	6044.571838	0.503629357	 
43	5638.895648	0.46982871	 
44	6456.56504	0.537956333	 
45	5909.266884	0.492355846	 
46	4445.557404	0.37040063	 
47	7239.441487	0.603185033	 
48	5223.300878	0.435201654	 
49	4380.679208	0.364995026	 
50	6301.755251	0.525057693	 
51	4201.413318	0.350058721	 
52	5459.581321	0.45488837	 
53	6331.958406	0.527574198	 
54	3806.430381	0.317149028	 
55	4455.261768	0.371209191	 
56	4955.061958	0.412852181	 
57	4137.469094	0.344730935	 
58	5482.943567	0.456834895	 
59	4509.071475	0.375692577	 
60	3931.327468	0.327555363	 
61	3931.327468	0.327555363	 
62	4454.722595	0.371164267	 
63	4454.722595	0.371164267	 
64	3675.89525	0.306272936	 
65	5467.265566	0.455528616	 
66	4122.460881	0.343480461	 
67	4122.460881	0.343480461	 
68	4122.460881	0.343480461	 
69	4991.651193	0.41590077	 
70	2734.185444	0.227810355	 
71	5247.532416	0.437220608	 
72	3949.246017	0.329048324	 
73	3949.246017	0.329048324	 
74	4268.196895	0.355623081	 
75	4981.555241	0.415059582	 
76	4981.555241	0.415059582	 
77	3070.830556	0.255859383	 
78	4668.980623	0.389016091	 
79	4668.980623	0.389016091	 
80	2983.179791	0.248556384	 
81	5183.436042	0.431880145	 
82	4047.0259	0.337195273	 
83	3409.90671	0.284110963	 
84	5425.981997	0.452088899	 
85	4154.969529	0.346189058	 
86	610.2436456	0.05084506	 
87	5605.16327	0.467018153	 
88	3325.775109	0.277101178	 
89	3325.775109	0.277101178	 
90	5328.367064	0.443955693	 
91	3395.960464	0.282948972	 
92	3395.960464	0.282948972	 
93	5243.366722	0.436873526	 
94	3281.660214	0.273425557	 
95	2220.376695	0.185000182	 
96	5277.703694	0.439734458	 
97	3519.701903	0.293259019	 
98	3519.701903	0.293259019	 
99	4433.295332	0.369378963	 
100	2620.29285	0.218320907	 
101	2620.29285	0.218320907	 
102	3478.800949	0.289851181	 
103	4173.413047	0.347725759	 
104	4173.413047	0.347725759	 
105	3087.966325	0.257287123	 
106	2480.35286	0.206661208	 
107	4289.927256	0.357433639	 
108	1500.110679	0.124988138	 
109	3336.837096	0.278022855	 
110	3336.837096	0.278022855	 
111	2057.649138	0.171441839	 
112	3427.172148	0.285549507	 
113	4732.218176	0.394284998	 
114	3304.198739	0.275303451	 
115	3304.198739	0.275303451	 
116	988.8131251	0.082387195	 
117	-247.0525418	-0.020584239	 
118	-247.0525418	-0.020584239	 
119	3633.87838	0.30277212	 
120	3633.87838	0.30277212	 
121	985.6890333	0.082126898	 
122	3796.121478	0.316290098	 
123	-792.0909152	-0.065996443	 
124	2918.958799	0.243205538	 
