Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_Original [bar]	LWAideal [bar]	p_mitWandwärmeverlust [bar]	p_realer Brennverlauf [bar]	p_HC_CO [bar]	p_Verbrennungslage [bar]	p_Reale Ladung [bar]	p_Gleichraumprozess [bar] 
-259.0	 -0.010074014869578974	 3.379365325903913E-4	 0.9172074701303334	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-258.0	 -0.009990758548342783	 3.415529013168017E-4	 0.9187985869701815	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-257.0	 -0.009907502227106594	 3.4513687731099074E-4	 0.9203319402936178	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-256.0	 -0.009824245905870404	 3.486876130736487E-4	 0.9218323537193157	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-255.0	 -0.009740989584634215	 3.522042889208638E-4	 0.9233947395679075	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-254.0	 -0.009657733263398024	 3.556861128226783E-4	 0.9249765332014207	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-253.0	 -0.009574476942161835	 3.5913232020818176E-4	 0.9264003900379648	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-252.0	 -0.009491220620925644	 3.6254217373827646E-4	 0.9275772887679615	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-251.0	 -0.009407964299689455	 3.6591496304730136E-4	 0.9285860558469635	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-250.0	 -0.009324707978453264	 3.6925000445475146E-4	 0.9295700401781541	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-249.0	 -0.009241451657217075	 3.7254664064837443E-4	 0.9306906317334951	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-248.0	 -0.009158195335980885	 3.7580424033996894E-4	 0.9320241160481957	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-247.0	 -0.009074939014744696	 3.790221978952345E-4	 0.9334629216889673	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-246.0	 -0.008991682693508505	 3.8219993293906124E-4	 0.9347958921326381	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
