[KWnZOT]	[bar]	[bar]	[bar]
-210.5000	1.3115	1.3115	1.3115
-210.0000	1.3069	1.3069	1.3069
-209.5000	1.3067	1.3067	1.3067
-209.0000	1.3114	1.3114	1.3114
-208.5000	1.3109	1.3109	1.3109
-208.0000	1.3153	1.3153	1.3153
-207.5000	1.3190	1.3190	1.3190
-207.0000	1.3153	1.3153	1.3153
-206.5000	1.3120	1.3120	1.3120
-206.0000	1.3163	1.3163	1.3163
-205.5000	1.3221	1.3221	1.3221
-205.0000	1.3216	1.3216	1.3216
-204.5000	1.3229	1.3229	1.3229
-204.0000	1.3236	1.3236	1.3236
-203.5000	1.3246	1.3246	1.3246
-203.0000	1.3211	1.3211	1.3211
-202.5000	1.3266	1.3266	1.3266
-202.0000	1.3324	1.3324	1.3324
-201.5000	1.3308	1.3308	1.3308
-201.0000	1.3292	1.3292	1.3292
-200.5000	1.3296	1.3296	1.3296
-200.0000	1.3361	1.3361	1.3361
-199.5000	1.3379	1.3379	1.3379
-199.0000	1.3335	1.3335	1.3335
-198.5000	1.3338	1.3338	1.3338
-198.0000	1.3391	1.3391	1.3391
-197.5000	1.3373	1.3373	1.3373
-197.0000	1.3406	1.3406	1.3406
-196.5000	1.3374	1.3374	1.3374
-196.0000	1.3450	1.3450	1.3450
-195.5000	1.3415	1.3415	1.3415
-195.0000	1.3421	1.3421	1.3421
-194.5000	1.3467	1.3467	1.3467
-194.0000	1.3499	1.3499	1.3499
-193.5000	1.3465	1.3465	1.3465
-193.0000	1.3447	1.3447	1.3447
-192.5000	1.3457	1.3457	1.3457
-192.0000	1.3496	1.3496	1.3496
-191.5000	1.3480	1.3480	1.3480
-191.0000	1.3529	1.3529	1.3529
-190.5000	1.3557	1.3557	1.3557
-190.0000	1.3537	1.3537	1.3537
-189.5000	1.3502	1.3502	1.3502
-189.0000	1.3525	1.3525	1.3525
-188.5000	1.3615	1.3615	1.3615
-188.0000	1.3628	1.3628	1.3628
-187.5000	1.3591	1.3591	1.3591
-187.0000	1.3601	1.3601	1.3601
-186.5000	1.3669	1.3669	1.3669
-186.0000	1.3644	1.3644	1.3644
-185.5000	1.3591	1.3591	1.3591
-185.0000	1.3700	1.3700	1.3700
-184.5000	1.3678	1.3678	1.3678
-184.0000	1.3698	1.3698	1.3698
-183.5000	1.3684	1.3684	1.3684
-183.0000	1.3745	1.3745	1.3745
-182.5000	1.3724	1.3724	1.3724
-182.0000	1.3700	1.3700	1.3700
-181.5000	1.3712	1.3712	1.3712
-181.0000	1.3732	1.3732	1.3732
-180.5000	1.3798	1.3798	1.3798
