[KWnZOT]	[bar]	[bar]	[bar]
-333.7	2.2818	2.1554	2.8051
-333.6	2.2806	2.1562	2.8061
-333.5	2.2795	2.1564	2.8037
-333.4	2.2789	2.1557	2.8015
-333.3	2.2774	2.1553	2.8
-333.2	2.2777	2.1556	2.7988
-333.1	2.2758	2.1556	2.7968
-333	2.2788	2.1556	2.7961
-332.9	2.2751	2.155	2.7941
-332.8	2.2724	2.1556	2.7935
-332.7	2.2743	2.1547	2.7905
-332.6	2.2767	2.1557	2.7912
-332.5	2.273	2.1555	2.7897
-332.4	2.2713	2.1555	2.7885
-332.3	2.2713	2.1557	2.7866
-332.2	2.2735	2.156	2.7865
-332.1	2.27	2.156	2.7845
-332	2.2741	2.1567	2.7848
-331.9	2.2707	2.1566	2.7832
-331.8	2.2716	2.1565	2.7817
-331.7	2.2697	2.1571	2.7808
-331.6	2.269	2.1576	2.7805
-331.5	2.2677	2.1579	2.7796
-331.4	2.2672	2.158	2.7783
-331.3	2.2673	2.1585	2.7773
-331.2	2.2677	2.1587	2.7764
-331.1	2.2674	2.159	2.775
-331	2.2688	2.1594	2.7736
-330.9	2.2693	2.1603	2.7741
-330.8	2.2658	2.1609	2.7728
-330.7	2.2671	2.1617	2.7722
-330.6	2.2664	2.1621	2.771
-330.5	2.2664	2.1633	2.7713
-330.4	2.2667	2.1633	2.7691
-330.3	2.2685	2.1643	2.7681
-330.2	2.2676	2.1646	2.7672
-330.1	2.2692	2.1657	2.7672
-330	2.2684	2.166	2.7652
-329.9	2.2659	2.1674	2.7659
-329.8	2.2687	2.1673	2.7638
-329.7	2.2693	2.1682	2.7635
-329.6	2.2687	2.1684	2.7622
-329.5	2.2687	2.1692	2.762
-329.4	2.2701	2.1702	2.7615
-329.3	2.2702	2.1713	2.7618
-329.2	2.2718	2.1712	2.7598
-329.1	2.2715	2.1728	2.7611
-329	2.2719	2.173	2.7592
-328.9	2.2704	2.1735	2.7579
-328.8	2.2725	2.1747	2.7586
-328.7	2.2731	2.1755	2.7577
-328.6	2.2735	2.1762	2.7566
-328.5	2.2725	2.1765	2.7558
-328.4	2.2733	2.1783	2.7569
-328.3	2.2754	2.1791	2.7559
-328.2	2.2752	2.1796	2.7552
-328.1	2.2761	2.1801	2.7548
-328	2.2768	2.1817	2.7553
-327.9	2.2769	2.1822	2.7541
-327.8	2.2767	2.183	2.7543
