Lambda [-]	p [Pa]	V [m^3]	T [K]	nC7H16	O2	N2	CO2	H2O	CO	H2	OH	H2O2	HO2	H	O	CH3O	CH2O	HCO	CH2	CH3	CH4	C2H2	C2H3	C2H4	C2H5	C3H4	C3H5	C3H6	C3H7	C7H15-2	C7H15O2	C7KET12	C5H11CO	N	N2O	NO	NO2	iC8H18	C8H17	C8H17OO	iC8KET21	C6H13CO	C4H9	C2H6	CH2CHO	CH2CO	CH3O2	CH3O2H	soot
2.7685374808960987	 6625000.0	 8.459721899999988E-7	 1174.7133360284492	 1.1018678373616706E-9	 3.3343496885256807E-6	 1.2382800754123781E-5	 1.999977294829498E-7	 1.8287954845444684E-7	 1.5482941078587078E-7	 1.1499829233140666E-10	 1.3941950245206358E-11	 1.6775391177891598E-8	 1.67905082727837E-9	 5.89862787890453E-14	 1.3597908244556448E-12	 4.680340995396429E-10	 1.727583799285174E-8	 4.470193704017674E-12	 2.5989576542833183E-15	 1.5529997915438596E-10	 4.091044149082118E-8	 3.0619473859720644E-11	 1.1168164488015643E-13	 1.495657665024751E-8	 8.18590789568369E-12	 2.1560813946054183E-8	 2.929146721331919E-10	 6.542488131749542E-8	 2.7781787690915647E-12	 5.47167537860035E-14	 2.0798215441366492E-13	 1.1840232697295142E-12	 3.169418269217619E-14	 7.953399509148372E-22	 1.1823007401026026E-13	 1.7936414859919342E-18	 4.16914759874128E-18	 8.785885241468229E-8	 3.9267340600205234E-13	 5.4775862592900695E-14	 3.913563136054155E-12	 1.693301761646698E-14	 2.311057215130212E-12	 3.6501924388570323E-9	 8.573290679198504E-11	 3.41128021368946E-9	 1.1161396386486725E-9	 1.0315029257441447E-11	 1.130649496697645E-11	 
2.7922357169691003	 6625000.0	 1.4658579599999993E-6	 1234.147814030493	 9.002222165066234E-10	 5.368188220326592E-6	 2.037129040775793E-5	 4.0343283830275534E-7	 3.6576768724313763E-7	 2.9079144400613746E-7	 2.9288411730355563E-10	 3.4582243365727246E-11	 1.538725121634496E-8	 2.906461553299885E-9	 1.6576850206434458E-13	 4.034301083736861E-12	 6.970008429525461E-10	 1.9488591769056344E-8	 7.067844417800918E-12	 7.41011250212197E-15	 3.0157955758926075E-10	 7.52483909677615E-8	 7.240843927376718E-11	 2.408217005288702E-13	 1.5907461927301713E-8	 1.9749227912729718E-11	 4.634304086479489E-8	 5.757782273743355E-10	 1.0955128997633053E-7	 2.9650207987710296E-12	 4.2089800516451267E-14	 1.8829266027922465E-13	 1.2458028239165219E-12	 3.3177103066791863E-14	 2.9471470416188823E-21	 3.509507513653447E-13	 5.8813191230636305E-18	 1.411980805133714E-17	 8.720814616940127E-8	 3.7467659820239126E-13	 4.616896461990445E-14	 3.3324251716654413E-12	 1.446030293450412E-14	 2.1198098710429537E-12	 6.443438462301682E-9	 8.640122921817399E-11	 9.113924991492266E-9	 1.20287066736562E-9	 9.137483632125333E-12	 2.600185221659227E-11	 
2.81824219852103	 6625000.0	 3.792159000000001E-7	 1148.2082737326855	 4.244689384749847E-10	 1.5581945107157508E-6	 5.6898360606379845E-6	 7.493126213967564E-8	 7.105420409416204E-8	 6.414769630313547E-8	 3.250931997973564E-11	 4.2991009799457665E-12	 8.775811822306608E-9	 8.386292576920824E-10	 1.2461618436526265E-14	 2.5059032191686575E-13	 2.6159428601104713E-10	 9.187780802219665E-9	 2.6459335233346054E-12	 5.811689283258333E-16	 6.843836743806103E-11	 1.7298386088353614E-8	 1.064351184452984E-11	 4.59325889680965E-14	 7.868338319555633E-9	 2.1246198411845745E-12	 8.062225086488174E-9	 1.2860466663572518E-10	 3.110071651304179E-8	 1.546887029346889E-12	 2.0691228801129782E-14	 7.665997912165469E-14	 4.290466818692578E-13	 1.1496638115990404E-14	 2.4067060202300875E-23	 2.2291918449340098E-14	 8.1376854318146E-20	 3.68315015045617E-19	 4.743744164553769E-8	 2.1498274031823608E-13	 2.451091199837014E-14	 1.5060204974289554E-12	 6.4751284367438286E-15	 9.48881311128225E-13	 1.6618253030138553E-9	 4.604308980854826E-11	 8.761122923523333E-10	 5.619516442569453E-10	 4.288278745933769E-12	 3.961810978078596E-12	 
2.846708441046066	 6625000.0	 7.215777799999991E-7	 1159.5082546176507	 7.952919460037551E-10	 2.9239315253348003E-6	 1.0716759869751301E-5	 1.4936030909464976E-7	 1.40880421447214E-7	 1.2415268176801538E-7	 7.013112888175012E-11	 9.61362557096218E-12	 1.4450029749741039E-8	 1.4897504506727115E-9	 3.305130400726404E-14	 6.898235835182032E-13	 4.37330856834784E-10	 1.557264828020017E-8	 4.2608401234034925E-12	 1.3161490797582002E-15	 1.274608702112873E-10	 3.328627073422116E-8	 2.1831256959950573E-11	 8.573307506067894E-14	 1.3485127824001718E-8	 4.9791584408578875E-12	 1.6254531346421078E-8	 2.433761705645766E-10	 5.870167949466018E-8	 2.5588387338835233E-12	 3.760364856190561E-14	 1.5170815981507325E-13	 8.712303003308361E-13	 2.3330713610676063E-14	 1.0765048720470763E-22	 5.525647555205591E-14	 1.8367207942822124E-19	 5.842041102205637E-19	 8.187425277299386E-8	 3.581667549547461E-13	 4.558708485170909E-14	 3.1100800813904832E-12	 1.3431432472034324E-14	 1.877022017604016E-12	 3.151308823593392E-9	 7.504453588928733E-11	 2.008089940126018E-9	 9.801724040479687E-10	 8.147134231841352E-12	 8.125649342416679E-12	 
2.871093663020832	 6625000.0	 7.078257200000004E-7	 1171.5392380308724	 5.005403213362976E-10	 2.827192050171025E-6	 1.0399195774500828E-5	 1.5156871828486044E-7	 1.432420710618801E-7	 1.2447521043085197E-7	 7.485338397947046E-11	 1.0393933065934167E-11	 1.1983033876302438E-8	 1.487860976044337E-9	 3.6481227453701876E-14	 7.483781959173411E-13	 4.217368473189531E-10	 1.370558949072488E-8	 4.311001878218326E-12	 1.3949943905717609E-15	 1.2987889526158202E-10	 3.333345212493508E-8	 2.3158859833389538E-11	 8.990080360513018E-14	 1.1661183502800147E-8	 5.277656221968895E-12	 1.6861512956196316E-8	 2.531750649515717E-10	 5.848342378955118E-8	 2.25996707679972E-12	 2.481966438946942E-14	 8.093380659628662E-14	 3.813281334773429E-13	 1.0283816743601551E-14	 9.441065282891333E-23	 5.914824731306666E-14	 1.5850819978498689E-19	 4.886153543150358E-19	 7.115362800622615E-8	 3.0698401043429056E-13	 3.579924679665818E-14	 2.218073857192719E-12	 9.524310482887835E-15	 1.4263788121347601E-12	 3.1895414049285813E-9	 6.430670990151317E-11	 2.141386283605658E-9	 8.619971803970274E-10	 6.104505706449836E-12	 8.549632534712027E-12	 
2.8983561042339865	 6625000.0	 8.87083889999998E-7	 1120.3948728213268	 1.3374283690548659E-9	 3.80116010034507E-6	 1.3670797336323447E-5	 1.4830826458523638E-7	 1.430440225331738E-7	 1.338944172153381E-7	 5.2436314895559996E-11	 7.712344727447809E-12	 2.349952563448799E-8	 1.7319908898681714E-9	 1.936344874746013E-14	 3.9984916429625186E-13	 5.673234132562898E-10	 2.3746528510212684E-8	 4.865291550301888E-12	 9.350615497158442E-16	 1.34967973051252E-10	 3.5988847537918424E-8	 1.9106829503979425E-11	 8.055400632605019E-14	 2.1159876792403378E-8	 3.5514320220172767E-12	 1.5670736529844027E-8	 2.4093078505046934E-10	 6.996314470724945E-8	 3.946764328377114E-12	 6.121122948302839E-14	 2.5445944040965904E-13	 1.513841589183224E-12	 4.046632060630674E-14	 1.6244562029519132E-23	 3.425473648494772E-14	 4.447351806833332E-20	 1.8164604066355677E-19	 1.3467898360323762E-7	 5.863920576011917E-13	 8.279116058889852E-14	 5.885769167295251E-12	 2.54362856151385E-14	 3.3693093926658943E-12	 3.4313281849497265E-9	 1.1596877025008432E-10	 1.505068163339444E-9	 1.532273766288931E-9	 1.4273743199864579E-11	 7.882213768038783E-12	 
2.9302704901007397	 6625000.0	 7.682374699999997E-7	 1101.6162972539623	 1.1966366110683516E-9	 3.3816791082115983E-6	 1.2057316553440195E-5	 1.1386437413660063E-7	 1.1092247950499863E-7	 1.0735741385340303E-7	 3.2262035180812175E-11	 4.789632530525017E-12	 2.2970376518952997E-8	 1.4093447086681099E-9	 9.083194530864514E-15	 2.0501448193169393E-13	 4.872854955303711E-10	 2.253598848952082E-8	 3.682162102783805E-12	 5.473064157769642E-16	 1.0416136035952087E-10	 2.8793423946853276E-8	 1.3264256006573872E-11	 5.5126659721198756E-14	 2.0189129625379494E-8	 2.0313300340415243E-12	 1.1740100180114079E-8	 1.7486389611717102E-10	 5.879309550980501E-8	 3.726950606007723E-12	 5.3662354782177935E-14	 2.3813673459469417E-13	 1.4810933055918657E-12	 3.954694185854234E-14	 2.92195728004541E-24	 1.8704156570103643E-14	 8.041178125240993E-21	 3.9269255263629576E-20	 1.3188995567025505E-7	 5.72036575253236E-13	 8.687223136879319E-14	 6.644083123831393E-12	 2.8830016005032584E-14	 3.668887101678199E-12	 2.7132930403719092E-9	 1.1061959168278099E-10	 9.603917989703667E-10	 1.4649558720563965E-9	 1.4962152358001127E-11	 5.94186845654059E-12	 
2.9553659491766417	 6625000.0	 5.547129629999998E-7	 1074.4433360369246	 1.503982697005746E-9	 2.5389238318220473E-6	 8.942904550932341E-6	 6.827236649208848E-8	 6.710314612962955E-8	 6.737986815102586E-8	 1.6977630260792157E-11	 2.078347771572368E-12	 1.8377915044043655E-8	 8.493577825074259E-10	 3.1984007825912344E-15	 8.215604684595572E-14	 3.168950141004895E-10	 1.8025110735894363E-8	 1.836654058063216E-12	 2.289775904520934E-16	 6.011974871887132E-11	 1.8131636061904175E-8	 7.270625986416798E-12	 2.5946681224245552E-14	 1.6805455309752117E-8	 1.071010126633531E-12	 6.886228661006222E-9	 9.225452483611485E-11	 3.944827749088259E-8	 2.8874031097911577E-12	 5.992425442090382E-14	 3.4350323436381473E-13	 2.9450457290978837E-12	 7.762324424779825E-14	 6.502747787865853E-25	 9.149393398858676E-15	 6.361555849983952E-21	 5.317399505781865E-20	 1.136484759065072E-7	 4.663842897121967E-13	 8.808491763569765E-14	 8.499525192838886E-12	 3.738149724671414E-14	 4.3612804322509255E-12	 1.631244423225953E-9	 8.404352049163138E-11	 5.017255286848213E-10	 1.2189249695963391E-9	 1.6700550491169122E-11	 3.509810555783237E-12	 
2.984029062711496	 6625000.0	 3.9126175200000013E-7	 1055.2342676117237	 1.1496563773298336E-9	 1.8407271755931609E-6	 6.431484767610578E-6	 4.129027925712486E-8	 4.077632317024115E-8	 4.2420161515349477E-8	 8.260183139706138E-12	 9.323716620799689E-13	 1.3964130994697435E-8	 5.122828769142244E-10	 1.1031864475731713E-15	 3.395328123886596E-14	 2.0450454500551641E-10	 1.3513126662252899E-8	 8.936154019635295E-13	 9.50102721843332E-17	 3.496467853474234E-11	 1.1347355797705695E-8	 3.73875588596247E-12	 1.1959375635631644E-14	 1.2921333547969917E-8	 5.591962123679331E-13	 3.934008599671982E-9	 4.7444218314078965E-11	 2.6011956014963255E-8	 2.1301978332638493E-12	 4.597720879059329E-14	 2.605868597263461E-13	 2.173241322504819E-12	 5.732780097219915E-14	 1.096600766438082E-25	 3.95390330360069E-15	 1.6890552889220028E-21	 1.6698519677635362E-20	 8.963472147480554E-8	 3.5736223890305814E-13	 7.47833070086638E-14	 7.47241505691365E-12	 3.2876668568463015E-14	 3.769972722487402E-12	 9.634520703293802E-10	 6.173725094856933E-11	 2.4627372072474995E-10	 9.411592503655525E-10	 1.420885944154909E-11	 2.0067994746793544E-12	 
3.009771606713621	 6625000.0	 7.532210419999999E-7	 1054.6353576825372	 2.37130467654604E-9	 3.550337641751697E-6	 1.239058833805916E-5	 7.787896973204371E-8	 7.748035108600806E-8	 8.037141854045421E-8	 1.5477401323111336E-11	 1.8281055163108887E-12	 2.634048838905608E-8	 9.808727597784079E-10	 2.1568854935051522E-15	 6.642554498474185E-14	 3.915357322368679E-10	 2.5695959875107283E-8	 1.7192385475509147E-12	 1.8406823493791014E-16	 6.668028089292295E-11	 2.139251151472114E-8	 7.168539587947956E-12	 2.3106317215021943E-14	 2.4547043200982233E-8	 9.941780508327293E-13	 7.574489507185334E-9	 9.07689664400273E-11	 4.9654881560636366E-8	 4.044903589338173E-12	 8.867548762552884E-14	 5.692191994789088E-13	 4.8820453768233936E-12	 1.2886971723135398E-13	 1.7465824074897122E-25	 7.437107566033862E-15	 1.3273477249523683E-21	 1.0633030673911047E-20	 1.7224887567207566E-7	 6.794053735889657E-13	 1.4501872324276176E-13	 1.475944637077042E-11	 6.495687864093559E-14	 7.416983824410005E-12	 1.8127435893473075E-9	 1.1629271276644147E-10	 4.729004912039417E-10	 1.7920957870150283E-9	 2.733630697026198E-11	 3.9359101935023776E-12	 
