Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_mitWandwärmeverlust [Pa]	p_Reale Ladung [Pa]	p_Verbrennungslage [Pa]	p_HC_CO [Pa]	p_realer Brennverlauf [Pa]
-85.0	 0.0037493674779571005	 2.797124990240232E-4	 214845.75483483414	 213534.65497320902	 213534.65497320896	 213534.65497320902	 214490.3484363493	 
-83.5	 0.003874346393889004	 2.73682867828568E-4	 221369.47496583985	 219918.36693352557	 219918.3669335255	 219918.36693352557	 221020.84044185164	 
-82.0	 0.003999325309820907	 2.676244101437052E-4	 228118.76947010733	 226674.36563703392	 226674.36563703386	 226674.36563703392	 227780.21695026386	 
-80.5	 0.004124304225752811	 2.615417760001198E-4	 235405.79814888444	 233828.70537374655	 233828.7053737465	 233828.70537374655	 235081.05291970086	 
-79.0	 0.004249283141684714	 2.5543973106637616E-4	 243072.48863472123	 241409.61068494723	 241409.61068494717	 241409.61068494723	 242765.82125984348	 
-77.5	 0.0043742620576166175	 2.493231512062123E-4	 251169.4094393399	 249447.67837020065	 249447.6783702006	 249447.67837020065	 250885.60990958728	 
-76.0	 0.004499240973548521	 2.431970166197815E-4	 259874.58671544652	 257976.09948682174	 257976.09948682168	 257976.09948682174	 259619.0468020906	 
-74.5	 0.004624219889480424	 2.370664055876289E-4	 269072.9118156032	 267030.90326307557	 267030.9032630755	 267030.90326307557	 268851.97765071143	 
-73.0	 0.004749198805412328	 2.3093648783815675E-4	 278788.54795692704	 276651.2249836016	 276651.22498360154	 276651.2249836016	 278609.0687283166	 
-71.5	 0.004874177721344231	 2.2481251756111415E-4	 288986.6577421916	 286879.6000346501	 286879.60003465007	 286879.6000346501	 288856.4147258368	 
-70.0	 0.004999156637276134	 2.1869982609121533E-4	 300048.7284924622	 297762.286409749	 297762.28640974895	 297762.286409749	 299976.51898749697	 
-68.5	 0.005124135553208038	 2.1260381428736105E-4	 311632.33042669087	 309349.6180625289	 309349.61806252884	 309349.6180625289	 311628.13295944984	 
-67.0	 0.005249114469139941	 2.0652994463407276E-4	 324060.1011506991	 321696.3915379416	 321696.3915379415	 321696.3915379416	 324135.24642095476	 
-65.5	 0.005374093385071844	 2.0048373309267806E-4	 337240.93634344614	 334862.2882963894	 334862.28829638934	 334862.2882963894	 337408.1768344702	 
-64.0	 0.005499072301003748	 1.9447074073047674E-4	 351431.53444441746	 348912.3350413013	 348912.33504130127	 348912.3350413013	 351705.3262938702	 
-62.5	 0.0056240512169356514	 1.884965651565961E-4	 366483.91765272303	 363917.40413515025	 363917.4041351502	 363917.40413515025	 366880.86674231	 
-61.0	 0.005749030132867554	 1.8256683179349934E-4	 382624.48883753177	 379954.7557969438	 379954.75579694373	 379954.7557969438	 383163.2890924101	 
-59.5	 0.005874009048799458	 1.7668718501316809E-4	 399755.35851942876	 397108.62315749965	 397108.6231574996	 397108.62315749965	 400457.2118517389	 
-58.0	 0.0059989879647313615	 1.7086327916683133E-4	 418230.9265860104	 415470.840331905	 415470.84033190494	 415470.840331905	 419119.9810093224	 
-56.5	 0.006123966880663264	 1.6510076953678006E-4	 437901.1143379204	 435141.51235452713	 435141.5123545271	 435141.51235452713	 439004.81916816655	 
-55.0	 0.006248945796595168	 1.594053032383084E-4	 459025.346031754	 456229.72398697905	 456229.723986979	 456229.72398697905	 460374.901356537	 
-53.500000000000014	 0.006373924712527071	 1.5378251009915848E-4	 481658.4801367977	 478854.2818964285	 478854.28189642844	 478854.2818964285	 483289.46605494805	 
-52.0	 0.006498903628458974	 1.4823799354304857E-4	 505914.3746859265	 503144.4813127026	 503144.4813127025	 503144.4813127026	 507867.17371768865	 
-50.5	 0.006623882544390878	 1.4277732150294608E-4	 531785.6968926747	 529240.8837606627	 529240.8837606626	 529240.8837606627	 534106.2566785984	 
-49.000000000000014	 0.006748861460322781	 1.3740601738871286E-4	 559753.8061655447	 557296.0865237656	 557296.0865237655	 557296.0865237656	 562494.3570769408	 
-47.5	 0.0068738403762546845	 1.3212955113263888E-4	 589874.9803864453	 587475.4567524795	 587475.4567524794	 587475.4567524795	 593095.3418597934	 
-46.0	 0.006998819292186588	 1.26953330335195E-4	 622229.1139620763	 619957.7931384603	 619957.7931384601	 619957.7931384603	 625997.6126577299	 
-44.500000000000014	 0.007123798208118491	 1.2188269153209325E-4	 656885.7466652779	 654935.8653028404	 654935.8653028402	 654935.8653028404	 661280.3817112554	 
-43.0	 0.007248777124050395	 1.169228916024625E-4	 694221.8677337657	 692616.764886677	 692616.7648866769	 692616.764886677	 699331.1030073108	 
-41.5	 0.007373756039982298	 1.1207909933665222E-4	 734359.0358945578	 733221.9821105137	 733221.9821105136	 733221.9821105137	 740283.9543365226	 
-40.000000000000014	 0.007498734955914201	 1.0735638718086194E-4	 777599.7145111855	 776987.096583652	 776987.0965836518	 776987.096583652	 784455.7413024895	 
-38.5	 0.007623713871846105	 1.027597231744906E-4	 823997.2856858905	 824160.9407210392	 824160.9407210391	 824160.9407210392	 831915.8491280726	 
-37.0	 0.007748692787778008	 9.829396309481523E-5	 873943.2677260078	 875004.0577417183	 875004.0577417181	 875004.0577417183	 883073.666241713	 
-35.5	 0.007873671703709912	 9.396384282233798E-5	 925662.4720875494	 926648.0647211757	 926648.0647211756	 926648.0647211757	 936117.3560387429	 
-34.0	 0.007998650619641815	 8.977397093892696E-5	 980233.3195108667	 981380.4404492838	 981380.4404492837	 981380.4404492838	 992168.4977730296	 
-32.500000000000014	 0.008123629535573718	 8.572882156968796E-5	 1037584.880647998	 1039996.3371444589	 1039996.3371444588	 1039996.3371444589	 1051182.4784374537	 
-31.0	 0.008248608451505622	 8.183272747837653E-5	 1101962.7274808374	 1102692.8035152429	 1102692.8035152426	 1102692.8035152429	 1117419.3622324485	 
-29.5	 0.008373587367437525	 7.808987342509373E-5	 1169233.6510931747	 1169645.8443422606	 1169645.8443422604	 1169645.8443422606	 1186780.1362105776	 
-28.000000000000014	 0.008498566283369428	 7.450428979398767E-5	 1241279.5440654382	 1240999.1591669316	 1240999.1591669314	 1240999.1591669316	 1261172.2081539773	 
-26.5	 0.008623545199301332	 7.107984649774873E-5	 1315726.5573371819	 1316850.1777139616	 1316850.1777139613	 1316850.1777139616	 1338245.1501444113	 
-25.0	 0.008748524115233235	 6.782024716479755E-5	 1398811.880651538	 1397233.1029186344	 1397233.1029186342	 1397233.1029186344	 1424247.3804302106	 
-23.500000000000014	 0.008873503031165138	 6.472902361425703E-5	 1485152.833018025	 1486976.276703329	 1486976.2767033288	 1486976.276703329	 1514002.9334537098	 
-22.0	 0.008998481947097042	 6.180953062305986E-5	 1577173.3190756538	 1582797.27337278	 1582797.2733727798	 1582797.27337278	 1609882.114315239	 
-20.5	 0.009123460863028945	 5.906494098885967E-5	 1674899.516959846	 1683562.9734023914	 1683562.9734023912	 1683562.9734023914	 1711909.8763073129	 
-19.000000000000014	 0.009248439778960848	 5.6498240891815664E-5	 1786308.960214138	 1788882.894009693	 1788882.8940096928	 1788882.894009693	 1828073.991788876	 
-17.5	 0.009373418694892752	 5.4112225557767084E-5	 1924225.6259610767	 1898163.3994742692	 1898163.399474269	 1898163.3994742692	 1971189.4782058676	 
-16.0	 0.009498397610824655	 5.190949522484199E-5	 2104975.365737373	 2010574.5477351416	 2010574.5477351414	 2010574.5477351416	 2157621.6456484664	 
-14.500000000000014	 0.009623376526756558	 4.9892451415116797E-5	 2341864.2017055606	 2125020.8797470722	 2125020.8797470722	 2125020.8797470722	 2400813.6091854335	 
-13.0	 0.009748355442688462	 4.806329351258489E-5	 2624726.454161155	 2240120.453509606	 2240120.453509606	 2240120.453509606	 2690996.470040558	 
-11.5	 0.009873334358620365	 4.6424015648374064E-5	 2943533.2813630877	 2354197.326246034	 2354197.326246034	 2354197.326246034	 3018526.0600315384	 
-10.000000000000014	 0.009998313274552268	 4.49764038939033E-5	 3272156.7422276814	 2465293.16669939	 2465293.1666993895	 2465293.16669939	 3357459.994621136	 
-8.5	 0.010123292190484173	 4.372203376243755E-5	 3589784.0907095894	 2571203.394578194	 2571203.3945781994	 2571203.3945782	 3687097.6363718994	 
-7.0	 0.010248271106416075	 4.266226801933781E-5	 3880801.6657913188	 2669541.857557592	 4022308.092771288	 4022300.9773094957	 3991789.869126581	 
-5.500000000000014	 0.010373250022347978	 4.1798254801160973E-5	 4136261.801709389	 2757835.3460020777	 5473403.956128614	 5473389.965318223	 4262393.828825074	 
-4.0	 0.010498228938279883	 4.113092604365344E-5	 4350001.159197433	 2833645.2514755456	 5619738.853961059	 5619724.511118024	 4492437.214118219	 
-2.5	 0.010623207854211785	 4.0660996218617637E-5	 4521603.884827179	 2894708.827932109	 5737554.713571322	 5737540.087634469	 4681105.561136993	 
-1.0	 0.010748186770143688	 4.038896137956317E-5	 4652144.557228506	 2939087.677042412	 5823151.40848138	 5823136.577040663	 4829021.023993317	 
0.5	 0.010873165686075593	 4.031509851602872E-5	 4742952.617415964	 3703003.491532783	 5873715.986803277	 5873701.034016359	 4937036.56348852	 
2.0	 0.010998144602007496	 4.0439465216439126E-5	 4792343.925455069	 5126435.8027304355	 5887537.993828783	 5887523.007843572	 5003011.819021446	 
3.5	 0.011123123517939398	 4.07618996393452E-5	 4804013.900094334	 5792320.304469283	 5864146.019993506	 5864131.090057761	 5030183.53538278	 
5.0	 0.011248102433871303	 4.128202079289849E-5	 4777215.576189587	 5733223.955517489	 5804345.987977649	 5804331.2014608495	 5017428.295708746	 
6.5	 0.011373081349803206	 4.1999229122399E-5	 4715822.0604132125	 5640142.492460505	 5710155.584719908	 5710141.0242852615	 4968275.784063305	 
