Kurbelwinkel [°KW]	pZyl_mess [bar]	pZyl_berech [bar]	pSaug [bar]	pAbg [bar]	T [K]	dQw [J/s]	V [m3]	m [kg]	R [J/kg/K]	mK [kg]	V_motor [m^3]	dm [kg/s]	Hub_E [m]	Hub_A [m]	alpha_E_vor	alpha_E_rück	alpha_A_vor	alpha_A_rück	T_Saug [K]	H_Massenbruch	O_Massenbruch	N_Massenbruch	H2_Massenbruch	OH_Massenbruch	CO_Massenbruch	NO_Massenbruch	O2_Massenbruch	H2O_Massenbruch	CO2_Massenbruch	N2_Massenbruch	RON_95_Massenbruch	AGR_intern_LWA_Massenbruch	AGR_extern_LWA_Massenbruch	feuchteLuft_LWA_Massenbruch
154.0	 1.4585950982891112	 1.4961867581760617	 0.41235284465367567	 1.0336331497264462	 1787.6421806638737	 0.0	 4.7091221886170516E-4	 1.4356635960263695E-4	 274.53169047656195	 1.4356635960263695E-4	 4.7277771545332296E-4	 -0.007847911069911843	 0.0	 6.23360956E-4	 0.0	 0.0	 0.010807665194391794	 0.011722881256547166	 472.56841863623146	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
155.0	 1.4378418599187333	 1.4821494315043082	 0.41189819889713936	 1.0369106970055604	 1784.2493598043964	 0.0	 4.7219473719289836E-4	 1.428779137627497E-4	 274.53169047656195	 1.428779137627497E-4	 4.740602337846443E-4	 -0.008563782955637273	 0.0	 6.90573012E-4	 0.0	 0.0	 0.011972969808488786	 0.012986866342415136	 472.56841863623146	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
156.0	 1.4367909158371384	 1.467609412828349	 0.4115785629811125	 1.0406386445676667	 1780.7069290640134	 0.0	 4.734285230685333E-4	 1.421281081693862E-4	 274.53169047656195	 1.421281081693862E-4	 4.752940196604028E-4	 -0.009308441556913197	 0.0	 7.63207653E-4	 0.0	 0.0	 0.013232289748062998	 0.014352828171366983	 472.56841863623146	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
157.0	 1.4205227721834799	 1.4525807855661825	 0.41136988548461434	 1.045111867392479	 1777.0148489148664	 0.0	 4.7461357195378796E-4	 1.4131781275030381E-4	 274.53169047656195	 1.4131781275030381E-4	 4.7647906854577613E-4	 -0.010007044707530562	 0.0	 8.358422940000032E-4	 0.0	 0.0	 0.014491609687637266	 0.01571879000031889	 472.56841863623146	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
158.0	 1.3975376305906575	 1.4370789641025454	 0.41113294312468757	 1.0487820037761313	 1773.1733014472616	 0.0	 4.7574988187156056E-4	 1.4044803051270003E-4	 274.53169047656195	 1.4044803051270003E-4	 4.7761537846366256E-4	 -0.010725909709148728	 0.0	 9.136728240000001E-4	 0.0	 0.0	 0.01584101455819517	 0.017182465343700673	 472.56841863623146	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
159.0	 1.3965705765489436	 1.4211238280023082	 0.4110302301743264	 1.052597331621232	 1769.1834927935815	 0.0	 4.768374530607705E-4	 1.3952014471184463E-4	 274.53169047656195	 1.3952014471184463E-4	 4.787029496529813E-4	 -0.011391653407069158	 0.0	 9.91503353E-4	 0.0	 0.0	 0.0171904194114154	 0.018646140668276582	 472.56841863623146	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
160.0	 1.3780832183469602	 1.40481280622822	 0.4107544416354918	 1.0554307219441357	 1765.0662447248196	 0.0	 4.7787628764877125E-4	 1.385416784851851E-4	 274.53169047656195	 1.385416784851851E-4	 4.797417842410858E-4	 -0.011924036687957534	 0.0	 0.0010742843820000002	 0.0	 0.0	 0.018404776262628333	 0.020179839707551456	 472.56841863623146	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
161.0	 1.35434534907904	 1.3882566353282229	 0.4105617201577878	 1.0574451416332074	 1760.8465203113697	 0.0	 4.7886638933795526E-4	 1.375213496771805E-4	 274.53169047656195	 1.375213496771805E-4	 4.8073188593036886E-4	 -0.012397945911517383	 0.0	 0.001157065412	 0.0	 0.0	 0.01959386905357278	 0.021710899443367362	 472.56841863623146	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
162.0	 1.3486663456129828	 1.3714939216958608	 0.4103652317178697	 1.060316590553063	 1756.5315749597196	 0.0	 4.798077631066152E-4	 1.3646230801656764E-4	 274.53169047656195	 1.3646230801656764E-4	 4.816732596991226E-4	 -0.01284445123656196	 0.0	 0.001243962529	 0.0	 0.0	 0.020842086614752633	 0.023318087430726112	 472.56841863623146	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
163.0	 1.3307817701240048	 1.354571411007098	 0.41030391968695196	 1.0630371871501871	 1752.1310638000243	 0.0	 4.8070041492411295E-4	 1.3536841025180865E-4	 274.53169047656195	 1.3536841025180865E-4	 4.8256591151670924E-4	 -0.013232124242317851	 0.0	 0.001330859647	 0.0	 0.0	 0.022090304190296804	 0.024925275436580158	 472.56841863623146	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
