Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p [bar]	dQh [J/s]	dQh [J/KW]	Qh [J]	dQb [J/s]	dQb [J/KW]	Qb [J]	T_mittel [K]	 kappa [-]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Alpha [W/(m^2K)]	dmL [kg/s]	dmL [kg/KW]	mL [kg]
-113.5	 0.001374768075250937	 3.8358160904919614E-4	 1.4192601461718315	 356.53731360424626	 0.02970643129568784	 0.41283052199971954	 351.353517099997	 0.029274521117346065	 0.40379146797306126	 395.8014136799271	 1.3928088701455195	 -5.183796504249223	 -4.319101783417721E-4	 -0.009039054026658253	 3.8828170847812364E-4	 0.001094292434714928	 118.68020450153848	 6.632680171162044E-6	 5.526301183432423E-10	 6.407221205278723E-9	 
-112.0	 0.0014997469911828404	 3.788049606191895E-4	 1.4449706112938954	 -744.8149769330016	 -0.062057445591288105	 0.3197443536127874	 -749.5936024	 -0.06245559721162813	 0.3101080721556191	 397.954118656205	 1.3926595109196342	 -4.778625466998442	 -3.981516203400338E-4	 -0.009636281457168303	 3.8828170847812364E-4	 8.40406358775675E-4	 120.22648589607873	 6.997027508118579E-6	 5.829872751402448E-10	 7.28170211798909E-9	 
-110.5	 0.0016247259071147436	 3.73936992049243E-4	 1.4715714552013184	 941.8397391169815	 0.07847340638428468	 0.43745446318921444	 937.4019065499994	 0.07810364938207887	 0.4272635462287374	 400.07271330416506	 1.3925110761148756	 -4.437832566982151	 -3.697570022058168E-4	 -0.010190916960477029	 3.8828170847812364E-4	 0.001157902787333713	 121.82956356970554	 7.33655746029726E-6	 6.112766653733798E-10	 8.19861711604916E-9	 
-109.0	 0.001749704823046647	 3.6897973163626396E-4	 1.4995563416242155	 -1371.1922637051737	 -0.11424674843472345	 0.2660843405371293	 -1375.241073	 -0.11458409229904505	 0.2553874077801699	 402.27708891095364	 1.3923551234932938	 -4.048809294826316	 -3.373438643216047E-4	 -0.010696932756959435	 3.8828170847812364E-4	 6.921109791104869E-4	 123.5068493427446	 7.679419916019988E-6	 6.398437173933643E-10	 9.158382692139206E-9	 
-107.5	 0.0018746837389785503	 3.639353404839962E-4	 1.5276951475561344	 481.7485397609852	 0.04013894016740358	 0.3262927507882347	 478.01281214999483	 0.03982768204271128	 0.3151289308442368	 404.22374474489703	 1.3922161342891575	 -3.735727610990349	 -3.11258124692302E-4	 -0.011163819943997889	 3.8828170847812364E-4	 8.540131041244738E-4	 125.21900829958344	 8.000715599488274E-6	 6.666138415356752E-10	 1.015830345444272E-8	 
-106.0	 0.0019996626549104537	 3.5880611529081957E-4	 1.559069925714215	 -541.3170670345418	 -0.045102146808943	 0.2586395305748202	 -544.5868772000003	 -0.04537458502879775	 0.2470670533010402	 406.71224811940266	 1.3920367370533506	 -3.2698101654585368	 -2.7243821985475035E-4	 -0.011572477273780014	 3.8828170847812364E-4	 6.695624567101437E-4	 127.06825546158875	 8.346296143742037E-6	 6.954073627276703E-10	 1.1201414498534225E-8	 
-104.5	 0.002124641570842357	 3.5359449082178593E-4	 1.5912294640493427	 479.0083798398925	 0.039910632023124774	 0.31850547860950734	 476.1387745499992	 0.03967153858426923	 0.306574361177444	 409.0732583498343	 1.3918647598660983	 -2.869605289893294	 -2.3909343885554612E-4	 -0.011931117432063333	 3.8828170847812364E-4	 8.308298483820873E-4	 128.97530600211303	 8.674323151798396E-6	 7.227383359698499E-10	 1.2285522002489E-8	 
-103.0	 0.0022496204867742606	 3.4830304204154066E-4	 1.6258227574263908	 630.9286974612551	 0.05256852309269033	 0.39735826324854284	 628.5333775	 0.05236894676464519	 0.38512778132441183	 411.7126961248813	 1.3916704783535245	 -2.3953199612549994	 -1.995763280451324E-4	 -0.012230481924131032	 3.8828170847812364E-4	 0.0010437130324159433	 130.9949343586549	 9.010449428310108E-6	 7.507441344062904E-10	 1.3411638204098435E-8	 
-101.5	 0.002374599402706164	 3.429344858858765E-4	 1.662079320160487	 -71.36792450345878	 -0.005946323891168134	 0.38843877741179067	 -73.26488574999632	 -0.0061043773312728635	 0.37597121532750255	 414.4076309945118	 1.3914699279745548	 -1.8969612465375443	 -1.5805344010472958E-4	 -0.012467562084288127	 3.8828170847812364E-4	 0.0010188983404446552	 133.103266122851	 9.345777692481124E-6	 7.786834430312374E-10	 1.4579663368645291E-8	 
-100.0	 0.002499578318638067	 3.3749168265098347E-4	 1.699261584943609	 733.5289325390996	 0.06111710052894863	 0.4801144282052136	 732.078986999992	 0.06099629211452332	 0.46746565349928754	 416.95504455060353	 1.3912783462987435	 -1.4499455391076186	 -1.2080841442531291E-4	 -0.012648774705926095	 3.8828170847812364E-4	 0.0012668522459901696	 135.27819409582935	 9.669931063341322E-6	 8.056916676217573E-10	 1.5788200870077928E-8	 
